chunk_id;halaman;entity_text;entity_label;start_char;end_char;confidence
000002-003;35-42;Nash bin Al-Uzd;PERSON;370;385;0.99
000002-003;35-42;Tihamah;LOCATION;397;404;0.99
000002-003;35-42;Jafnah bin Amr;PERSON;434;448;0.99
000002-003;35-42;Syam;LOCATION;458;462;0.99
000002-003;35-42;Hijaz;LOCATION;586;591;0.99
000002-003;35-42;Syam;LOCATION;690;694;0.99
000002-003;35-42;Nashr bin Rabi'ah;PERSON;750;767;0.99
000002-003;35-42;Bahrain;LOCATION;1044;1051;0.99
000002-003;35-42;Bahrain;LOCATION;1171;1178;0.99
000002-003;35-42;Najd;LOCATION;1209;1213;0.99
000002-004;35-42;Yaman;LOCATION;190;195;0.99
000002-004;35-42;Ibrahim;PERSON;291;298;0.99
000002-004;35-42;Irak;LOCATION;327;331;0.99
000002-004;35-42;Eufrat;LOCATION;400;406;0.99
000002-004;35-42;Ibrahim;PERSON;542;549;0.99
000002-004;35-42;Ibrahim;PERSON;630;637;0.99
000002-004;35-42;Irak;LOCATION;650;654;0.99
000002-004;35-42;Mesir;LOCATION;852;857;0.99
000002-004;35-42;Mesir;LOCATION;877;882;0.99
000002-004;35-42;Ibrahim;PERSON;1240;1247;0.99
000002-004;35-42;Palestina;LOCATION;1259;1268;0.99
000002-004;35-42;Ibrahim;PERSON;1356;1363;0.99
000002-004;35-42;Isma'il;PERSON;1419;1426;0.99
000002-005;35-42;Ibrahim;PERSON;12;19;0.99
000002-005;35-42;Isma'il;PERSON;75;82;0.99
000002-005;35-42;Hijaz;LOCATION;116;121;0.99
000002-005;35-42;Baitul-Haram;LOCATION;216;228;0.99
000002-005;35-42;Ibrahim;PERSON;319;326;0.99
000002-005;35-42;Zamzam;LOCATION;429;435;0.99
000002-005;35-42;Makkah;LOCATION;449;455;0.99
000002-005;35-42;Isma'il;PERSON;565;572;0.99
000002-005;35-42;Palestina;LOCATION;621;630;0.99
000002-005;35-42;Al-Khadhri;PERSON;738;748;0.99
000002-005;35-42;Muhammad;PERSON;1205;1213;0.99
000002-006;35-42;Zamzam;LOCATION;63;69;0.99
000002-006;35-42;Yaman;LOCATION;281;286;0.99
000002-006;35-42;Isma'il;PERSON;340;347;0.99
000002-006;35-42;Makkah;LOCATION;474;480;0.99
000002-006;35-42;Makkah;LOCATION;543;549;0.99
000002-006;35-42;Isma'il;PERSON;569;576;0.99
000002-006;35-42;Isma'il;PERSON;597;604;0.99
000002-006;35-42;Makkah;LOCATION;647;653;0.99
000002-006;35-42;Ibrahim;PERSON;682;689;0.99
000002-006;35-42;Makkah;LOCATION;700;706;0.99
000002-006;35-42;Ibrahim;PERSON;958;965;0.99
000002-006;35-42;Isma'il;PERSON;1022;1029;0.99
000002-006;35-42;Ibrahim;PERSON;1175;1182;0.99
000002-006;35-42;Ibrahim;PERSON;1284;1291;0.99
000002-007;35-42;Isma'il;PERSON;569;576;0.99
000002-007;35-42;Ibnu Abbas;PERSON;680;690;0.99
000002-007;35-42;Isma'il;PERSON;741;748;0.99
000002-007;35-42;Isma'il;PERSON;911;918;0.99
000002-007;35-42;Ibrahim;PERSON;953;960;0.99
000002-007;35-42;Isma'il;PERSON;1107;1114;0.99
000002-007;35-42;Isma'il;PERSON;1193;1200;0.99
000002-007;35-42;Ibrahim;PERSON;1249;1256;0.99
000002-007;35-42;Isma'il;PERSON;1306;1313;0.99
000002-008;35-42;Isma'il;PERSON;63;70;0.99
000002-008;35-42;Mudhadh bin Amru;PERSON;139;155;0.99
000002-008;35-42;Isma'il;PERSON;204;211;0.99
000002-008;35-42;Ibrahim;PERSON;228;235;0.99
000002-008;35-42;Isma'il;PERSON;281;288;0.99
000002-008;35-42;Isma'il;PERSON;319;326;0.99
000002-008;35-42;Isma'il;PERSON;372;379;0.99
000002-008;35-42;Ibrahim;PERSON;413;420;0.99
000002-008;35-42;Palestina;LOCATION;437;446;0.99
000002-008;35-42;Isma'il;PERSON;484;491;0.99
000002-008;35-42;Isma'il;PERSON;498;505;0.99
000002-008;35-42;Ibrahim;PERSON;576;583;0.99
000002-008;35-42;Isma'il;PERSON;604;611;0.99
000002-008;35-42;Isma'il;PERSON;626;633;0.99
000002-008;35-42;Zamzam;LOCATION;690;696;0.99
000002-008;35-42;Isma;PERSON;733;737;0.99
000002-008;35-42;Ibrahim;PERSON;820;827;0.99
000002-008;35-42;Isma'il;PERSON;1092;1099;0.99
000002-008;35-42;Ka'bah;LOCATION;1206;1212;0.99
000002-008;35-42;Ibrahim;PERSON;1245;1252;0.99
000002-008;35-42;Isma'il;PERSON;1383;1390;0.99
000002-009;35-42;Isma'il;PERSON;41;48;0.99
000002-009;35-42;Makkah;LOCATION;361;367;0.99
000002-009;35-42;Yaman;LOCATION;453;458;0.99
000002-009;35-42;Syam;LOCATION;476;480;0.99
000002-009;35-42;Mesir;LOCATION;485;490;0.99
000002-009;35-42;Hijaz;LOCATION;743;748;0.99
000002-009;35-42;Isma'il;PERSON;1227;1234;0.99
000002-009;35-42;Qaidar bin Isma'il;PERSON;1261;1279;0.99
000002-009;35-42;Makkah;LOCATION;1297;1303;0.99
000002-010;35-42;Ibrahim;PERSON;512;519;0.99
000002-010;35-42;Asad bin Rabi'ah;PERSON;950;966;0.99
000002-010;35-42;Ailan bin Mudhar;PERSON;1201;1217;0.99
000002-010;35-42;Ilyas bin Mudhar;PERSON;1234;1250;0.99
000002-010;35-42;Ilyas bin Mudha;PERSON;1320;1335;0.99
000002-010;35-42;Tamim bin Murrah;PERSON;1340;1356;0.99
000002-010;35-42;Hudzail bin Mudrikah;PERSON;1358;1378;0.99
000002-010;35-42;Asad bin Khuzaimah;PERSON;1385;1403;0.99
000002-010;35-42;Kinanah bin Khuzimah;PERSON;1421;1441;0.99
000002-011;35-42;Ilyas bin Mudha;PERSON;5;20;0.99
000002-011;35-42;Tamim bin Murrah;PERSON;25;41;0.99
000002-011;35-42;Hudzail bin Mudrikah;PERSON;43;63;0.99
000002-011;35-42;Asad bin Khuzaimah;PERSON;70;88;0.99
000002-011;35-42;Kinanah bin Khuzimah;PERSON;106;126;0.99
000002-011;35-42;Fihr bin Malik bin An-Nadhar bin Kinanah;PERSON;175;215;0.99
000002-011;35-42;Quraisy bin Kilab;PERSON;335;352;0.99
000002-011;35-42;Abdud-Dar bin Qushay;PERSON;360;380;0.99
000002-011;35-42;Asad bin Abdul Uzza bin Qushay;PERSON;382;412;0.99
000002-011;35-42;Manaf bin Qushay;PERSON;422;438;0.99
000002-011;35-42;Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;PERSON;566;619;0.99
000002-011;35-42;Rasulullah;PERSON;621;631;0.99
000002-011;35-42;Isma'il;PERSON;683;690;0.99
000002-011;35-42;Ibrahim;PERSON;701;708;0.99
000002-011;35-42;Al-Abbas bin Abdul Muththalib;PERSON;880;909;0.99
000002-011;35-42;Rasulullah;PERSON;925;935;0.99
000002-011;35-42;Jazirah Arab;LOCATION;1419;1431;0.99
000002-012;35-42;Jazirah Arab;LOCATION;100;112;0.99
000002-012;35-42;Bakr bin Wa'il;PERSON;206;220;0.99
000002-012;35-42;Hanifah bin Sha'b bin Ali bin Bakr;PERSON;297;331;0.99
000002-012;35-42;Bakr bin Wa'il;PERSON;403;417;0.99
000002-012;35-42;Eufrat;LOCATION;512;518;0.99
000002-012;35-42;Madinah;LOCATION;633;640;0.99
000002-012;35-42;Madinah;LOCATION;674;681;0.99
000002-012;35-42;Khaibar;LOCATION;692;699;0.99
000002-012;35-42;Madinah;LOCATION;717;724;0.99
000002-012;35-42;Tha'if;LOCATION;766;772;0.99
000002-012;35-42;Makkah;LOCATION;791;797;0.99
000002-012;35-42;Makkah;LOCATION;806;812;0.99
000002-012;35-42;Tihamah;LOCATION;1081;1088;0.99
000002-012;35-42;Makkah;LOCATION;1129;1135;0.99
000002-012;35-42;Qushay bin Kilab;PERSON;1248;1264;0.99
000003-001;43;jazirah;LOCATION;312;319;0.99
000004-001;43-45;Yaman;LOCATION;31;36;0.99
000004-001;43-45;tahun 650 SM;TIME;346;358;0.99
000004-001;43-45;Yaman;LOCATION;723;728;0.99
000004-001;43-45;tahun 650 SM;TIME;857;869;0.99
000004-001;43-45;tahun 110 SM;TIME;878;890;0.99
000004-001;43-45;tahun 115 SM;TIME;1145;1157;0.99
000004-001;43-45;tahun 300 M;TIME;1166;1177;0.99
000004-002;43-45;Hijaz;LOCATION;253;258;0.99
000004-002;43-45;Mesir;LOCATION;390;395;0.99
000004-002;43-45;Hijaz;LOCATION;415;420;0.99
000004-002;43-45;tahun 300 M;TIME;634;645;0.99
000004-002;43-45;Yaman;LOCATION;671;676;0.99
000004-002;43-45;Habasyah;LOCATION;954;962;0.99
000004-002;43-45;Yaman;LOCATION;976;981;0.99
000004-002;43-45;tahun 340 M;TIME;992;1003;0.99
000004-002;43-45;tahun 378 M;TIME;1110;1121;0.99
000004-002;43-45;Yaman;LOCATION;1132;1137;0.99
000004-003;43-45;Najran;LOCATION;250;256;0.99
000004-003;43-45;Arab;LOCATION;705;709;0.99
000004-003;43-45;Habasyah;LOCATION;750;758;0.99
000004-003;43-45;Habasyah;LOCATION;833;841;0.99
000004-003;43-45;Yaman;LOCATION;874;879;0.99
000004-003;43-45;tahun 525 M;TIME;930;941;0.99
000004-003;43-45;Abrahah;PERSON;986;993;0.99
000004-003;43-45;Yaman;LOCATION;1058;1063;0.99
000004-003;43-45;Habasyah;LOCATION;1097;1105;0.99
000004-003;43-45;Abrahah;PERSON;1107;1114;0.99
000004-003;43-45;Ka'bah;LOCATION;1170;1176;0.99
000004-003;43-45;Yaman;LOCATION;1264;1269;0.99
000004-003;43-45;Persia;LOCATION;1305;1311;0.99
000004-004;43-45;Yaman;LOCATION;40;45;0.99
000004-004;43-45;Persia;LOCATION;81;87;0.99
000004-004;43-45;Habasyah;LOCATION;144;152;0.99
000004-004;43-45;Yaman;LOCATION;158;163;0.99
000004-004;43-45;tahun 575 M;TIME;209;220;0.99
000004-004;43-45;Yakrib bin Saif;PERSON;242;257;0.99
000004-004;43-45;Habasyah;LOCATION;395;403;0.99
000004-004;43-45;Kisra;PERSON;613;618;0.99
000004-004;43-45;Yaman;LOCATION;683;688;0.99
000004-004;43-45;Yaman;LOCATION;794;799;0.99
000004-004;43-45;Yaman;LOCATION;848;853;0.99
000004-004;43-45;tahun 638 M;TIME;901;912;0.99
000005-001;45-47;Irak;LOCATION;28;32;0.99
000005-001;45-47;tahun 326 SM;TIME;236;248;0.99
000005-001;45-47;tahun 230 SM;TIME;854;866;0.99
000005-001;45-47;Irak;LOCATION;970;974;0.99
000005-001;45-47;Eufrat;LOCATION;1102;1108;0.99
000005-001;45-47;tahun 226 M;TIME;1204;1215;0.99
000005-001;45-47;Persia;LOCATION;1251;1257;0.99
000005-001;45-47;Syam;LOCATION;1399;1403;0.99
000005-002;45-47;Irak;LOCATION;148;152;0.99
000005-002;45-47;Syam;LOCATION;546;550;0.99
000005-002;45-47;Irak;LOCATION;555;559;0.99
000005-002;45-47;Amru bin Adi bin Nashr;PERSON;645;667;0.99
000005-002;45-47;tahun 268 M;TIME;748;759;0.99
000005-002;45-47;Kisra;PERSON;817;822;0.99
000005-002;45-47;Sabur bin Ardasyir;PERSON;823;841;0.99
000005-002;45-47;Qubadz bin Fairuz;PERSON;940;957;0.99
000005-002;45-47;Al-Mundzir bin Ma;PERSON;1181;1198;0.99
000005-003;45-47;Al-Harits bin Amr bin Hijr;PERSON;134;160;0.99
000005-003;45-47;Kisra;PERSON;278;283;0.99
000005-003;45-47;Al-Harits bin Amr;PERSON;468;485;0.99
000005-003;45-47;Darul Kalb;LOCATION;527;537;0.99
000005-003;45-47;Al-Mundzir bin Ma'us;PERSON;601;621;0.99
000005-003;45-47;An-Nu'man bin Al-Mundzir;PERSON;652;676;0.99
000005-003;45-47;Kisra;PERSON;710;715;0.99
000005-003;45-47;Zaid bin Adi;PERSON;755;767;0.99
000005-003;45-47;Kisra;PERSON;777;782;0.99
000005-003;45-47;Hani bin Mas'ud;PERSON;903;918;0.99
000005-003;45-47;Kisra;PERSON;1016;1021;0.99
000005-003;45-47;Kisra;PERSON;1111;1116;0.99
000005-003;45-47;lyas bin Qubaishah;PERSON;1128;1146;0.99
000005-003;45-47;Hani' bin Mas'ud;PERSON;1192;1208;0.99
000005-003;45-47;Kisra;PERSON;1343;1348;0.99
000005-003;45-47;Kisra;PERSON;1416;1421;0.99
000005-004;45-47;Rasulullah;PERSON;313;323;0.99
000005-004;45-47;Iyas bin Qubaishah;PERSON;373;391;0.99
000005-004;45-47;Kisra;PERSON;425;430;0.99
000005-004;45-47;tahun 632 M;TIME;492;503;0.99
000005-004;45-47;Khalid bin Al-Walid;PERSON;706;725;0.99
000006-001;47-48;Syam;LOCATION;144;148;0.99
000006-001;47-48;Sulaih bin Halwan;PERSON;196;213;0.99
000006-001;47-48;Ziyad bin Habulah;PERSON;603;620;0.99
000006-001;47-48;Al-Khadhri;PERSON;701;711;0.99
000006-001;47-48;Syam;LOCATION;933;937;0.99
000006-001;47-48;Perang Yarmuk;EVENT;1056;1069;0.99
000006-001;47-48;tahun 13 H;TIME;1075;1085;0.99
000006-001;47-48;Jabalah bin Al-Aiham;PERSON;1114;1134;0.99
000006-001;47-48;Umar bin Al-Khaththab;PERSON;1196;1217;0.99
000007-001;48-53;Isma'il;PERSON;0;7;0.99
000007-001;48-53;Makkah;LOCATION;25;31;0.99
000007-001;48-53;Ka'bah;LOCATION;46;52;0.99
000007-001;48-53;Mudhadh bin Amr;PERSON;231;246;0.99
000007-001;48-53;Makkah;LOCATION;278;284;0.99
000007-001;48-53;Isma'il;PERSON;367;374;0.99
000007-001;48-53;Ka'bah;LOCATION;446;452;0.99
000007-001;48-53;Isma'il;PERSON;572;579;0.99
000007-001;48-53;Bukhtanashar;PERSON;666;678;0.99
000007-001;48-53;Makkah;LOCATION;742;748;0.99
000007-001;48-53;Bukhtanashar;PERSON;780;792;0.99
000007-001;48-53;Yaman;LOCATION;922;927;0.99
000007-001;48-53;Perang Bukhtanashar;EVENT;938;957;0.99
000007-001;48-53;tahun 587 SM;TIME;962;974;0.99
000007-001;48-53;Syam;LOCATION;1006;1010;0.99
000007-001;48-53;Bukhtanashar;PERSON;1028;1040;0.99
000007-001;48-53;Makkah;LOCATION;1080;1086;0.99
000007-001;48-53;Jursyum bin Jalhamah;PERSON;1153;1173;0.99
000007-001;48-53;Makkah;LOCATION;1284;1290;0.99
000007-001;48-53;Ka'bah;LOCATION;1432;1438;0.99
000007-002;48-53;Makkah;LOCATION;169;175;0.99
000007-002;48-53;Zamzam;LOCATION;301;307;0.99
000007-002;48-53;Ibnu Ishaq;PERSON;391;401;0.99
000007-002;48-53;Amr bin Al-Harits bin Mudhadh;PERSON;412;441;0.99
000007-002;48-53;Ka'bah;LOCATION;481;487;0.99
000007-002;48-53;Zamzam;LOCATION;531;537;0.99
000007-002;48-53;Yaman;LOCATION;589;594;0.99
000007-002;48-53;Makkah;LOCATION;668;674;0.99
000007-002;48-53;Shafa;LOCATION;767;772;0.99
000007-002;48-53;Makkah;LOCATION;815;821;0.99
000007-002;48-53;Isma'il;PERSON;933;940;0.99
000007-002;48-53;Makkah;LOCATION;1020;1026;0.99
000007-002;48-53;Makkah;LOCATION;1135;1141;0.99
000007-002;48-53;Arafah;LOCATION;1279;1285;0.99
000007-002;48-53;Muzdalifah;LOCATION;1293;1303;0.99
000007-002;48-53;Mina;LOCATION;1358;1362;0.99
000007-002;48-53;Ghauts bin Murrah;PERSON;1398;1415;0.99
000007-002;48-53;Ilyas bin Mudhar;PERSON;1426;1442;0.99
000007-003;48-53;Arafah;LOCATION;30;36;0.99
000007-003;48-53;Muzdalifah;LOCATION;44;54;0.99
000007-003;48-53;Mina;LOCATION;109;113;0.99
000007-003;48-53;Ghauts bin Murrah;PERSON;149;166;0.99
000007-003;48-53;Ilyas bin Mudhar;PERSON;177;193;0.99
000007-003;48-53;Mina;LOCATION;404;408;0.99
000007-003;48-53;Aqabah;LOCATION;461;467;0.99
000007-003;48-53;Sa'd bin Zaid;PERSON;641;654;0.99
000007-003;48-53;Mina;LOCATION;715;719;0.99
000007-003;48-53;Tamim bin Adi;PERSON;831;844;0.99
000007-003;48-53;Makkah;LOCATION;886;892;0.99
000007-003;48-53;Najd;LOCATION;993;997;0.99
000007-003;48-53;Irak;LOCATION;1019;1023;0.99
000007-003;48-53;Makkah;LOCATION;1060;1066;0.99
000007-003;48-53;Makkah;LOCATION;1227;1233;0.99
000007-003;48-53;Qushay bin Kilab;PERSON;1266;1282;0.99
000007-003;48-53;Ibnu Hisyam;PERSON;1304;1315;0.99
000007-004;48-53;Makkah;LOCATION;70;76;0.99
000007-004;48-53;Qushay bin Kilab;PERSON;109;125;0.99
000007-004;48-53;Ibnu Hisyam;PERSON;147;158;0.99
000007-004;48-53;Rabi'ah bin Haram;PERSON;346;363;0.99
000007-004;48-53;Syam;LOCATION;403;407;0.99
000007-004;48-53;Makkah;LOCATION;457;463;0.99
000007-004;48-53;Makkah;LOCATION;488;494;0.99
000007-004;48-53;Hulail bin Hubsyah;PERSON;502;520;0.99
000007-004;48-53;Makkah;LOCATION;791;797;0.99
000007-004;48-53;Baitul-Haram;LOCATION;819;831;0.99
000007-004;48-53;Makkah;LOCATION;1087;1093;0.99
000007-004;48-53;Ka'bah;LOCATION;1115;1121;0.99
000007-004;48-53;Isma'il;PERSON;1207;1214;0.99
000007-004;48-53;Makkah;LOCATION;1337;1343;0.99
000007-005;48-53;Ka'bah;LOCATION;95;101;0.99
000007-005;48-53;Ka'bah;LOCATION;203;209;0.99
000007-005;48-53;Abu Ghibsyan;PERSON;216;228;0.99
000007-005;48-53;Ka'bah;LOCATION;303;309;0.99
000007-005;48-53;Ka'bah;LOCATION;390;396;0.99
000007-005;48-53;Abu Ghibsyan;PERSON;402;414;0.99
000007-005;48-53;Ka'bah;LOCATION;608;614;0.99
000007-005;48-53;Makkah;LOCATION;719;725;0.99
000007-005;48-53;Ka'bah;LOCATION;1135;1141;0.99
000007-006;48-53;Ya'mar bin Auf;PERSON;74;88;0.99
000007-006;48-53;Ka'bah;LOCATION;209;215;0.99
000007-006;48-53;Makkah;LOCATION;232;238;0.99
000007-006;48-53;Makkah;LOCATION;516;522;0.99
000007-006;48-53;Ka'bah;LOCATION;544;550;0.99
000007-006;48-53;Makkah;LOCATION;674;680;0.99
000007-006;48-53;Ka'bah;LOCATION;702;708;0.99
000007-006;48-53;tahun 440 M;TIME;761;772;0.99
000007-006;48-53;Makkah;LOCATION;900;906;0.99
000007-006;48-53;Makkah;LOCATION;1141;1147;0.99
000007-006;48-53;Murrah bin Auf;PERSON;1367;1381;0.99
000007-007;48-53;Murrah bin Auf;PERSON;65;79;0.99
000007-007;48-53;Ka'bah;LOCATION;233;239;0.99
000007-007;48-53;Ibnu Hisyam;PERSON;714;725;0.99
000007-007;48-53;Ka'bah;LOCATION;790;796;0.99
000007-007;48-53;Ka'bah;LOCATION;1101;1107;0.99
000007-007;48-53;Ka'bah;LOCATION;1145;1151;0.99
000007-007;48-53;Makkah;LOCATION;1452;1458;0.99
000007-009;48-53;Hasyim bin Abdi;PERSON;511;526;0.99
000007-009;48-53;Hasyim bin Abdi;PERSON;627;642;0.99
000007-009;48-53;Al-Muththalib bin Hasyim bin Abdi;PERSON;704;737;0.99
000007-009;48-53;Rasulullah;PERSON;751;761;0.99
000007-009;48-53;Al-Abbas bin Abdul Selain;PERSON;853;878;0.99
000008-001;53-54;Jazirah Arab;LOCATION;304;316;0.99
000008-001;53-54;Ibnu Hisyam;PERSON;440;451;0.99
000009-001;54-55;Jazirah Arab;LOCATION;191;203;0.99
000009-001;54-55;Irak;LOCATION;1393;1397;0.99
000009-001;54-55;Syam;LOCATION;1426;1430;0.99
000009-002;54-55;Irak;LOCATION;46;50;0.99
000009-002;54-55;Syam;LOCATION;79;83;0.99
000009-002;54-55;Jazirah Arab;LOCATION;122;134;0.99
000009-002;54-55;Hijaz;LOCATION;598;603;0.99
000009-002;54-55;IRAQ;LOCATION;612;616;0.99
000009-002;54-55;suez;LOCATION;653;657;0.99
000009-002;54-55;Hijaz;LOCATION;698;703;0.99
000009-002;54-55;Arab Saudi;LOCATION;915;925;0.99
000009-002;54-55;tanah;LOCATION;938;943;0.99
000009-002;54-55;Ka'bah;LOCATION;1012;1018;0.99
000009-002;54-55;Ibrahim;PERSON;1047;1054;0.99
000009-002;54-55;Habasyah;LOCATION;1347;1355;0.99
000010-001;56-64;Isma'il;PERSON;39;46;0.99
000010-001;56-64;Ibrahim;PERSON;99;106;0.99
000010-001;56-64;Ibrahim;PERSON;379;386;0.99
000010-001;56-64;Amr bin Luhay;PERSON;402;415;0.99
000010-001;56-64;Syam;LOCATION;730;734;0.99
000010-001;56-64;Syam;LOCATION;765;769;0.99
000010-001;56-64;Syam;LOCATION;873;877;0.99
000010-001;56-64;Ka'bah;LOCATION;977;983;0.99
000010-001;56-64;Makkah;LOCATION;1018;1024;0.99
000010-001;56-64;Hijaz;LOCATION;1079;1084;0.99
000010-001;56-64;Makkah;LOCATION;1120;1126;0.99
000010-001;56-64;Ka'bah;LOCATION;1168;1174;0.99
000010-001;56-64;Laut Merah;LOCATION;1276;1286;0.99
000010-001;56-64;Qudaid;LOCATION;1296;1302;0.99
000010-001;56-64;Tha'if;LOCATION;1336;1342;0.99
000010-001;56-64;Wadi Nakhlah;LOCATION;1355;1367;0.99
000010-002;56-64;Hijaz;LOCATION;144;149;0.99
000010-002;56-64;Amr bin Luhay;PERSON;168;181;0.99
000010-002;56-64;Tihamah;LOCATION;402;409;0.99
000010-002;56-64;Shalallahu Alaihi wa;PERSON;508;528;0.99
000010-002;56-64;Muhammad bin Abdul Wahhab;PERSON;544;569;0.99
000010-002;56-64;Masjidil Haram;LOCATION;753;767;0.99
000010-002;56-64;Rasulullah;PERSON;818;828;0.99
000010-002;56-64;Makkah;LOCATION;840;846;0.99
000010-002;56-64;Ka'bah;LOCATION;859;865;0.99
000010-002;56-64;Ibrahim;PERSON;1193;1200;0.99
000010-002;56-64;Amr bin Luhay;PERSON;1300;1313;0.99
000010-002;56-64;Ibrahim;PERSON;1434;1441;0.99
000010-003;56-64;Ibrahim;PERSON;119;126;0.99
000010-004;56-64;Ibnu Ishaq;PERSON;1228;1238;0.99
000010-005;56-64;Ibnu Ishaq;PERSON;0;10;0.99
000010-006;56-64;Sa'id bin Al-Musayyab;PERSON;472;493;0.99
000010-006;56-64;Amr bin Luhay;PERSON;637;650;0.99
000010-008;56-64;Al-Khadhri;PERSON;1047;1057;0.99
000010-008;56-64;Ibnu Hisyam;PERSON;1065;1076;0.99
000010-009;56-64;Ibrahim;PERSON;1168;1175;0.99
000010-009;56-64;Ka'bah;LOCATION;1251;1257;0.99
000010-009;56-64;Arafah;LOCATION;1306;1312;0.99
000010-009;56-64;Muzdalifah;LOCATION;1317;1327;0.99
000010-010;56-64;Ibrahim;PERSON;71;78;0.99
000010-010;56-64;Ka'bah;LOCATION;113;119;0.99
000010-010;56-64;Makkah;LOCATION;133;139;0.99
000010-010;56-64;Arafah;LOCATION;335;341;0.99
000010-010;56-64;Muzdalifah;LOCATION;386;396;0.99
000010-010;56-64;Arafah;LOCATION;510;516;0.99
000010-010;56-64;Baitul-Haram;LOCATION;716;728;0.99
000010-010;56-64;An-Nawawi;PERSON;794;803;0.99
000010-011;56-64;Adam;PERSON;293;297;0.99
000010-011;56-64;Jazirah Arab;LOCATION;1322;1334;0.99
000010-012;56-64;Jazirah Arab;LOCATION;119;131;0.99
000010-012;56-64;Babilon;LOCATION;243;250;0.99
000010-012;56-64;Palestina;LOCATION;264;273;0.99
000010-012;56-64;Bukhtanashar;PERSON;390;402;0.99
000010-012;56-64;tahun 587 SM;TIME;408;420;0.99
000010-012;56-64;Babilonia;LOCATION;473;482;0.99
000010-012;56-64;Palestina;LOCATION;537;546;0.99
000010-012;56-64;Hijaz;LOCATION;561;566;0.99
000010-012;56-64;Hijaz;LOCATION;585;590;0.99
000010-012;56-64;Palestina;LOCATION;653;662;0.99
000010-012;56-64;tahun 70 Masehi;TIME;668;683;0.99
000010-012;56-64;Hijaz;LOCATION;826;831;0.99
000010-012;56-64;Yatsrib;LOCATION;849;856;0.99
000010-012;56-64;Khaibar;LOCATION;858;865;0.99
000010-012;56-64;Khaibar;LOCATION;1210;1217;0.99
000010-012;56-64;As-Samhudi;PERSON;1263;1273;0.99
000010-012;56-64;Yaman;LOCATION;1399;1404;0.99
000010-012;56-64;As'ad Abu Karib;PERSON;1419;1434;0.99
000010-013;56-64;As-Samhudi;PERSON;0;10;0.99
000010-013;56-64;Yaman;LOCATION;136;141;0.99
000010-013;56-64;As'ad Abu Karib;PERSON;156;171;0.99
000010-013;56-64;Yatsrib;LOCATION;209;216;0.99
000010-013;56-64;Yaman;LOCATION;267;272;0.99
000010-013;56-64;Yusuf;PERSON;419;424;0.99
000010-013;56-64;Dzu Nuwas;PERSON;425;434;0.99
000010-013;56-64;Najran;LOCATION;483;489;0.99
000010-013;56-64;tahun 523 Masehi;TIME;835;851;0.99
000010-013;56-64;Arab;LOCATION;962;966;0.99
000010-013;56-64;Habasyah;LOCATION;996;1004;0.99
000010-013;56-64;Habasyah;LOCATION;1040;1048;0.99
000010-013;56-64;Yaman;LOCATION;1105;1110;0.99
000010-013;56-64;tahun 340 Masehi;TIME;1116;1132;0.99
