surface,suggested_label,chunk_id,matched_text,is_capitalized,start,end,context
hijrah,EVENT,000113-001,hijrah,False,1018,1024,"ah hijrah, bukan di Makkah sebelum [[hijrah]]. Tetapi memang kita tidak bisa mem"
hijrah,EVENT,000089-001,hijrah,False,304,310,g-orang Muslim diperkenankan untuk [[hijrah]] ke negara tersebut. Hijrah ini buk
hijrah,EVENT,000089-001,hijrah,False,543,549,engalami kebinasaan pada permulaan [[hijrah]] itu atau pada akhirnya. Hijrah ini
hijrah,EVENT,000089-001,hijrah,False,1029,1035,ian hari. Inilah beberapa gambaran [[hijrah]] mereka: 1. Yang pertama kali melak
hijrah,EVENT,000089-001,hijrah,False,1075,1081,"ka: 1. Yang pertama kali melakukan [[hijrah]] adalah Abu Salamah, yaitu setahun"
hijrah,EVENT,000089-001,hijrah,False,1267,1273,"dia sudah membulatkan tekad untuk [[hijrah]] ke Madinah, maka keluarga istrinya"
hijrah,EVENT,000089-002,hijrah,False,493,499,engan mereka. Akhirnya Abu Salamah [[hijrah]] sendirian ke Madinah. Sementara Um
hijrah,EVENT,000089-006,hijrah,False,777,783,"perlihatkan kepadaku tempat tujuan [[hijrah]] kalian, yang memiliki kebun korma"
hijrah,EVENT,000089-006,hijrah,False,879,885,"a dataran yang subur'."" Mereka pun [[hijrah]] ke Madinah Orang-orang Muslim yang"
hijrah,EVENT,000089-006,hijrah,False,926,932,dinah Orang-orang Muslim yang dulu [[hijrah]] ke Habasyah juga kembali dan hijra
hijrah,EVENT,000089-006,hijrah,False,962,968,ijrah ke Habasyah juga kembali dan [[hijrah]] ke Madinah. Setelah Abu Bakar suda
hijrah,EVENT,000089-006,hijrah,False,1059,1065,"Jalur yang dilalui Rasulullah saat [[hijrah]] dari berangkat ke Madinah, beliau"
hijrah,EVENT,000089-003,hijrah,False,198,204,"e Makkah 2. Tatkala Shuhaib hendak [[hijrah]] ke Madinah, orang-orang kafir Qura"
hijrah,EVENT,000089-003,hijrah,False,911,917,"t esok paginya, setelah itu mereka [[hijrah]] berbarengan ke Madianah. Umar dan"
hijrah,EVENT,000089-005,hijrah,False,461,467,"orang Muslim yang diketahui hendak [[hijrah]]. Sekalipun begitu, secara periodik"
hijrah,EVENT,000089-005,hijrah,False,527,533,a periodik orang-orang Muslim bisa [[hijrah]]. Dua bulan lebih beberapa hari set
hijrah,EVENT,000089-005,hijrah,False,998,1004,"uatu hari tatkala Rasulullah sudah [[hijrah]], beliau bersabda, ""Siapakah yang s"
hijrah,EVENT,000002-002,hijrah,False,127,133,"Syam. Suku-suku Kahlan banyak yang [[hijrah]] meninggalkan Yaman, lalu menyebar"
hijrah,EVENT,000002-005,hijrah,False,868,874,nsi sejarah dalam menetapkan waktu [[hijrah]] dan sebab-sebabnya Tetapi setelah
hijrah,EVENT,000002-004,hijrah,False,170,176,"turunannya, yaitu Qudha'ah. Mereka [[hijrah]] meninggalkan Yaman dan menetap di"
hijrah,EVENT,000002-004,hijrah,False,638,644,"ah diketahui bersama bahwa Ibrahim [[hijrah]] dari Irak ke Haran atau Hurran, te"
hijrah,EVENT,000091-001,hijrah,False,228,234,"untuk pergi serta menetapkan waktu [[hijrah]], seraya berkata, Janganlah engkau"
hijrah,EVENT,000091-001,hijrah,False,386,392,Abu Bakar agar menyertainya dalam [[hijrah]]. Aisyah menuturkan kejadian ini de
hijrah,EVENT,000091-001,hijrah,False,1368,1374,"ah merancang langkah-langkah untuk [[hijrah]], maka beliau kembali lagi ke rumah"
hijrah,EVENT,000098-002,hijrah,False,1211,1217,"h. Zainab belum memungkinkan untuk [[hijrah]], dan baru hijrah setelah Perang Ba"
hijrah,EVENT,000098-002,hijrah,False,1228,1234,"emungkinkan untuk hijrah, dan baru [[hijrah]] setelah Perang Badr Aisyah berkata"
hijrah,EVENT,000097-003,hijrah,False,531,537,dipesankan beliau. Setelah itu dia [[hijrah]] ke Madinah dengan cara berjalan ka
hijrah,EVENT,000098-003,hijrah,False,32,38,"Zainab belum memungkinkan untuk [[hijrah]], dan baru hijrah setelah Perang Ba"
hijrah,EVENT,000098-003,hijrah,False,49,55,"emungkinkan untuk hijrah, dan baru [[hijrah]] setelah Perang Badr Aisyah berkata"
hijrah,EVENT,000097-001,hijrah,False,83,89,"ri nubuwah atau tahun pertama dari [[hijrah]], bertepatan dengan tanggal 23 Sept"
hijrah,EVENT,000375-001,hijrah,False,52,58,wi yang dibangun di Makkah sebelum [[hijrah]] bersama Khadijah binti Khuwailid.
hijrah,EVENT,000375-001,hijrah,False,585,591,"ya, Abul Ash bin Ar-Rabi', sebelum [[hijrah]]. Sedangkan Ruqayyah dan Ummu Kults"
hijrah,EVENT,000377-001,hijrah,False,145,151,atau dua tahun lima bulan sebelum [[hijrah]]. Beliau menikahinya saat dia masih
hijrah,EVENT,000377-001,hijrah,False,273,279,"bulan Syawwal, tujuh bulan setelah [[hijrah]] ke Madinah, yang saat itu umurnya"
hijrah,EVENT,000383-001,hijrah,False,71,77,"ah bin Jahsy. Bersama suaminya dia [[hijrah]] ke Habasyah. Namun, di sana Ubaidi"
hijrah,EVENT,000387-001,hijrah,False,172,178,"lewat di kemahnya dalam perjalanan [[hijrah]] ke Madinah, ""Dia sangat bersih. wa"
hijrah,EVENT,000042-001,hijrah,False,256,262,"Musa dari permulaan nubuwah hingga [[hijrah]] beliau bersama Bani Israel, hingga"
hijrah,EVENT,000051-002,hijrah,False,1047,1053,surat Az-Zumar yang mengisyaratkan [[hijrah]] dan menyatakan bahwa bumi Allah in
hijrah,EVENT,000051-001,hijrah,False,775,781,l Kahfi yang diberi petunjuk untuk [[hijrah]] dari pusat kekufuran dan permusuha
hijrah,EVENT,000051-006,hijrah,False,524,530,lain kecuali memerintahkan mereka [[hijrah]] untuk kedua kalinya ke Habasyah. H
hijrah,EVENT,000051-006,hijrah,False,601,607,jrah kali ini lebih sulit daripada [[hijrah]] yang pertama. Sebab orang-orang Qu
hijrah,EVENT,000051-006,hijrah,False,807,813,raisy mengetahuinya. Kali ini yang [[hijrah]] berjumlah delapan puluh tiga orang
hijrah,EVENT,000041-001,hijrah,False,1455,1461,"IA Peta Ethopia (Habasyah), tempat [[hijrah]] pertama"
hijrah,EVENT,000068-001,hijrah,False,151,157,"ang lebih dahulu masuk Islam, ikut [[hijrah]] ke Habasyah yang kedua. Mantan sua"
hijrah,EVENT,000068-001,hijrah,False,251,257,"bin Amr, yang juga masuk Islam dan [[hijrah]] bersamanya pula. As-Sakram meningg"
hijrah,EVENT,000067-001,hijrah,False,842,848,"iau, Abu Bakar Ash-Shiddiq berniat [[hijrah]] dari Makkah Maka dia pergi hingga"
isra,EVENT,000035-002,Isra,True,1037,1041,uturan beliau dalam hadits tentang [[Isra]]' . Sebagian pakar menambahi dengan
isra,EVENT,000013-005,Isra,True,576,580,"an, dalam surat An-Nahl: 58-59, Al-[[Isra]] : 31, dan At-Takwir: 8. Tetapi hal"
isra,EVENT,000080-001,Isra,True,286,290,"diannya, yaitu sebagai berikut: 1. [[Isra]]' terjadi pada tahun tatkala Allah"
isra,EVENT,000080-001,Isra,True,395,399,i menurut pendapat Ath-Thabari. 2. [[Isra]]' terjadi lima tahun setelah diutus
isra,EVENT,000080-001,Isra,True,491,495,nurutAn-Nawawi dan Al-Qurthubi. 3. [[Isra]]' terjadi pada malam tanggal 27 bul
isra,EVENT,000080-001,Isra,True,633,637,"shurfuri. 4. Ada yang berpendapat, [[Isra]]' terjadi enam bulan sebelum hijrah"
isra,EVENT,000080-001,Isra,True,744,748,"nubuwah. 5. Ada yang berpendapat, [[Isra]]' terjadi setahun dua bulan setelah"
isra,EVENT,000080-001,Isra,True,866,870,"nubuwah. 6. Ada yang berpendapat, [[Isra]]' terjadi setahun sebelum hijrah, a"
isra,EVENT,000080-001,Isra,True,1241,1245,annya shalat lima waktu pada malam [[Isra]]'. Sedangkan tiga pendapat lainnya
isra,EVENT,000080-001,Isra,True,1349,1353,nya. Hanya saja kandungan surat Al-[[Isra]]' menunjukkan bahwa Isra' itu terja
isra,EVENT,000080-001,Isra,True,1373,1377,n surat Al-Isra' menunjukkan bahwa [[Isra]]' itu terjadi pada masa-masa akhir.
isra,EVENT,000080-010,Isra,True,87,91,mat ini Allah mengisyaratkan bahwa [[Isra]]' itu merupakan perjalanan ke Baitu
isra,EVENT,000080-011,Isra,True,622,626,"elihat dosa hamba-hamba-Nya. "" (Al-[[Isra]] : 16-17) Di sana masih ada ayat-ay"
isra,EVENT,000080-011,Isra,True,1334,1338,"erupa, maka kami berpendapat bahwa [[Isra]]' terjadi entah sebelum baiat Aqaba"
isra,EVENT,000080-002,Isra,True,30,34,Hanya saja kandungan surat Al-[[Isra]]' menunjukkan bahwa Isra' itu terja
isra,EVENT,000080-002,Isra,True,54,58,n surat Al-Isra' menunjukkan bahwa [[Isra]]' itu terjadi pada masa-masa akhir.
isra,EVENT,000080-009,Isra,True,1029,1033,"ntu bisa melihat di dalam surat Al-[[Isra]]', bahwa Allah menyebutkan kisah Is"
isra,EVENT,000080-009,Isra,True,1066,1070,"ra', bahwa Allah menyebutkan kisah [[Isra]]' ini hanya dalam satu surat saja."
isra,EVENT,000080-005,Isra,True,522,526,ud. Sedangkan mendekat dalam kisah [[Isra]] adalah mendekatnya Allah. Jadi tid
isra,EVENT,000080-005,Isra,True,960,964,di pada kali ini. Dalam perjalanan [[Isra]] Mi'raj ini banyak peristiwa yang t
isra,EVENT,000080-008,Isra,True,514,518,tanda-tanda (kebesaran) Kami. (Al-[[Isra]] :1) Inilah Sunnatullah yang berlak
isra,EVENT,000080-007,Isra,True,396,400,"mpaikan esok harinya setelah malam [[Isra]]' Ibnul Qayyim berkata, ""Esok harin"
isra,EVENT,000309-001,Isra,True,470,474,"h sesuatu yang pasti lenyap. "" (Al-[[Isra]]: 81) ""Katakanlah, Kebenaran telah"
isra,EVENT,000040-001,Isra,True,328,332,". "" Ibnu Hajar menuturkan, sebelum [[Isra]]' Nabi sudah pernah shalat, begitu"
hari tasyriq,TIME,000361-001,hari tasyriq,False,765,777,rat An-Nashr pada pertengahan hari-[[hari tasyriq]]. Sebenarnya semua ini bisa dikenal
hasan,PERSON,000086-002,hasan,False,755,760,"i dengan kalian."" 122 Dengan isnad [[hasan]]. Al-Hakim dan Ibnu Hibban menshahi"
hasan,PERSON,000359-009,hasan,False,1164,1169,"bu Dawud meriwayatkan dengan isnad [[hasan]] dari Sira' binti Nabhan, dia berka"
abu awanah,PERSON,000284-003,abu Awanah,False,1076,1086,"a shalat dua rakaat. Dalam riwayat [[abu Awanah]] disebutkan, ""Pedang beliau jatuh d"
abu awanah,PERSON,000284-004,abu Awanah,False,14,24,"Dalam riwayat [[abu Awanah]] disebutkan, ""Pedang beliau jatuh d"
