text_id,id,token,predicted_label,halaman
000001-001,000001-001.059,timur,O,34-35
000001-001,000001-001.060,dibatasi,O,34-35
000001-001,000001-001.061,Teluk,O,34-35
000001-001,000001-001.062,Arab,O,34-35
000001-001,000001-001.063,dan,O,34-35
000001-001,000001-001.064,sebagian,O,34-35
000001-001,000001-001.065,besar,O,34-35
000001-001,000001-001.066,negara,O,34-35
000001-001,000001-001.067,Irak,B_LOCATION,34-35
000001-001,000001-001.068,bagian,O,34-35
000001-001,000001-001.069,"selatan,",O,34-35
000001-001,000001-001.070,di,O,34-35
000001-001,000001-001.071,sebelah,O,34-35
000001-001,000001-001.072,utara,O,34-35
000001-001,000001-001.073,dibatasi,O,34-35
000001-001,000001-001.074,Laut,O,34-35
000001-001,000001-001.075,Arab,O,34-35
000001-001,000001-001.076,yang,O,34-35
000001-001,000001-001.077,bersambung,O,34-35
000001-001,000001-001.078,dengan,O,34-35
000001-001,000001-001.079,Lautan,O,34-35
000001-001,000001-001.080,"India,",O,34-35
000001-001,000001-001.081,di,O,34-35
000001-001,000001-001.082,sebelah,O,34-35
000001-001,000001-001.083,utara,O,34-35
000001-001,000001-001.084,dibatasi,O,34-35
000001-001,000001-001.085,negeri,O,34-35
000001-001,000001-001.086,Syam,B_LOCATION,34-35
000001-001,000001-001.087,dan,O,34-35
000001-001,000001-001.088,sebagian,O,34-35
000001-001,000001-001.089,kecil,O,34-35
000001-001,000001-001.090,dari,O,34-35
000001-001,000001-001.091,negara,O,34-35
000001-001,000001-001.092,"Irak,",B_LOCATION,34-35
000001-001,000001-001.093,sekalipun,O,34-35
000001-001,000001-001.094,mungkin,O,34-35
000001-001,000001-001.095,ada,O,34-35
000001-001,000001-001.096,sedikit,O,34-35
000001-001,000001-001.097,perbedaan,O,34-35
000001-001,000001-001.098,dalam,O,34-35
000001-001,000001-001.099,penentuan,O,34-35
000001-001,000001-001.100,batasan,O,34-35
000001-001,000001-001.101,ini.,O,34-35
000001-001,000001-001.102,Luasnya,O,34-35
000001-001,000001-001.103,membentang,O,34-35
000001-001,000001-001.104,antara,O,34-35
000001-001,000001-001.105,satu,O,34-35
000001-001,000001-001.106,juta,O,34-35
000001-001,000001-001.107,mil,O,34-35
000001-001,000001-001.108,sampai,O,34-35
000001-001,000001-001.109,satu,O,34-35
000001-001,000001-001.110,juta,O,34-35
000001-001,000001-001.111,tiga,O,34-35
000001-001,000001-001.112,ratus,O,34-35
000001-001,000001-001.113,ribu,O,34-35
000001-001,000001-001.114,mil.,O,34-35
000001-001,000001-001.115,Jazirah,B_LOCATION,34-35
000001-001,000001-001.116,Arab,I_LOCATION,34-35
000001-001,000001-001.117,memiliki,O,34-35
000001-001,000001-001.118,peranan,O,34-35
000001-001,000001-001.119,yang,O,34-35
000001-001,000001-001.120,sangat,O,34-35
000001-001,000001-001.121,besar,O,34-35
000001-001,000001-001.122,karena,O,34-35
000001-001,000001-001.123,letak,O,34-35
000001-001,000001-001.124,geografis.,O,34-35
000001-001,000001-001.125,Sedangkan,O,34-35
000001-001,000001-001.126,dilihat,O,34-35
000001-001,000001-001.127,dari,O,34-35
000001-001,000001-001.128,kondisi,O,34-35
000001-001,000001-001.129,"internalnya,",O,34-35
000001-001,000001-001.130,Jazirah,B_LOCATION,34-35
000001-001,000001-001.131,Arab,I_LOCATION,34-35
000001-001,000001-001.132,hanya,O,34-35
000001-001,000001-001.133,dikelilingi,O,34-35
000001-001,000001-001.134,gurun,O,34-35
000001-001,000001-001.135,dan,O,34-35
000001-001,000001-001.136,pasir,O,34-35
000001-001,000001-001.137,di,O,34-35
000001-001,000001-001.138,segala,O,34-35
000001-001,000001-001.139,sudutnya.,O,34-35
000001-001,000001-001.140,Karena,O,34-35
000001-001,000001-001.141,kondisi,O,34-35
000001-001,000001-001.142,seperti,O,34-35
000001-001,000001-001.143,inilah,O,34-35
000001-001,000001-001.144,yang,O,34-35
000001-001,000001-001.145,membuat,O,34-35
000001-001,000001-001.146,Jazirah,B_LOCATION,34-35
000001-001,000001-001.147,Arab,I_LOCATION,34-35
000001-001,000001-001.148,seperti,O,34-35
000001-001,000001-001.149,benteng,O,34-35
000001-001,000001-001.150,pertahanan,O,34-35
000001-001,000001-001.151,yang,O,34-35
000001-001,000001-001.152,"kokoh,",O,34-35
000001-001,000001-001.153,yang,O,34-35
000001-001,000001-001.154,tidak,O,34-35
000001-001,000001-001.155,memperkenankan,O,34-35
000001-001,000001-001.156,bangsa,O,34-35
000001-001,000001-001.157,asing,O,34-35
000001-001,000001-001.158,untuk,O,34-35
000001-001,000001-001.159,"menjajah,",O,34-35
000001-001,000001-001.160,"mencaplok,",O,34-35
000001-001,000001-001.161,atau,O,34-35
000001-001,000001-001.162,menguasai,O,34-35
000001-001,000001-001.163,bangsa,O,34-35
000001-001,000001-001.164,Arab.,O,34-35
000001-001,000001-001.165,Oleh,O,34-35
000001-001,000001-001.166,karena,O,34-35
000001-001,000001-001.167,itu,O,34-35
000001-001,000001-001.168,kita,O,34-35
000001-001,000001-001.169,bisa,O,34-35
000001-001,000001-001.170,melihat,O,34-35
000001-001,000001-001.171,penduduk,O,34-35
000001-001,000001-001.172,Jazirah,B_LOCATION,34-35
000001-001,000001-001.173,Arab,I_LOCATION,34-35
000001-001,000001-001.174,yang,O,34-35
000001-001,000001-001.175,hidup,O,34-35
000001-001,000001-001.176,merdeka,O,34-35
000001-001,000001-001.177,dan,O,34-35
000001-001,000001-001.178,bebas,O,34-35
000001-001,000001-001.179,dari,O,34-35
000001-001,000001-001.180,segala,O,34-35
000001-001,000001-001.181,urusan,O,34-35
000001-001,000001-001.182,semenjak,O,34-35
000001-001,000001-001.183,zaman,O,34-35
000001-001,000001-001.184,dahulu.,O,34-35
000001-001,000001-001.185,Sekalipun,O,34-35
000001-001,000001-001.186,begitu,O,34-35
000001-001,000001-001.187,mereka,O,34-35
000001-001,000001-001.188,tetap,O,34-35
000001-001,000001-001.189,hidup,O,34-35
000001-001,000001-001.190,berdampingan,O,34-35
000001-001,000001-001.191,dengan,O,34-35
000001-001,000001-001.192,dua,O,34-35
000001-001,000001-001.193,imperium,O,34-35
000001-001,000001-001.194,yang,O,34-35
000001-001,000001-001.195,besar,O,34-35
000001-001,000001-001.196,saat,O,34-35
000001-001,000001-001.197,"itu,",O,34-35
000001-001,000001-001.198,yang,O,34-35
000001-001,000001-001.199,serangannya,O,34-35
000001-001,000001-001.200,tak,O,34-35
000001-001,000001-001.201,mungkin,O,34-35
000001-001,000001-001.202,bisa,O,34-35
000001-001,000001-001.203,dihalangi,O,34-35
000001-001,000001-001.204,andaikata,O,34-35
000001-001,000001-001.205,tidak,O,34-35
000001-001,000001-001.206,ada,O,34-35
000001-001,000001-001.207,benteng,O,34-35
000001-001,000001-001.208,pertahanan,O,34-35
000001-001,000001-001.209,yang,O,34-35
000001-001,000001-001.210,kokoh,O,34-35
000001-001,000001-001.211,seperti,O,34-35
000001-001,000001-001.212,itu.,O,34-35
000001-002,000001-002.001,Sekalipun,O,34-35
000001-002,000001-002.002,begitu,O,34-35
000001-002,000001-002.003,mereka,O,34-35
000001-002,000001-002.004,tetap,O,34-35
000001-002,000001-002.005,hidup,O,34-35
000001-002,000001-002.006,berdampingan,O,34-35
000001-002,000001-002.007,dengan,O,34-35
000001-002,000001-002.008,dua,O,34-35
000001-002,000001-002.009,imperium,O,34-35
000001-002,000001-002.010,yang,O,34-35
000001-002,000001-002.011,besar,O,34-35
000001-002,000001-002.012,saat,O,34-35
000001-002,000001-002.013,"itu,",O,34-35
000001-002,000001-002.014,yang,O,34-35
000001-002,000001-002.015,serangannya,O,34-35
000001-002,000001-002.016,tak,O,34-35
000001-002,000001-002.017,mungkin,O,34-35
000001-002,000001-002.018,bisa,O,34-35
000001-002,000001-002.019,dihalangi,O,34-35
000001-002,000001-002.020,andaikata,O,34-35
000001-002,000001-002.021,tidak,O,34-35
000001-002,000001-002.022,ada,O,34-35
000001-002,000001-002.023,benteng,O,34-35
000001-002,000001-002.024,pertahanan,O,34-35
000001-002,000001-002.025,yang,O,34-35
000001-002,000001-002.026,kokoh,O,34-35
000001-002,000001-002.027,seperti,O,34-35
000001-002,000001-002.028,itu.,O,34-35
000001-002,000001-002.029,Sedangkan,O,34-35
000001-002,000001-002.030,hubungan,O,34-35
000001-002,000001-002.031,dengan,O,34-35
000001-002,000001-002.032,dunia,O,34-35
000001-002,000001-002.033,"luar,",O,34-35
000001-002,000001-002.034,Jazirah,B_LOCATION,34-35
000001-002,000001-002.035,Arab,I_LOCATION,34-35
000001-002,000001-002.036,terletak,O,34-35
000001-002,000001-002.037,di,O,34-35
000001-002,000001-002.038,benua,O,34-35
000001-002,000001-002.039,yang,O,34-35
000001-002,000001-002.040,sudah,O,34-35
000001-002,000001-002.041,dikenal,O,34-35
000001-002,000001-002.042,semenjak,O,34-35
000001-002,000001-002.043,dahulu,O,34-35
000001-002,000001-002.044,"kala,",O,34-35
000001-002,000001-002.045,yang,O,34-35
000001-002,000001-002.046,mempertautkan,O,34-35
000001-002,000001-002.047,daratan,O,34-35
000001-002,000001-002.048,dan,O,34-35
000001-002,000001-002.049,lautan,O,34-35
000001-002,000001-002.050,Sebelah,O,34-35
000001-002,000001-002.051,barat,O,34-35
000001-002,000001-002.052,laut,O,34-35
000001-002,000001-002.053,merupakan,O,34-35
000001-002,000001-002.054,pintu,O,34-35
000001-002,000001-002.055,masuk,O,34-35
000001-002,000001-002.056,ke,O,34-35
000001-002,000001-002.057,Benua,O,34-35
000001-002,000001-002.058,"Afrika,",O,34-35
000001-002,000001-002.059,sebelah,O,34-35
000001-002,000001-002.060,timur,O,34-35
000001-002,000001-002.061,laut,O,34-35
000001-002,000001-002.062,merupakan,O,34-35
000001-002,000001-002.063,kunci,O,34-35
000001-002,000001-002.064,untuk,O,34-35
000001-002,000001-002.065,masuk,O,34-35
000001-002,000001-002.066,ke,O,34-35
000001-002,000001-002.067,Benua,O,34-35
000001-002,000001-002.068,"Eropa,",O,34-35
000001-002,000001-002.069,dan,O,34-35
000001-002,000001-002.070,sebelah,O,34-35
000001-002,000001-002.071,timur,O,34-35
000001-002,000001-002.072,merupakan,O,34-35
000001-002,000001-002.073,pintu,O,34-35
000001-002,000001-002.074,masuk,O,34-35
000001-002,000001-002.075,bagi,O,34-35
000001-002,000001-002.076,bangsa-bangsa,O,34-35
000001-002,000001-002.077,"non-Arab,",O,34-35
000001-002,000001-002.078,timur,B_LOCATION,34-35
000001-002,000001-002.079,tengah,O,34-35
000001-002,000001-002.080,dan,O,34-35
000001-002,000001-002.081,timur,B_LOCATION,34-35
000001-002,000001-002.082,"dekat,",O,34-35
000001-002,000001-002.083,terus,O,34-35
000001-002,000001-002.084,membentang,O,34-35
000001-002,000001-002.085,ke,O,34-35
000001-002,000001-002.086,India,B_LOCATION,34-35
000001-002,000001-002.087,dan,O,34-35
000001-002,000001-002.088,Cina.,O,34-35
000001-002,000001-002.089,Setiap,O,34-35
000001-002,000001-002.090,benua,O,34-35
000001-002,000001-002.091,mempertemukan,O,34-35
000001-002,000001-002.092,lautnya,O,34-35
000001-002,000001-002.093,dengan,O,34-35
000001-002,000001-002.094,Jazirah,B_LOCATION,34-35
000001-002,000001-002.095,Arab,I_LOCATION,34-35
000001-002,000001-002.096,dan,O,34-35
000001-002,000001-002.097,setiap,O,34-35
000001-002,000001-002.098,kapal,O,34-35
000001-002,000001-002.099,laut,O,34-35
000001-002,000001-002.100,berlayar,O,34-35
000001-002,000001-002.101,tentu,O,34-35
000001-002,000001-002.102,akan,O,34-35
000001-002,000001-002.103,bersandar,O,34-35
000001-002,000001-002.104,di,O,34-35
000001-002,000001-002.105,ujungnya.,O,34-35
000001-002,000001-002.106,Karena,O,34-35
000001-002,000001-002.107,letak,O,34-35
000001-002,000001-002.108,geografisnya,O,34-35
000001-002,000001-002.109,seperti,O,34-35
000001-002,000001-002.110,"itu,",O,34-35
000001-002,000001-002.111,sebelah,O,34-35
000001-002,000001-002.112,utara,O,34-35
000001-002,000001-002.113,dan,O,34-35
000001-002,000001-002.114,selatan,O,34-35
000001-002,000001-002.115,dari,O,34-35
000001-002,000001-002.116,Jazirah,B_LOCATION,34-35
000001-002,000001-002.117,Arab,I_LOCATION,34-35
000001-002,000001-002.118,menjadi,O,34-35
000001-002,000001-002.119,tempat,O,34-35
000001-002,000001-002.120,berlabuh,O,34-35
000001-002,000001-002.121,berbagai,O,34-35
000001-002,000001-002.122,bangsa,O,34-35
000001-002,000001-002.123,untuk,O,34-35
000001-002,000001-002.124,saling,O,34-35
000001-002,000001-002.125,tukar-menukar,O,34-35
000001-002,000001-002.126,"perniagaan,",O,34-35
000001-002,000001-002.127,"peradaban,",O,34-35
000001-002,000001-002.128,"agama,",O,34-35
000001-002,000001-002.129,dan,O,34-35
000001-002,000001-002.130,seni.,O,34-35
000002-001,000002-001.001,Ditilik,O,35-42
000002-001,000002-001.002,dari,O,35-42
000002-001,000002-001.003,silsilah,O,35-42
000002-001,000002-001.004,keturunan,O,35-42
000002-001,000002-001.005,dan,O,35-42
000002-001,000002-001.006,"cikal-bakalnya,",O,35-42
000002-001,000002-001.007,para,O,35-42
000002-001,000002-001.008,sejarawan,O,35-42
000002-001,000002-001.009,membagi,O,35-42
000002-001,000002-001.010,kaum-kaum,O,35-42
000002-001,000002-001.011,bangsa,O,35-42
000002-001,000002-001.012,Arab,O,35-42
000002-001,000002-001.013,menjadi,O,35-42
000002-001,000002-001.014,tiga,O,35-42
000002-001,000002-001.015,"bagian,",O,35-42
000002-001,000002-001.016,yaitu:,O,35-42
000002-001,000002-001.017,1.,O,35-42
000002-001,000002-001.018,Arab,O,35-42
000002-001,000002-001.019,Ba,O,35-42
000002-001,000002-001.020,"idah,",O,35-42
000002-001,000002-001.021,yaitu,O,35-42
000002-001,000002-001.022,kaum-kaum,O,35-42
000002-001,000002-001.023,Arab,O,35-42
000002-001,000002-001.024,terdahulu,O,35-42
000002-001,000002-001.025,yang,O,35-42
000002-001,000002-001.026,sejarahnya,O,35-42
000002-001,000002-001.027,tidak,O,35-42
000002-001,000002-001.028,bisa,O,35-42
000002-001,000002-001.029,dilacak,O,35-42
000002-001,000002-001.030,secara,O,35-42
000002-001,000002-001.031,rinci,O,35-42
000002-001,000002-001.032,dan,O,35-42
000002-001,000002-001.033,"komplit,",O,35-42
000002-001,000002-001.034,seperti,O,35-42
000002-001,000002-001.035,"Ad,",O,35-42
000002-001,000002-001.036,"Tsamud,",O,35-42
000002-001,000002-001.037,"Thasm,",O,35-42
000002-001,000002-001.038,Jadis.,O,35-42
000002-001,000002-001.039,"Imlaq,",O,35-42
000002-001,000002-001.040,dan,O,35-42
000002-001,000002-001.041,lain-lainnya.,O,35-42
000002-001,000002-001.042,2.,O,35-42
000002-001,000002-001.043,Arab,O,35-42
000002-001,000002-001.044,"Aribah,",O,35-42
000002-001,000002-001.045,yaitu,O,35-42
000002-001,000002-001.046,kaum-kaum,O,35-42
000002-001,000002-001.047,Arab,O,35-42
000002-001,000002-001.048,yang,O,35-42
000002-001,000002-001.049,berasal,O,35-42
000002-001,000002-001.050,dari,O,35-42
000002-001,000002-001.051,keturunan,O,35-42
000002-001,000002-001.052,Ya'rub,O,35-42
000002-001,000002-001.053,Yasyjub,B_PERSON,35-42
000002-001,000002-001.054,bin,I_PERSON,35-42
000002-001,000002-001.055,"Qahthan,",I_PERSON,35-42
000002-001,000002-001.056,atau,O,35-42
000002-001,000002-001.057,disebut,O,35-42
000002-001,000002-001.058,pula,O,35-42
000002-001,000002-001.059,Arab,O,35-42
000002-001,000002-001.060,Qahthaniyah.,O,35-42
000002-001,000002-001.061,3.,O,35-42
000002-001,000002-001.062,Arab,O,35-42
000002-001,000002-001.063,Musta,O,35-42
000002-001,000002-001.064,"'rabah,",O,35-42
000002-001,000002-001.065,yaitu,O,35-42
000002-001,000002-001.066,kaum-kaum,O,35-42
000002-001,000002-001.067,Arab,O,35-42
000002-001,000002-001.068,yang,O,35-42
000002-001,000002-001.069,berasal,O,35-42
000002-001,000002-001.070,dari,O,35-42
000002-001,000002-001.071,keturunan,O,35-42
000002-001,000002-001.072,Isma'il,B_PERSON,35-42
000002-001,000002-001.073,yang,O,35-42
000002-001,000002-001.074,disebut,O,35-42
000002-001,000002-001.075,pula,O,35-42
000002-001,000002-001.076,Arab,O,35-42
000002-001,000002-001.077,Adnaniyah.,O,35-42
000002-001,000002-001.078,Tempat,O,35-42
000002-001,000002-001.079,kelahiran,O,35-42
000002-001,000002-001.080,Arab,O,35-42
000002-001,000002-001.081,Aribah,O,35-42
000002-001,000002-001.082,atau,O,35-42
000002-001,000002-001.083,kaum,O,35-42
000002-001,000002-001.084,Qahthan,O,35-42
000002-001,000002-001.085,adalah,O,35-42
000002-001,000002-001.086,negeri,O,35-42
000002-001,000002-001.087,"Yaman,",B_LOCATION,35-42
000002-001,000002-001.088,lalu,O,35-42
000002-001,000002-001.089,berkembang,O,35-42
000002-001,000002-001.090,menjadi,O,35-42
000002-001,000002-001.091,beberapa,O,35-42
000002-001,000002-001.092,kabilah,O,35-42
000002-001,000002-001.093,dan,O,35-42
000002-001,000002-001.094,"suku,",O,35-42
000002-001,000002-001.095,yang,O,35-42
000002-001,000002-001.096,dikenal,O,35-42
000002-001,000002-001.097,adalah,O,35-42
000002-001,000002-001.098,dua,O,35-42
000002-001,000002-001.099,kabilah:,O,35-42
000002-001,000002-001.100,Kabilah,O,35-42
000002-001,000002-001.101,"Himyar,",O,35-42
000002-001,000002-001.102,yang,O,35-42
000002-001,000002-001.103,terdiri,O,35-42
000002-001,000002-001.104,dari,O,35-42
000002-001,000002-001.105,beberapa,O,35-42
000002-001,000002-001.106,suku,O,35-42
000002-001,000002-001.107,"terkenal,",O,35-42
000002-001,000002-001.108,yaitu,O,35-42
000002-001,000002-001.109,Zaid,B_PERSON,35-42
000002-001,000002-001.110,"Al-Jumhur,",O,35-42
000002-001,000002-001.111,Qudha'ah,O,35-42
000002-001,000002-001.112,dan,O,35-42
000002-001,000002-001.113,Sakasik,O,35-42
000002-001,000002-001.114,b.,O,35-42
000002-001,000002-001.115,"Kahlan,",O,35-42
000002-001,000002-001.116,yang,O,35-42
000002-001,000002-001.117,terdiri,O,35-42
000002-001,000002-001.118,dari,O,35-42
000002-001,000002-001.119,beberapa,O,35-42
000002-001,000002-001.120,suku,O,35-42
000002-001,000002-001.121,"terkenal,",O,35-42
000002-001,000002-001.122,yaitu,O,35-42
000002-001,000002-001.123,"Hamdan,",O,35-42
000002-001,000002-001.124,Amnar.,O,35-42
000002-001,000002-001.125,"Thayyi',",O,35-42
000002-001,000002-001.126,"Madzhij,",O,35-42
000002-001,000002-001.127,"Kindah,",O,35-42
000002-001,000002-001.128,"Lakham,",O,35-42
000002-001,000002-001.129,"Judzam,",O,35-42
000002-001,000002-001.130,"Uzd,",O,35-42
000002-001,000002-001.131,"Aus,",O,35-42
000002-001,000002-001.132,"Khazraj,",O,35-42
000002-001,000002-001.133,dan,O,35-42
000002-001,000002-001.134,anak,O,35-42
000002-001,000002-001.135,keturunan,O,35-42
000002-001,000002-001.136,Jafnah,O,35-42
000002-001,000002-001.137,raja,O,35-42
000002-001,000002-001.138,Syam.,B_LOCATION,35-42
000002-002,000002-002.001,"Thayyi',",O,35-42
000002-002,000002-002.002,"Madzhij,",O,35-42
000002-002,000002-002.003,"Kindah,",O,35-42
000002-002,000002-002.004,"Lakham,",O,35-42
000002-002,000002-002.005,"Judzam,",O,35-42
000002-002,000002-002.006,"Uzd,",O,35-42
000002-002,000002-002.007,"Aus,",O,35-42
000002-002,000002-002.008,"Khazraj,",O,35-42
000002-002,000002-002.009,dan,O,35-42
000002-002,000002-002.010,anak,O,35-42
000002-002,000002-002.011,keturunan,O,35-42
000002-002,000002-002.012,Jafnah,O,35-42
000002-002,000002-002.013,raja,O,35-42
000002-002,000002-002.014,Syam.,B_LOCATION,35-42
000002-002,000002-002.015,Suku-suku,O,35-42
000002-002,000002-002.016,Kahlan,O,35-42
000002-002,000002-002.017,banyak,O,35-42
000002-002,000002-002.018,yang,O,35-42
000002-002,000002-002.019,hijrah,O,35-42
000002-002,000002-002.020,meninggalkan,O,35-42
000002-002,000002-002.021,"Yaman,",B_LOCATION,35-42
000002-002,000002-002.022,lalu,O,35-42
000002-002,000002-002.023,menyebar,O,35-42
000002-002,000002-002.024,ke,O,35-42
000002-002,000002-002.025,berbagai,O,35-42
000002-002,000002-002.026,penjuru,O,35-42
000002-002,000002-002.027,jazirah,O,35-42
000002-002,000002-002.028,sebelum,O,35-42
000002-002,000002-002.029,ada,O,35-42
000002-002,000002-002.030,bencana,O,35-42
000002-002,000002-002.031,karena,O,35-42
000002-002,000002-002.032,kegagalan,O,35-42
000002-002,000002-002.033,mereka,O,35-42
000002-002,000002-002.034,dalam,O,35-42
000002-002,000002-002.035,"perdagangan,",O,35-42
000002-002,000002-002.036,sebagai,O,35-42
000002-002,000002-002.037,akibat,O,35-42
000002-002,000002-002.038,dari,O,35-42
000002-002,000002-002.039,tekanan,O,35-42
000002-002,000002-002.040,bangsa,O,35-42
000002-002,000002-002.041,Romawi,O,35-42
000002-002,000002-002.042,dan,O,35-42
000002-002,000002-002.043,tindakan,O,35-42
000002-002,000002-002.044,mereka,O,35-42
000002-002,000002-002.045,yang,O,35-42
000002-002,000002-002.046,menguasai,O,35-42
000002-002,000002-002.047,jalan,O,35-42
000002-002,000002-002.048,perdagangan,O,35-42
000002-002,000002-002.049,lewat,O,35-42
000002-002,000002-002.050,laut,O,35-42
000002-002,000002-002.051,dan,O,35-42
000002-002,000002-002.052,setelah,O,35-42
000002-002,000002-002.053,mereka,O,35-42
000002-002,000002-002.054,menghancurkan,O,35-42
000002-002,000002-002.055,jalan,O,35-42
000002-002,000002-002.056,darat,O,35-42
000002-002,000002-002.057,serta,O,35-42
000002-002,000002-002.058,berhasil,O,35-42
000002-002,000002-002.059,menguasai,O,35-42
000002-002,000002-002.060,Mesir,B_LOCATION,35-42
000002-002,000002-002.061,dan,O,35-42
