text_id,token,label,pos_tag
000048-004,mengetahui,O,VERB
000048-004,para,O,DET
000048-004,penyihir,O,NOUN
000048-004,.,O,PUNCT
000048-004,hembusan,O,NOUN
000048-004,dan,O,CCONJ
000048-004,buhul,O,NOUN
000048-004,talinya,O,NOUN
000048-004,.,O,PUNCT
000048-004,Kalian,O,PRON
000048-004,mengatakan,O,VERB
000048-004,",",O,PUNCT
000048-004,Dia,O,PRON
000048-004,adalah,O,AUX
000048-004,dukun',O,NOUN
000048-004,.,O,PUNCT
000048-004,Tidak,O,PART
000048-004,",",O,PUNCT
000048-004,demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,dia,O,PRON
000048-004,bukanlah,O,AUX
000048-004,dukun,O,NOUN
000048-004,.,O,PUNCT
000048-004,Kita,O,PRON
000048-004,sudah,O,AUX
000048-004,pernah,O,ADV
000048-004,melihat,O,VERB
000048-004,dukun-,O,NOUN
000048-004,dukun,O,NOUN
000048-004,",",O,PUNCT
000048-004,yang,O,PRON
000048-004,komat-kamit,O,NOUN
000048-004,dan,O,CCONJ
000048-004,membacakan,O,VERB
000048-004,mantera,O,NOUN
000048-004,.,O,PUNCT
000048-004,Kalian,O,PRON
000048-004,mengatakan,O,VERB
000048-004,.,O,PUNCT
000048-004,Dia,O,PRON
000048-004,adalah,O,AUX
000048-004,penyair.',O,PUNCT
000048-004,Tidak,O,PART
000048-004,",",O,PUNCT
000048-004,demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,dia,O,PRON
000048-004,bukanlah,O,AUX
000048-004,penyair,O,NOUN
000048-004,.,O,PUNCT
000048-004,Kita,O,PRON
000048-004,sudah,O,AUX
000048-004,mengetahui,O,VERB
000048-004,syair,O,NOUN
000048-004,dan,O,CCONJ
000048-004,mendengar,O,VERB
000048-004,semua,O,DET
000048-004,jenis-jenisnya,O,NOUN
000048-004,",",O,PUNCT
000048-004,baik,O,ADJ
000048-004,hazaj,O,NOUN
000048-004,maupun,O,CCONJ
000048-004,rajaz,O,PROPN
000048-004,.,O,PUNCT
000048-004,Kalian,O,PRON
000048-004,berkata,O,VERB
000048-004,",",O,PUNCT
000048-004,Dia,O,PRON
000048-004,adalah,O,AUX
000048-004,orang,O,NOUN
000048-004,sinting.',O,PUNCT
000048-004,Tidak,O,PART
000048-004,",",O,PUNCT
000048-004,demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,dia,O,PRON
000048-004,bukan,O,PART
000048-004,orang,O,NOUN
000048-004,sinting,O,PROPN
000048-004,.,O,PUNCT
000048-004,Kita,O,PRON
000048-004,sudah,O,AUX
000048-004,mengetahui,O,VERB
000048-004,orang-orang,O,NOUN
000048-004,yang,O,PRON
000048-004,sinting,O,ADJ
000048-004,.,O,PUNCT
000048-004,sementara,O,SCONJ
000048-004,dia,O,PRON
000048-004,tidak,O,PART
000048-004,menangis,O,VERB
000048-004,tersedu-sedu,O,VERB
000048-004,",",O,PUNCT
000048-004,tidak,O,PART
000048-004,bertindak,O,VERB
000048-004,sekenanya,O,NOUN
000048-004,dan,O,CCONJ
000048-004,tidak,O,PART
000048-004,berbisik-bisik,O,VERB
000048-004,layaknya,O,ADP
000048-004,orang,O,NOUN
000048-004,sinting,O,ADJ
000048-004,.,O,PUNCT
000048-004,Wahai,O,PROPN
000048-004,semua,O,DET
000048-004,orang,O,NOUN
000048-004,Quraisy,O,PROPN
000048-004,.,O,PUNCT
000048-004,Lihatlah,O,VERB
000048-004,lagi,O,ADV
000048-004,kedudukan,O,NOUN
000048-004,kalian,O,PRON
000048-004,.,O,PUNCT
000048-004,Demi,O,ADP
000048-004,Allah,O,PROPN
000048-004,",",O,PUNCT
000048-004,kini,O,ADV
000048-004,ada,O,VERB
000048-004,urusan,O,NOUN
000048-004,besar,O,ADJ
000048-004,yang,O,PRON
000048-004,datang,O,VERB
000048-004,kepada,O,ADP
000048-004,kalian,O,PRON
000048-004,".""",O,PUNCT
000048-004,Kemudian,O,SCONJ
000048-004,An-Nadhr,O,PROPN
000048-004,pergi,O,VERB
000048-004,ke,O,ADP
000048-004,Hirah,O,PROPN
000048-004,.,O,PUNCT
000048-004,Di,O,ADP
000048-004,sana,O,NOUN
000048-004,dia,O,PRON
000048-004,mempelajari,O,VERB
000048-004,kisah,O,NOUN
000048-004,para,O,DET
000048-004,raja,O,NOUN
000048-004,Persi,O,PROPN
000048-004,",",O,PUNCT
000048-004,perkataan,O,NOUN
000048-004,Rustum,O,PROPN
000048-004,dan,O,CCONJ
000048-004,Asfandiyar,O,PROPN
000048-004,.,O,PUNCT
