chunk_id;halaman;entity_text;entity_label;start_char;end_char;confidence;source
000002-002;35-42;Haritsah bin Tsa'labah;PERSON;1255.0;1277.0;1.0;gold
000002-002;35-42;Haritsah bin Amr;PERSON;1319.0;1335.0;1.0;gold
000002-002;35-42;Hijaz;LOCATION;1385.0;1390.0;1.0;gold
000002-002;35-42;Makkah;LOCATION;1487.0;1493.0;1.0;gold
000002-003;35-42;Haritsah bin Amr;PERSON;40.0;56.0;1.0;gold
000002-003;35-42;Hijaz;LOCATION;106.0;111.0;1.0;gold
000002-003;35-42;Makkah;LOCATION;208.0;214.0;1.0;gold
000002-003;35-42;Imran bin Amr;PERSON;226.0;239.0;1.0;gold
000002-003;35-42;Nash bin Al-Uzd;PERSON;370.0;385.0;1.0;gold
000002-003;35-42;Tihamah;LOCATION;397.0;404.0;1.0;gold
000002-003;35-42;Jafnah bin Amr;PERSON;434.0;448.0;1.0;gold
000002-003;35-42;Syam;LOCATION;458.0;462.0;1.0;gold
000002-003;35-42;Abul Muluk;PERSON;523.0;533.0;1.0;gold
000002-003;35-42;Hijaz;LOCATION;586.0;591.0;1.0;gold
000002-003;35-42;Syam;LOCATION;690.0;694.0;1.0;gold
000002-003;35-42;Nashr bin Rabi'ah;PERSON;750.0;767.0;1.0;gold
000002-003;35-42;Bahrain;LOCATION;1044.0;1051.0;1.0;gold
000002-003;35-42;Hadhramaut;LOCATION;1106.0;1116.0;1.0;gold
000002-003;35-42;Bahrain;LOCATION;1171.0;1178.0;1.0;gold
000002-003;35-42;Najd;LOCATION;1209.0;1213.0;1.0;gold
000002-004;35-42;Yaman;LOCATION;190.0;195.0;1.0;gold
000002-004;35-42;Ibrahim;PERSON;291.0;298.0;1.0;gold
000002-004;35-42;Irak;LOCATION;327.0;331.0;1.0;gold
000002-004;35-42;Eufrat;LOCATION;400.0;406.0;1.0;gold
000002-004;35-42;Ibrahim;PERSON;542.0;549.0;1.0;gold
000002-004;35-42;Ibrahim;PERSON;630.0;637.0;1.0;gold
000002-004;35-42;Irak;LOCATION;650.0;654.0;1.0;gold
000002-004;35-42;Mesir;LOCATION;852.0;857.0;1.0;gold
000002-004;35-42;Mesir;LOCATION;877.0;882.0;1.0;gold
000002-004;35-42;Ibrahim;PERSON;1240.0;1247.0;1.0;gold
000002-004;35-42;Palestina;LOCATION;1259.0;1268.0;1.0;gold
000002-004;35-42;Ibrahim;PERSON;1356.0;1363.0;1.0;gold
000002-004;35-42;Isma'il;PERSON;1419.0;1426.0;1.0;gold
000002-005;35-42;Ibrahim;PERSON;12.0;19.0;1.0;gold
000002-005;35-42;Hajar;PERSON;38.0;43.0;1.0;gold
000002-005;35-42;Isma'il;PERSON;75.0;82.0;1.0;gold
000002-005;35-42;Hijaz;LOCATION;116.0;121.0;1.0;gold
000002-005;35-42;Ibrahim;PERSON;319.0;326.0;1.0;gold
000002-005;35-42;Zamzam;LOCATION;429.0;435.0;1.0;gold
000002-005;35-42;Makkah;LOCATION;449.0;455.0;1.0;gold
000002-005;35-42;Isma'il;PERSON;565.0;572.0;1.0;gold
000002-005;35-42;Palestina;LOCATION;621.0;630.0;1.0;gold
000002-005;35-42;Al-Khadhri;PERSON;738.0;748.0;1.0;gold
000002-005;35-42;Muhammad;PERSON;1205.0;1213.0;1.0;gold
000002-006;35-42;Zamzam;LOCATION;63.0;69.0;1.0;gold
000002-006;35-42;Yaman;LOCATION;281.0;286.0;1.0;gold
000002-006;35-42;Isma'il;PERSON;340.0;347.0;1.0;gold
000002-006;35-42;Makkah;LOCATION;474.0;480.0;1.0;gold
000002-006;35-42;Makkah;LOCATION;543.0;549.0;1.0;gold
000002-006;35-42;Isma'il;PERSON;569.0;576.0;1.0;gold
000002-006;35-42;Isma'il;PERSON;597.0;604.0;1.0;gold
000002-006;35-42;Makkah;LOCATION;647.0;653.0;1.0;gold
000002-006;35-42;Ibrahim;PERSON;682.0;689.0;1.0;gold
000002-006;35-42;Makkah;LOCATION;700.0;706.0;1.0;gold
000002-006;35-42;Ibrahim;PERSON;958.0;965.0;1.0;gold
000002-006;35-42;Isma'il;PERSON;1022.0;1029.0;1.0;gold
000002-006;35-42;Ibrahim;PERSON;1175.0;1182.0;1.0;gold
000002-006;35-42;Ibrahim;PERSON;1284.0;1291.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;188.0;195.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;569.0;576.0;1.0;gold
000002-007;35-42;Ibnu Abbas;PERSON;680.0;690.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;741.0;748.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;911.0;918.0;1.0;gold
000002-007;35-42;Ibrahim;PERSON;953.0;960.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;1073.0;1080.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;1107.0;1114.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;1193.0;1200.0;1.0;gold
000002-007;35-42;Ibrahim;PERSON;1249.0;1256.0;1.0;gold
000002-007;35-42;Isma'il;PERSON;1306.0;1313.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;63.0;70.0;1.0;gold
000002-008;35-42;Mudhadh bin Amru;PERSON;139.0;155.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;204.0;211.0;1.0;gold
000002-008;35-42;Ibrahim;PERSON;228.0;235.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;281.0;288.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;319.0;326.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;372.0;379.0;1.0;gold
000002-008;35-42;Ibrahim;PERSON;413.0;420.0;1.0;gold
000002-008;35-42;Palestina;LOCATION;437.0;446.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;484.0;491.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;498.0;505.0;1.0;gold
000002-008;35-42;Ibrahim;PERSON;576.0;583.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;604.0;611.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;626.0;633.0;1.0;gold
000002-008;35-42;Zamzam;LOCATION;690.0;696.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;733.0;740.0;1.0;gold
000002-008;35-42;Ibrahim;PERSON;820.0;827.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;1092.0;1099.0;1.0;gold
000002-008;35-42;Ka'bah;LOCATION;1206.0;1212.0;1.0;gold
000002-008;35-42;Ibrahim;PERSON;1245.0;1252.0;1.0;gold
000002-008;35-42;Isma'il;PERSON;1383.0;1390.0;1.0;gold
000002-009;35-42;Isma'il;PERSON;41.0;48.0;1.0;gold
000002-009;35-42;Makkah;LOCATION;361.0;367.0;1.0;gold
000002-009;35-42;Yaman;LOCATION;453.0;458.0;1.0;gold
000002-009;35-42;Syam;LOCATION;476.0;480.0;1.0;gold
000002-009;35-42;Mesir;LOCATION;485.0;490.0;1.0;gold
000002-009;35-42;Hijaz;LOCATION;743.0;748.0;1.0;gold
000002-009;35-42;Isma'il;PERSON;1227.0;1234.0;1.0;gold
000002-009;35-42;Qaidar bin Isma'il;PERSON;1261.0;1279.0;1.0;gold
000002-009;35-42;Makkah;LOCATION;1297.0;1303.0;1.0;gold
000002-010;35-42;Ibrahim;PERSON;512.0;519.0;1.0;gold
000002-010;35-42;Asad bin Rabi'ah;PERSON;950.0;966.0;1.0;gold
000002-010;35-42;Ailan bin Mudhar;PERSON;1201.0;1217.0;1.0;gold
000002-010;35-42;Ilyas bin Mudhar;PERSON;1234.0;1250.0;1.0;gold
000002-010;35-42;Ilyas bin Mudha;PERSON;1320.0;1335.0;1.0;gold
000002-010;35-42;Tamim bin Murrah;PERSON;1340.0;1356.0;1.0;gold
000002-010;35-42;Hudzail bin Mudrikah;PERSON;1358.0;1378.0;1.0;gold
000002-010;35-42;Asad bin Khuzaimah;PERSON;1385.0;1403.0;1.0;gold
000002-010;35-42;Kinanah bin Khuzimah;PERSON;1421.0;1441.0;1.0;gold
000002-011;35-42;Ilyas bin Mudha;PERSON;5.0;20.0;1.0;gold
000002-011;35-42;Tamim bin Murrah;PERSON;25.0;41.0;1.0;gold
000002-011;35-42;Hudzail bin Mudrikah;PERSON;43.0;63.0;1.0;gold
000002-011;35-42;Asad bin Khuzaimah;PERSON;70.0;88.0;1.0;gold
000002-011;35-42;Kinanah bin Khuzimah;PERSON;106.0;126.0;1.0;gold
000002-011;35-42;Fihr bin Malik bin An-Nadhar bin Kinanah;PERSON;175.0;215.0;1.0;gold
000002-011;35-42;Quraisy bin Kilab;PERSON;335.0;352.0;1.0;gold
000002-011;35-42;Dar bin Qushay;PERSON;366.0;380.0;1.0;gold
000002-011;35-42;Asad bin Abdul Uzza bin Qushay;PERSON;382.0;412.0;1.0;gold
000002-011;35-42;Manaf bin Qushay;PERSON;422.0;438.0;1.0;gold
000002-011;35-42;Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;PERSON;566.0;619.0;1.0;gold
000002-011;35-42;Rasulullah;PERSON;621.0;631.0;1.0;gold
000002-011;35-42;Isma'il;PERSON;683.0;690.0;1.0;gold
000002-011;35-42;Ibrahim;PERSON;701.0;708.0;1.0;gold
000002-011;35-42;Al-Abbas bin Abdul Muththalib;PERSON;880.0;909.0;1.0;gold
000002-011;35-42;Rasulullah;PERSON;925.0;935.0;1.0;gold
000002-011;35-42;Jazirah Arab;LOCATION;1419.0;1431.0;1.0;gold
000002-012;35-42;Jazirah Arab;LOCATION;100.0;112.0;1.0;gold
000002-012;35-42;Bakr bin Wa'il;PERSON;206.0;220.0;1.0;gold
000002-012;35-42;Hanifah bin Sha'b bin Ali bin Bakr;PERSON;297.0;331.0;1.0;gold
000002-012;35-42;Bakr bin Wa'il;PERSON;403.0;417.0;1.0;gold
000002-012;35-42;Eufrat;LOCATION;512.0;518.0;1.0;gold
000002-012;35-42;Madinah;LOCATION;633.0;640.0;1.0;gold
000002-012;35-42;Madinah;LOCATION;674.0;681.0;1.0;gold
000002-012;35-42;Khaibar;LOCATION;692.0;699.0;1.0;gold
000002-012;35-42;Madinah;LOCATION;717.0;724.0;1.0;gold
000002-012;35-42;Tha'if;LOCATION;766.0;772.0;1.0;gold
000002-012;35-42;Makkah;LOCATION;791.0;797.0;1.0;gold
000002-012;35-42;Makkah;LOCATION;806.0;812.0;1.0;gold
000002-012;35-42;Tihamah;LOCATION;1081.0;1088.0;1.0;gold
000002-012;35-42;Makkah;LOCATION;1129.0;1135.0;1.0;gold
000002-012;35-42;Qushay bin Kilab;PERSON;1248.0;1264.0;1.0;gold
000004-001;43-45;Yaman;LOCATION;31.0;36.0;1.0;gold
000004-001;43-45;tahun 650 SM;TIME;346.0;358.0;1.0;gold
000004-001;43-45;Yaman;LOCATION;723.0;728.0;1.0;gold
000004-001;43-45;tahun 650 SM;TIME;857.0;869.0;1.0;gold
000004-001;43-45;tahun 110 SM;TIME;878.0;890.0;1.0;gold
000004-001;43-45;tahun 115 SM;TIME;1145.0;1157.0;1.0;gold
000004-001;43-45;tahun 300 M;TIME;1166.0;1177.0;1.0;gold
000004-002;43-45;Hijaz;LOCATION;253.0;258.0;1.0;gold
000004-002;43-45;Mesir;LOCATION;390.0;395.0;1.0;gold
000004-002;43-45;Hijaz;LOCATION;415.0;420.0;1.0;gold
000004-002;43-45;tahun 300 M;TIME;634.0;645.0;1.0;gold
000004-002;43-45;Yaman;LOCATION;671.0;676.0;1.0;gold
000004-002;43-45;Habasyah;LOCATION;954.0;962.0;1.0;gold
000004-002;43-45;Yaman;LOCATION;976.0;981.0;1.0;gold
000004-002;43-45;tahun 340 M;TIME;992.0;1003.0;1.0;gold
000004-002;43-45;tahun 378 M;TIME;1110.0;1121.0;1.0;gold
000004-002;43-45;Yaman;LOCATION;1132.0;1137.0;1.0;gold
000004-003;43-45;Isa;PERSON;222.0;225.0;1.0;gold
000004-003;43-45;Najran;LOCATION;250.0;256.0;1.0;gold
000004-003;43-45;Dzu Nuwas;PERSON;341.0;350.0;1.0;gold
000004-003;43-45;Habasyah;LOCATION;750.0;758.0;1.0;gold
000004-003;43-45;Habasyah;LOCATION;833.0;841.0;1.0;gold
000004-003;43-45;Yaman;LOCATION;874.0;879.0;1.0;gold
000004-003;43-45;tahun 525 M;TIME;930.0;941.0;1.0;gold
000004-003;43-45;Abrahah;PERSON;986.0;993.0;1.0;gold
000004-003;43-45;Yaman;LOCATION;1058.0;1063.0;1.0;gold
000004-003;43-45;Habasyah;LOCATION;1097.0;1105.0;1.0;gold
000004-003;43-45;Abrahah;PERSON;1107.0;1114.0;1.0;gold
000004-003;43-45;Ka'bah;LOCATION;1170.0;1176.0;1.0;gold
000004-003;43-45;Yaman;LOCATION;1264.0;1269.0;1.0;gold
000004-003;43-45;Persia;LOCATION;1305.0;1311.0;1.0;gold
000004-004;43-45;Yaman;LOCATION;40.0;45.0;1.0;gold
000004-004;43-45;Persia;LOCATION;81.0;87.0;1.0;gold
000004-004;43-45;Habasyah;LOCATION;144.0;152.0;1.0;gold
000004-004;43-45;Yaman;LOCATION;158.0;163.0;1.0;gold
000004-004;43-45;tahun 575 M;TIME;209.0;220.0;1.0;gold
000004-004;43-45;Yakrib bin Saif;PERSON;242.0;257.0;1.0;gold
000004-004;43-45;Habasyah;LOCATION;395.0;403.0;1.0;gold
000004-004;43-45;Kisra;PERSON;613.0;618.0;1.0;gold
000004-004;43-45;Yaman;LOCATION;683.0;688.0;1.0;gold
000004-004;43-45;Yaman;LOCATION;794.0;799.0;1.0;gold
000004-004;43-45;Yaman;LOCATION;848.0;853.0;1.0;gold
000004-004;43-45;tahun 638 M;TIME;901.0;912.0;1.0;gold
000005-001;45-47;Irak;LOCATION;28.0;32.0;1.0;gold
000005-001;45-47;tahun 326 SM;TIME;236.0;248.0;1.0;gold
000005-001;45-47;tahun 230 SM;TIME;854.0;866.0;1.0;gold
000005-001;45-47;Irak;LOCATION;970.0;974.0;1.0;gold
000005-001;45-47;Eufrat;LOCATION;1102.0;1108.0;1.0;gold
000005-001;45-47;tahun 226 M;TIME;1204.0;1215.0;1.0;gold
000005-001;45-47;Persia;LOCATION;1251.0;1257.0;1.0;gold
000005-001;45-47;Syam;LOCATION;1399.0;1403.0;1.0;gold
000005-002;45-47;Irak;LOCATION;148.0;152.0;1.0;gold
000005-002;45-47;Syam;LOCATION;546.0;550.0;1.0;gold
000005-002;45-47;Irak;LOCATION;555.0;559.0;1.0;gold
000005-002;45-47;Amru bin Adi bin Nashr;PERSON;645.0;667.0;1.0;gold
000005-002;45-47;tahun 268 M;TIME;748.0;759.0;1.0;gold
000005-002;45-47;Kisra;PERSON;817.0;822.0;1.0;gold
000005-002;45-47;Sabur bin Ardasyir;PERSON;823.0;841.0;1.0;gold
000005-002;45-47;Qubadz bin Fairuz;PERSON;940.0;957.0;1.0;gold
000005-002;45-47;Al-Mundzir bin Ma;PERSON;1181.0;1198.0;1.0;gold
000005-003;45-47;Al-Harits bin Amr bin Hijr;PERSON;134.0;160.0;1.0;gold
000005-003;45-47;Kisra;PERSON;278.0;283.0;1.0;gold
000005-003;45-47;Al-Harits bin Amr;PERSON;468.0;485.0;1.0;gold
000005-003;45-47;Kalb;LOCATION;533.0;537.0;1.0;gold
000005-003;45-47;Al-Mundzir bin Ma'us;PERSON;601.0;621.0;1.0;gold
000005-003;45-47;An-Nu'man bin Al-Mundzir;PERSON;652.0;676.0;1.0;gold
000005-003;45-47;Kisra;PERSON;710.0;715.0;1.0;gold
000005-003;45-47;Zaid bin Adi;PERSON;755.0;767.0;1.0;gold
000005-003;45-47;Kisra;PERSON;777.0;782.0;1.0;gold
000005-003;45-47;Hani bin Mas'ud;PERSON;903.0;918.0;1.0;gold
000005-003;45-47;Kisra;PERSON;1016.0;1021.0;1.0;gold
000005-003;45-47;Kisra;PERSON;1111.0;1116.0;1.0;gold
000005-003;45-47;lyas bin Qubaishah;PERSON;1128.0;1146.0;1.0;gold
000005-003;45-47;Hani' bin Mas'ud;PERSON;1192.0;1208.0;1.0;gold
000005-003;45-47;Kisra;PERSON;1343.0;1348.0;1.0;gold
000005-003;45-47;Kisra;PERSON;1416.0;1421.0;1.0;gold
000005-004;45-47;Rasulullah;PERSON;313.0;323.0;1.0;gold
000005-004;45-47;Iyas bin Qubaishah;PERSON;373.0;391.0;1.0;gold
000005-004;45-47;Kisra;PERSON;425.0;430.0;1.0;gold
000005-004;45-47;tahun 632 M;TIME;492.0;503.0;1.0;gold
000005-004;45-47;Khalid bin Al-Walid;PERSON;706.0;725.0;1.0;gold
000006-001;47-48;Syam;LOCATION;144.0;148.0;1.0;gold
000006-001;47-48;Sulaih bin Halwan;PERSON;196.0;213.0;1.0;gold
000006-001;47-48;Ziyad bin Habulah;PERSON;603.0;620.0;1.0;gold
000006-001;47-48;Al-Khadhri;PERSON;701.0;711.0;1.0;gold
000006-001;47-48;Syam;LOCATION;933.0;937.0;1.0;gold
000006-001;47-48;Perang Yarmuk;EVENT;1056.0;1069.0;1.0;gold
000006-001;47-48;tahun 13 H;TIME;1075.0;1085.0;1.0;gold
000006-001;47-48;Jabalah bin Al-Aiham;PERSON;1114.0;1134.0;1.0;gold
000006-001;47-48;Umar bin Al-Khaththab;PERSON;1196.0;1217.0;1.0;gold
000007-001;48-53;Isma'il;PERSON;0.0;7.0;1.0;gold
000007-001;48-53;Makkah;LOCATION;25.0;31.0;1.0;gold
000007-001;48-53;Ka'bah;LOCATION;46.0;52.0;1.0;gold
000007-001;48-53;Mudhadh bin Amr;PERSON;231.0;246.0;1.0;gold
000007-001;48-53;Makkah;LOCATION;278.0;284.0;1.0;gold
000007-001;48-53;Isma'il;PERSON;367.0;374.0;1.0;gold
000007-001;48-53;Ka'bah;LOCATION;446.0;452.0;1.0;gold
000007-001;48-53;Isma'il;PERSON;572.0;579.0;1.0;gold
000007-001;48-53;Bukhtanashar;PERSON;666.0;678.0;1.0;gold
000007-001;48-53;Makkah;LOCATION;742.0;748.0;1.0;gold
000007-001;48-53;Bukhtanashar;PERSON;780.0;792.0;1.0;gold
000007-001;48-53;Yaman;LOCATION;922.0;927.0;1.0;gold
000007-001;48-53;Bukhtanashar;PERSON;945.0;957.0;1.0;gold
000007-001;48-53;tahun 587 SM;TIME;962.0;974.0;1.0;gold
000007-001;48-53;Syam;LOCATION;1006.0;1010.0;1.0;gold
000007-001;48-53;Bukhtanashar;PERSON;1028.0;1040.0;1.0;gold
000007-001;48-53;Makkah;LOCATION;1080.0;1086.0;1.0;gold
000007-001;48-53;Jursyum bin Jalhamah;PERSON;1153.0;1173.0;1.0;gold
000007-001;48-53;Makkah;LOCATION;1284.0;1290.0;1.0;gold
000007-001;48-53;Ka'bah;LOCATION;1432.0;1438.0;1.0;gold
000007-002;48-53;Makkah;LOCATION;169.0;175.0;1.0;gold
000007-002;48-53;Zamzam;LOCATION;301.0;307.0;1.0;gold
000007-002;48-53;Ibnu Ishaq;PERSON;391.0;401.0;1.0;gold
000007-002;48-53;Amr bin Al-Harits bin Mudhadh;PERSON;412.0;441.0;1.0;gold
000007-002;48-53;Ka'bah;LOCATION;481.0;487.0;1.0;gold
000007-002;48-53;Zamzam;LOCATION;531.0;537.0;1.0;gold
000007-002;48-53;Yaman;LOCATION;589.0;594.0;1.0;gold
000007-002;48-53;Makkah;LOCATION;668.0;674.0;1.0;gold
000007-002;48-53;Shafa;LOCATION;767.0;772.0;1.0;gold
000007-002;48-53;Makkah;LOCATION;815.0;821.0;1.0;gold
000007-002;48-53;Isma'il;PERSON;933.0;940.0;1.0;gold
000007-002;48-53;Makkah;LOCATION;1020.0;1026.0;1.0;gold
000007-002;48-53;Makkah;LOCATION;1135.0;1141.0;1.0;gold
000007-002;48-53;Arafah;LOCATION;1279.0;1285.0;1.0;gold
000007-002;48-53;Muzdalifah;LOCATION;1293.0;1303.0;1.0;gold
000007-002;48-53;Mina;LOCATION;1358.0;1362.0;1.0;gold
000007-002;48-53;Ghauts bin Murrah;PERSON;1398.0;1415.0;1.0;gold
000007-002;48-53;Ilyas bin Mudhar;PERSON;1426.0;1442.0;1.0;gold
000007-003;48-53;Arafah;LOCATION;30.0;36.0;1.0;gold
000007-003;48-53;Muzdalifah;LOCATION;44.0;54.0;1.0;gold
000007-003;48-53;Mina;LOCATION;109.0;113.0;1.0;gold
000007-003;48-53;Ghauts bin Murrah;PERSON;149.0;166.0;1.0;gold
000007-003;48-53;Ilyas bin Mudhar;PERSON;177.0;193.0;1.0;gold
000007-003;48-53;Mina;LOCATION;404.0;408.0;1.0;gold
000007-003;48-53;Aqabah;LOCATION;461.0;467.0;1.0;gold
000007-003;48-53;Sa'd bin Zaid;PERSON;641.0;654.0;1.0;gold
000007-003;48-53;Mina;LOCATION;715.0;719.0;1.0;gold
000007-003;48-53;Tamim bin Adi;PERSON;831.0;844.0;1.0;gold
000007-003;48-53;Makkah;LOCATION;886.0;892.0;1.0;gold
000007-003;48-53;Najd;LOCATION;993.0;997.0;1.0;gold
000007-003;48-53;Irak;LOCATION;1019.0;1023.0;1.0;gold
000007-003;48-53;Makkah;LOCATION;1060.0;1066.0;1.0;gold
000007-003;48-53;Makkah;LOCATION;1227.0;1233.0;1.0;gold
000007-003;48-53;Qushay bin Kilab;PERSON;1266.0;1282.0;1.0;gold
000007-003;48-53;Ibnu Hisyam;PERSON;1304.0;1315.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;70.0;76.0;1.0;gold
000007-004;48-53;Qushay bin Kilab;PERSON;109.0;125.0;1.0;gold
000007-004;48-53;Ibnu Hisyam;PERSON;147.0;158.0;1.0;gold
000007-004;48-53;Rabi'ah bin Haram;PERSON;346.0;363.0;1.0;gold
000007-004;48-53;Syam;LOCATION;403.0;407.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;457.0;463.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;488.0;494.0;1.0;gold
000007-004;48-53;Hulail bin Hubsyah;PERSON;502.0;520.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;791.0;797.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;1087.0;1093.0;1.0;gold
000007-004;48-53;Ka'bah;LOCATION;1115.0;1121.0;1.0;gold
000007-004;48-53;Isma'il;PERSON;1207.0;1214.0;1.0;gold
000007-004;48-53;Makkah;LOCATION;1337.0;1343.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;95.0;101.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;203.0;209.0;1.0;gold
000007-005;48-53;Abu Ghibsyan;PERSON;216.0;228.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;303.0;309.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;390.0;396.0;1.0;gold
000007-005;48-53;Abu Ghibsyan;PERSON;402.0;414.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;608.0;614.0;1.0;gold
000007-005;48-53;Makkah;LOCATION;719.0;725.0;1.0;gold
000007-005;48-53;Ka'bah;LOCATION;1135.0;1141.0;1.0;gold
000007-006;48-53;Ya'mar bin Auf;PERSON;74.0;88.0;1.0;gold
000007-006;48-53;Ka'bah;LOCATION;209.0;215.0;1.0;gold
000007-006;48-53;Makkah;LOCATION;232.0;238.0;1.0;gold
000007-006;48-53;Makkah;LOCATION;516.0;522.0;1.0;gold
000007-006;48-53;Ka'bah;LOCATION;544.0;550.0;1.0;gold
000007-006;48-53;Makkah;LOCATION;674.0;680.0;1.0;gold
000007-006;48-53;Ka'bah;LOCATION;702.0;708.0;1.0;gold
000007-006;48-53;tahun 440 M;TIME;761.0;772.0;1.0;gold
000007-006;48-53;Makkah;LOCATION;900.0;906.0;1.0;gold
000007-006;48-53;Makkah;LOCATION;1141.0;1147.0;1.0;gold
000007-006;48-53;Murrah bin Auf;PERSON;1367.0;1381.0;1.0;gold
000007-007;48-53;Murrah bin Auf;PERSON;65.0;79.0;1.0;gold
000007-007;48-53;Ka'bah;LOCATION;233.0;239.0;1.0;gold
000007-007;48-53;Ibnu Hisyam;PERSON;714.0;725.0;1.0;gold
000007-007;48-53;Ka'bah;LOCATION;790.0;796.0;1.0;gold
000007-007;48-53;Ka'bah;LOCATION;1101.0;1107.0;1.0;gold
000007-007;48-53;Ka'bah;LOCATION;1145.0;1151.0;1.0;gold
000007-007;48-53;Makkah;LOCATION;1452.0;1458.0;1.0;gold
000007-009;48-53;Hasyim bin Abdi;PERSON;511.0;526.0;1.0;gold
000007-009;48-53;Hasyim bin Abdi;PERSON;627.0;642.0;1.0;gold
000007-009;48-53;Al-Muththalib bin Hasyim bin Abdi;PERSON;704.0;737.0;1.0;gold
000007-009;48-53;Rasulullah;PERSON;751.0;761.0;1.0;gold
000007-009;48-53;Al-Abbas bin Abdul Selain;PERSON;853.0;878.0;1.0;gold
000008-001;53-54;Jazirah Arab;LOCATION;304.0;316.0;1.0;gold
000008-001;53-54;Ibnu Hisyam;PERSON;440.0;451.0;1.0;gold
000009-001;54-55;Jazirah Arab;LOCATION;191.0;203.0;1.0;gold
000009-001;54-55;Irak;LOCATION;1393.0;1397.0;1.0;gold
000009-001;54-55;Syam;LOCATION;1426.0;1430.0;1.0;gold
000009-002;54-55;Irak;LOCATION;46.0;50.0;1.0;gold
000009-002;54-55;Syam;LOCATION;79.0;83.0;1.0;gold
000009-002;54-55;Jazirah Arab;LOCATION;122.0;134.0;1.0;gold
000009-002;54-55;Hijaz;LOCATION;598.0;603.0;1.0;gold
000009-002;54-55;IRAQ;LOCATION;612.0;616.0;1.0;gold
