chunk_id;doc_id;chunk_index;judul_bab;judul_sub_bab;halaman;teks_chunk;entity_text;label;notes;start_char;end_char
000010-010;10;10;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Di antaranya, orang-orang Quraisy berkata. ""Kami adalah anak keturunan Ibrahim dan penduduk Tanah Suci, penguasa Ka'bah dan penghuni Makkah. Tak seorang pun dari bangsa Arab yang mempunyai hak dan kedudukan seperti kami."" Maka tidak selayaknya bagi kami untuk keluar dari tanah suci. Oleh karena itu mereka tidak melaksanakan wuquf di Arafah, tidak ifadhah dari sana, tapi ifadhah dari Muzdalifah. Tentang hal ini Allah menurunkan ayat, ""Kemudian bertolaklah kalian dari tempat bertolaknya orang-orang banyak (Arafah). "" (Al-Baqarah: 199) Hal-hal baru lainnya, mereka berkata, Tidak selayaknya bagi orang-orang Quraisy untuk memberi makan keju dan meminta samin tatkala mereka sedang ihram. Mereka tidak boleh masuk Baitul-Haram dengan mengenakan kain wol 20 Lihat Shahih Muslim Ma'a Syarhihi, An-Nawawi, 1/59 dan tidak boleh berteduh jika ingin berteduh di rumah-rumah pemimpin selagi mereka sedang ihram."" Mereka juga berkata, ""Penduduk di luar Tanah Suci tidak boleh memakan makanan yang mereka bawa dari luar Tanah Suci ke Tanah Suci, jika kedatangan mereka itu dimaksudkan untuk haji dan umrah."" Hal-hal baru lainnya, mereka menyuruh penduduk di luar Tanah Suci untuk tetap mengenakan ciri pakaiannya sebagai penduduk bukan Tanah Suci selagi baru datang untuk melakukan thawaf awal. Jika tidak memiliki ciri pakaiannya sebagai penduduk luar Tanah Suci, maka mereka harus thawaf dalam keadaaan telanjang. Ini berlaku untuk kaum laki-laki.";;;;;
000011-002;11;2;AGAMA BANGSA ARAB;Kondisi Kehidupan Agama;64-65;"Pemimpin-pemimpin mereka menjadi sesembahan selain Allah Para pemimpin inilah yang membuat hukum di tengah manusia dan menghisab mereka menurut kehendak yang terbetik di dalam hatinya. Ambisi mereka hanya tertuju kepada kekay aan dan kedudukan, sekalipun berakibat musnahnya agama dan menyebarnya kekufuran serta pengabdian terhadap ajaran-ajaran yang telah ditetapkan Allah dan yang semua orang dianjurkan untuk mensucikannya Sedangkan agama Nashrani berubah menjadi agama paganisme yang sulit dipahami dan menimbulkan pencampuradukan antara Allah dan manusia Kalaupun ada bangsa Arab yang memeluk agama ini, maka tidak ada pengaruh yang berarti, karena ajaran-ajarannya jauh dari model kehidupan yang mereka jalani, dan tidak mungkin mereka tinggalkan. Sedangkan semua agama bangsa Arab, keadaan para pemeluknya sama dengan keadaan orang-orang musyrik; hati, kepercayaan, tradisi, dan kebisaan mereka hampir serupa. Hajar Aswad Maqam Ibrahim";;;;;
000010-005;10;5;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Ibnu Ishaq berkata, ""Al-Bahirah anak as-sa'ibah yaitu onta betina yang telah beranak sepuluh, yang semuanya betina dan sama sekali tidak mempunyai anak jantan. Onta ini tidak boleh ditunggangi, tidak boleh diambil bulunya, dan susunya tidak boleh diminum kecuali oleh tamu. Jika kemudian melahirkan lagi anak betina. maka telinganya harus dibelah. Setelah itu ia harus dilepaskan secara bebas bersama induknya, yang juga harus mendapat perlakuan yang sama. Al-Washilah adalah domba betina yang mempunyai lima anak kembar, yang semuanya betina secara berturut-turut. Domba ini bisa dijadikan sarana taqarrub. Oleh karena itu mereka berkata. ""Aku mendekatkan diri dengan domba ini."" Tetapi jika setelah itu melahirkan anak jantan dan tidak ada yang mati, maka domba ini boleh disembelih dan dagingnya dimakan. Al-Hami adalah onta jantan yang sudah membuntingi sepuluh anak betina secara beturut-turut tanpa ada jantannya. Onta seperti ini tidak boleh ditunggangi, tidak boleh diambil bulunya, harus dibiarkan lepas dan tidak boleh dimanfaatkan untuk kepentingan apa pun. Untuk itu Allah menurunkan ayat, ""Allah sekali-kali tidak pernah mensyariatkan adanya bahirah, sa 'ibah washilah, dan hami. Akan tetapi orang-orang kafir membuat-buat kedustaan terhadap Allah, dan kebanyakan mereka tidak mengerti.";;;;;
000010-008;10;8;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Mereka juga percaya kepada perkataan peramal, paranormal, dan ahli nujum. Peramal adalah orang yang mengabarkan sesuatu bakal terjadi di kemudian hari, yang mengaku bisa mengetahui rahasia gaib pada masa mendatang. Di antara peramal ini ada yang mengaku memiliki pengikut dari golongan jin yang memberinya suatu pengabaran. Di antara mereka mengaku bisa mengetahui hal-hal gaib lewat suatu pemahaman yang dimilikinya. Di antara mereka mengaku bisa mengetahui berbagai masalah lewat isyarat atau sebab yang memberinya petunjuk, dari perkataan, perbuatan, atau keadaan orang yang bertanya kepadanya. Orang semacam ini disebut Arraf atau paranormal. Ada pula yang mengaku bisa mengetahui orang yang kecurian dan tempat di mana dia kecurian serta orang tersesat atau lain-lainnya. Sedangkan ahli nujum ialah orang yang memperlihatkan keadaan bintang dan planet, lalu dia menghitung perjalanan dan waktu peredarannya, agar dengan begitu dia bisa mengetahui berbagai keadaan dunia dan peristiwa-peristiwa yang 19_ Muhadharat Tarikhil-Umam Al-Islamiyah, Al-Khadhri, 1/56; Ibnu Hisyam, 1/152-153 bakal terjadi di kemudian hari. Pembenaran terhadap pengabaran ahli nujum pada hakikatnya merupakan keyakinan terhadap bintang-bintang. Sedangkan keyakinan mereka terhadap bintang-bintang merupakan keyakinan terhadap hujan. Maka mereka berkata ""Hujan yang turun kepada kami berdasarkan bintang ini dan Di kalangan mereka juga ada Ath-thiyarah atau meramal nasib sial dengan sesuatu.";;;;;
000010-011;10;11;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"Ini berlaku untuk kaum laki-laki. Sedangkan kaum wanita harus melepaskan semua pakaiannya, kecuali baju rumahnya yang longgar. Saat itu mereka berkata, ""Hari ini tampak sebagian atau semuanya apa yang tiada tampak tiada diperkenankannya"" Lalu Allah menurunkan ayat mengenai hal ini, ""Hai anak Adam, pakailah pakaian kalian yang indah di setiap (memasuki masjid. "" (Al-a'raf: 31) Pakaian yang dikenakan penduduk luar Tanah Suci harus dibuang setelah melakukan thawaf awal, dan tak seorang pun boleh mengambilnya lagi, begitu pula orang yang bersangkutan Hal baru lainnya, mereka tidak memasuki rumah dari pintunya selagi dalam keadaan ihram, tetapi mereka membuat lobang di bagian belakang rumah, dan dari lobang itulah mereka keluar masuk rumahnya. Mereka menganggap hal itu sebagai perbuatan yang baik. Maka Al-Qur an melarangnya, ""Dan, bukanlah kebaktian itu memasuki rumah-rumah dari belakangnya, akan tetapi kebaktian itu ialah kebaktian orang yang bertakwa."" (Al-Baqarah: 189) Semua gambaran agama ini adalah agama syirik dan penyembahan terhadap berhala, keyakinan terhadap hayalan dan khurafat. Begitulah agama mayoritas bangsa Arab. Sementara sebelum itu sudah ada agama Yahudi, Masehi, Majusi. Shabi'ah yang masuk ke dalam masyarakat Arab Orang-orang Yahudi mempunyai dua latar belakang sehingga mereka berada di Jazirah Arab, yang setidak-tidaknya digambarkan dalam dua hal berikut ini: 1.";;;;;
000010-013;10;13;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;As-Samhudi menyebutkan di dalam buku Wafa 'ul Wafa, bahwa jumlah kabilah Yahudi saat itu lebih dari dua Sementara agama Yahudi masuk ke Yaman karena dibawa As'ad Abu Karib. Awal mulanya dia pergi berperang ke Yatsrib, dan memeluk agama Yahudi di sana. Sepulangnya ke Yaman dia membawa dua pemuka Yahudi dari Bani Quraizhah, sehingga agama Yahudi menyebar di sana. Setelah As' ad meninggal dunia dan digantikan anaknya, Yusuf Dzu Nuwas, dia memerangi orang-orang Masehi dari penduduk Najran dan memaksa mereka untuk masuk agama Yahudi. Karena mereka menolaknya, maka dia menggali parit dan membakar mereka di dalam parit itu. Tak seorang pun yang tercecer, laki-laki maupun wanita, tua maupun muda. Ada yang mengisahkan bahwa korban y ang dibunuhnya lebih dari dua puluh ribu hingga empat puluh ribu. Hal ini terjadi pada bulan Oktober tahun 523 Masehi. Al-Qur' an telah memuat sebagian kisah ini di dalam surat Al-Buruj. Sedangkan agama Nasrani masuk ke jazirah Arab lewat pendudukan orang-orang Habasyah dan Romawi. Pendudukan orang-orang Habasyah yang 21 Qalbu Jaziratil-Arab, hal. 151. pertama kali di Yaman pada tahun 340 Masehi. Pada masa itu missionaris Nashrani menyusup ke berbagai tempat di Yaman. Selang tak seberapa lama ada orang yang zuhud, doanya senantiasa dikabulkan dan memiliki karamah, yang datang ke Najran. Dia mengajak penduduk Najran untuk memeluk agama Masehi. Mereka melihat garis-garis kejujuran dirinya dan kebenaran agamanya.;;;;;
000010-004;10;4;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;"13,50-52,54. sesaji kepada berhala yang tidak akan sampai kepada Allah, dan apa yang mereka sajikan kepada Allah hanya sampai kepada berhala-berhala mereka Firman Allah, JI ja x ""Dan, mereka memperuntukan bagi Allah satu bagian dari tanaman dan ternak yang telah diciptakan Allah, lalu mereka berkata sesuai dengan persangkaan mereka, 'Ini untuk Allah dan ini untuk berhala-berhala kami.'Maka saji-sajian yang diperuntukan bagi berhala-berhala mereka tidak sampai kepada Allah; dan saji-sajian yang diperuntukan bagi Allah. maka sajian itu sampai kepada berhala-berhala mereka. Amat buruklah ketetapan mereka itu. "" Di antara jenis taqarrub yang mereka lakukan ialah dengan bernadzar menyajikan sebagian hasil tanaman dan ternak untuk berhala-berhala. Allah berfirman, ""Dan, mereka mengatakan, 'Inilah binatang ternak dan tanaman yang dilarang; tidak boleh memakannya, kecuali orang yang kami kehendaki ', menurut anggapan mereka, dan ada binatang ternak yang diharamkan menungganginya, dan binatang ternak yang mereka tidak menyebut nama Allah di waktu menyembelihnya, semata-mata membuat-buat kedustaan terhadap Allah. "" Ada pula al-bahirah, as-sa ibah, al-washilah, al-hami yang diperlakukan sedemikian rupa sebagai berhala. Ibnu Ishaq berkata, ""Al-Bahirah anak as-sa'ibah yaitu onta betina yang telah beranak sepuluh, yang semuanya betina dan sama sekali tidak mempunyai anak jantan.";;;;;
000010-007;10;7;AGAMA BANGSA ARAB;UNLABELED SECTION;56-64;""" (Yunus: 18) Orang-orang Arab juga mengundi nasib dengan menggunakan al-azlam (anak panah yang tidak ada bulunya). Anak panah itu ada tiga jenis: Satu jenis ada tanda ""Ya"", dan satu lagi ada tanda ""Tidak"". Mereka mengundi nasib berkaitan dengan perbuatan yang dikehendakinya, seperti berpergian, menikah. atau lain-lainnya, dengan menggunakan anak panah itu. Jika yang keluar tanda ""Ya"", mereka melaksanakannya, dan jika yang keluar tanda ""Tidak"", mereka menangguhkannya hingga tahun depan dan berbuat hal serupa sekali lagi. Satu jenis lagi ada tanda air dan tebusan. Satu jenis lagi ada tanda ""Dari golongan kalian"" atau ""Bukan dari golongan kalian"" atau ""Anak angkat"". Jika mereka memperkarakan nasab seseorang umpamanya, maka mereka membawa orang itu ke hadapan Hubal, sambil membawa seratus hewan korban dan diserahkan kepada pengundi anak panah. Jika yang keluar tanda ""Dari golongan kalian"". maka orang tersebut merupakan golongan mereka, dan jika yang keluar tanda ""Bukan dari golongan kalian"", maka orang tersebut hanya sebagai rekan persekutuan, dan jika yang keluar tanda ""Anak angkat"", maka orang tersebut tak ubahnya anak angkat, bukan termasuk dari golongan mereka dan juga tidak bisa didudukan sebagai rekan Tak berbeda jauh dengan hal ini adalah perjudian dan undian. Mereka membagi daging korban yang telah disembelih berdasarkan undian itu. Mereka juga percaya kepada perkataan peramal, paranormal, dan ahli nujum.";;;;;
000146-001;146;1;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;UNLABELED SECTION;305-306;"Perang Badr merupakan bentrokan bersenjata yang pertama kali antara orang-orang Muslim dan musyrik. Ini merupakan peperangan yang sangat menentukan, dengan kemenangan telak di pihak orang-orang Muslim, yang bisa disaksikan seluruh bangsa Arab. Sementara pihak yang diunggulkan dalam peperangan ini justru harus menelan pil pahit dan kerugian besar, yaitu orang- orang musyrik. Ada pihak lain yang melihat kemenangan ini sebagai ancaman yang sangat serius bagi posisi agama dan ekonomi mereka. Mereka adalah orang-orang Yahudi. Setelah orang-orang Muslim memperoleh kemenangan dalam Perang Badr, dua golongan ini merasa terbakar karena kebencian dan kedengkian terhadap orang-orang Muslim Sesungguhnya kamu dapati orang-orang yang paling keras permusuhannya terhadap orang-orang yang beriman ialah orang-orang Yahudi dan orang orang Musyrik. "" (Al-Maidah: 82) Ada beberapa orang di Madinah yang berteman karib dengan dua golongan ini yang masuk Islam, karena mereka merasa tidak mendapatkan tempat yang aman lagi. Mereka adalah Abdullah bin Ubay dan rekan-rekannya. Golongan yang ketiga ini tidak kalah bencinya terhadap orang-orang Muslim daripada golongan pertama. Di sana ada pula golongan keempat, yaitu orang-orang Badui yang tersebar di sekitar Madinah. Mereka tidak terlalu pusing dengan urusan iman dan kufur. Tetapi toh mereka adalah orang-orang yang suka merampas dan merampok. Mereka justru merasa khawatir melihat kemenangan orang-orang Muslim ini.";;;;;
000146-002;146;2;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;UNLABELED SECTION;305-306;"Mereka justru merasa khawatir melihat kemenangan orang-orang Muslim ini. Mereka takut jika di Madinah berdiri sebuah daulah yang kuat, sehingga bisa menjadi penghalang bagi kegiatan mereka. Oleh karena itu, mereka pun mendengki terhadap orang-orang Muslim dan berdiri sebagai musuh orang- orang Muslim. Jadi begitulah gambaran bahaya yang mengintip orang-orang Muslim dari segala penjuru. Sekalipun begitu, golongan-golongan ini mempunyai sikap sendiri-sendiri dalam menghadapi orang-orang Muslim, setiap golongan memilih jalan sediri-sendiri yang dirasa cukup untuk menggapai tujuannya. Selagi beberapa kekuatan di sekitar Madinah masih memulai menampakkan pemberontakan terhadap Islam, dengan cara memata-matai dan mengintip. justru segolongan orang-orang Yahudi berani mengumumkan perang dan memperlihatkan kedengkian serta kebenciannya. Sementara itu, kekuatan Makkah sudah mengisyaratkan ancaman dan mengumumkan untuk melakukan serangan besar-besaran. Untuk itu mengirim utusan mendatangi orang-orang Muslim, menyampaikan hasrat mereka, dengan menyatakan dalam sebuah syair, ""Kelak kan datang hari yang indah dan mengesankan setelah itu telingaku selalu mendengar ratap tangisan. "" Inilah langkah awal yang menuntun mereka ke peperangan yang seru, tak jauh dari Madinah, yang dikenal dalam sejarah dengan Perang Uhud, yang kemudian menimbulkan pengaruh kurang menyedapkan bagi ketenaran dan kehebatan orang-orang Muslim.";;;;;
