no;tokoh;weight;halaman;kandidat_masalah;valid_(1=ya/0=tidak);catatan;evidence
42;Shafwan bin Umayyah;0.5;308-310 | 324-325 | 377-379;;;;...reka, yaitu Nabi Selang tak seberapa lama sesudah Perang Badr, Umair bin Wahb Al-Jumahi duduk-duduk di Hijir bersama Shafwan bin Umayyah. Umair adalah salah seorang pemimpin Quraisy yang...
43;Siba bin Arfazhah;0.4;306-307;;;;...awwal 2 Hijriyah, selang tujuh hari sepulang dari Badr. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut pe...
44;Thu'aimah bin Adi;0.5;340;;;;...ku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi ke Uhud, Jubair berkata...
45;Ubadah bin Ash-Shamit;0.5;298-299;;;;"...alu turun wahyu yang memecahkan masalah ini. Dari Ubadah bin Ash-Shamit, dia berkata, ""Kami pergi bersama Nabi bergabung dalam Perang Badr. Dua pasukan saling berhadapan dan Allah mengalah..."
46;Ukkasyah bin Mihshan;0.5;289-293;;;;"...ngi daripada membiarkan mereka tetap hidup."" Pada Perang Badr itu pedang Ukkasyah bin Mihshan Al-Asadi patah Karena itu dia menemui Rasulullah..."
47;Umair bin Wahb;0.5;277-279 | 308-310;NEGASI?;;;"...a, ""Tidak. Demi yang telah menyelamatkan aku dari Perang Badr."" Setelah pasukan Quraisy agak tenang, mereka mengutus Umair bin Wahb Al-Jumahi untuk menyelidiki dan menaksir seberapa..."
48;Umar bin Al-Khaththab;0.5;308-310 | 359-360 | 515-517 | 531-532;;;;...Setelah itu dia berangkat hingga tiba di Madinah. Umar bin Al-Khaththab yang sedang membicarakan kemuliaan yang dikaruniakan Allah di Perang Badr bersama beberapa orang Muslim, melihat kehadirann..
49;Umayyah bin Khalaf;0.5;289-293;;;;...embunuh Abul Bakhtari. 3. Abdurrahman bin Auf dan Umayyah bin Khalaf merupakan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang...
50;Ummu Kultsum;0.3;611;NEGASI?;;;...Ar-Rabi', sebelum hijrah. Sedangkan Ruqayyah dan Ummu Kultsum dinikahi Utsman bin Affan tidak secara bersamaan. Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud
51;Ummul Fadhl;0.3;295-297;NEGASI?;;;...ggota keluarga. Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kab...
52;Uqbah bin Al-Harits;0.5;377-379;;;;.... Yang menangani eksekusi terhadap Khubaib adalah Uqbah bin Al-Harits, yang pada waktu Perang Badr, Khubaib telah membunuh ayahnya Uqbah. Di dalam A...
53;Utsman bin Affan;0.3;611;NEGASI?;;;...rah. Sedangkan Ruqayyah dan Ummu Kultsum dinikahi Utsman bin Affan tidak secara bersamaan. Sedangkan Fathimah dinikahi Ali bin Abu Thalib pada waktu antara Perang Badr dan Uhud. Dari pernikahan Fat
54;Wahb bin Umair;0.5;308-310;;;;...dan para sahabat selagi masih di Makkah. Anaknya, Wahb bin Umair menjadi tawanan Perang Badr. Saat duduk itulah Umair menyebut orang-orang yan...
55;Wahsy bin Harb;0.3;340;;;;"...an yang disampaikan sendiri oleh pembunuh Hamzah, Wahsy bin Harb, ""Sebelumnya aku adalah budak Jubair bin Muth'im. Paman Jubair. Thu'aimah bin Adi terbunuh pada Perang Badr. Pada saat Quraisy pergi"
56;Zaid bin Ad-Dastinah;0.5;377-379;NEGASI?;;;
57;Zaid bin Haritsah;0.5;377-379;;;;...nolak, akhirnya orang itu dibunuh. Mereka membawa Zaid dan Khubaib ke Makkah dan menjualnya disana Padahal pada waktu Perang Badr, keduanya telah menghabisi sekian banyak para ban...
58;Zainab;0.5;231-232 | 611;NEGASI?;;;
