source_name;source_label;relation_type;relation_subtype;target_name;target_label;chunk_id;evidence;halaman;frequency;weight;periode_bab
Perang Badr;EVENT;OCCURRED_AT;;Yatsrib;LOCATION;000071-003;"...Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah yang memungkinkan dapat digunakan untuk melarikan diri jika diperlukan ""Wahai Abu Sufyan,"" kata istrinya, ""Apakah engkau sudah lupa apa yang pernah dikatakan saudaramu dari Yastrib?"" ""Tidak. Demi Allah, aku akan menjaga jarak deng...";165-168;1;0.5;Perang Badr & Dampaknya
Abu Bakar;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000071-006 | 000187-005 | 000187-006 | 000188-001;...dan orang-orang sudah sepi, mereka pergi memapah Abu Bakar, hingga tiba di tempat Rasulullah . 108 Benih-benih cinta dan kasih yang tumbuh seperti peristiwa ini akan kami sampaikan di bagian mendatang, terutama pada saat Perang Uhud.;165-168 | 347-350 | 350-351;4;0.5;Perang Uhud & Satuan Pasukan Pasca Uhud
Muhammad;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000071-006 | 000154-001 | 000166-001 | 000176-001 | 000187-006 | 000188-001 | 000189-001 | 000190-001 | 000199-003 | 000201-001 | 000202-001 | 000202-002 | 000206-001 | 000206-005 | 000206-006 | 000206-008 | 000209-001 | 000213-003 | 000215-001 | 000216-001 | 000225-002 | 000379-001 | 000385-003;...ka pergi memapah Abu Bakar, hingga tiba di tempat Rasulullah . 108 Benih-benih cinta dan kasih yang tumbuh seperti peristiwa ini akan kami sampaikan di bagian mendatang, terutama pada saat Perang Uhud.;165-168 | 316 | 329-330 | 338-340 | 347-350 | 350-351 | 351 | 351-353 | 360-362 | 364-365 | 365-367 | 368-373 | 376-377 | 380-382 | 385-386 | 387 | 420-424 | 612 | 613-618;23;0.5;Perang Uhud & Satuan Pasukan Pasca Uhud
Urwah Bin Az-Zubair;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000075-005;"...elah meriwayatkan kisah ini dengan sanadnya, dari Urwah bin Az-Zubair, bahwa Aisyah pernah bertanya kepada Nabi ,""Pernakah engkau mengalami suatu hari yang lebih berat daripada waktu Perang Uhud?"" Beliau menjawab, Aku sudah mendapatkan apa yang...";174-180;1;0.5;Perang Uhud & Satuan Pasukan Pasca Uhud
Aisyah;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000075-005 | 000185-001 | 000187-005 | 000188-001;"...dengan sanadnya, dari Urwah bin Az-Zubair, bahwa Aisyah pernah bertanya kepada Nabi ,""Pernakah engkau mengalami suatu hari yang lebih berat daripada waktu Perang Uhud?"" Beliau menjawab, Aku sudah mendapatkan apa yang...";174-180 | 344-346 | 347-350 | 350-351;4;0.5;Perang Uhud & Satuan Pasukan Pasca Uhud
Ibnu Abdi;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000075-005;"...galami suatu hari yang lebih berat daripada waktu Perang Uhud?"" Beliau menjawab, Aku sudah mendapatkan apa yang pernah kudapatkan dari kaummu. Namun yang paling berat adalah saat di Aqabah. Saat itu aku menyeru Ibnu Abdi Yalail bin Abdi Kallal, namun, dia menolak apa ya...";174-180;1;0.2;Perang Uhud & Satuan Pasukan Pasca Uhud
Yalail Bin Abdi;PERSON;INVOLVED_IN;;Perang Uhud;EVENT;000075-005;"...galami suatu hari yang lebih berat daripada waktu Perang Uhud?"" Beliau menjawab, Aku sudah mendapatkan apa yang pernah kudapatkan dari kaummu. Namun yang paling berat adalah saat di Aqabah. Saat itu aku menyeru Ibnu Abdi Yalail bin Abdi Kallal, namun, dia menolak apa yang kukehendaki....";174-180;1;0.2;Perang Uhud & Satuan Pasukan Pasca Uhud
Perang Uhud;EVENT;OCCURRED_AT;;Aqabah;LOCATION;000075-005;"...galami suatu hari yang lebih berat daripada waktu Perang Uhud?"" Beliau menjawab, Aku sudah mendapatkan apa yang pernah kudapatkan dari kaummu. Namun yang paling berat adalah saat di Aqabah. Saat itu aku menyeru Ibnu Abdi Yalail bin Abdi K...";174-180;1;0.2;Perang Uhud & Satuan Pasukan Pasca Uhud
Abu Rasulullah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000075-010;"...melindungi siapa pun yang engkau lindungi,"" kata Abu Rasulullah senantiasa teringat perlindungan yang diberkan Muth'im ini. Maka beliau bersabda tentang para tawanan Perang Badr. ""Andaikata Al-Muth im masih hidup, lalu dia memi...";174-180;1;0.2;Perang Badr & Dampaknya
Iyas Bin Mu'Adz;PERSON;INVOLVED_IN;;Perang Bu'ats;EVENT;000078-001;...etibanya di Yastrib (Madinah), dia terbunuh dalam Perang Bu'ats. Adapun keislamannya terjadi pada awal tahun kesebelas dari 2. Iyas bin Mu'adz Dia seorang pemuda belia dari penduduk Yastrib, y...;182-188;1;0.3;Dakwah di Luar Makkah & Isra Mi'raj
Perang Bu'ats;EVENT;OCCURRED_AT;;Yatsrib;LOCATION;000078-001;"...g benar- benar bagus."" Tapi tak lama setibanya di Yastrib (Madinah), dia terbunuh dalam Perang Bu'ats. Adapun keislamannya terjadi pada awal tahun kese...";182-188;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Perang Bu'ats;EVENT;OCCURRED_AT;;Madinah;LOCATION;000078-001;"...benar bagus."" Tapi tak lama setibanya di Yastrib (Madinah), dia terbunuh dalam Perang Bu'ats. Adapun keislamannya terjadi pada awal tahun kese...";182-188;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Perang Khandaq;EVENT;OCCURRED_AT;;Yaman;LOCATION;000078-009;...atau delapan puluh keluarga dari kaumnya setelah Perang Al-Khandaq. Kemudian dia mendapat cobaan yang baik demi Islam, terbunuh sebagai seorang yang mati syahid pada Perang 5._ Dhimad Al-Azdi Dia berasal dari Azd Syanu' ah dari Yaman, dan biasa memberi pengobatan dengan cara menghem...;182-188;1;0.2;Perang Khandaq hingga Bani Mushthaliq
Jibril;PERSON;INVOLVED_IN;;Mi'Raj;EVENT;000080-005;...n di Sidratul Muntaha. Jadi beliau pernah melihat Jibril dalam dua rupa aslinya, sekali tatkala di bumi dan sekali tatkala di Sidratul Muntaha, wallahu a Peristiwa pembelahan dada juga terjadi pada kali ini. Dalam perjalanan Isra Mi'raj ini banyak peristiwa yang terjadi di dalamnya. Be...;191-197;1;0.45;Awal Kenabian & Mandat Dakwah
Mi'Raj;EVENT;OCCURRED_AT;;Sidratul Muntaha;LOCATION;000080-005;...nya, sekali tatkala di bumi dan sekali tatkala di Sidratul Muntaha, wallahu a Peristiwa pembelahan dada juga terjadi pada kali ini. Dalam perjalanan Isra Mi'raj ini banyak peristiwa yang terjadi di dalamnya. Be...;191-197;1;0.55;Awal Kenabian & Mandat Dakwah
Qais Bin Al-Aslat;PERSON;INVOLVED_IN;;Perang Khandaq;EVENT;000083-007;Di antara mereka ada Qais bin Al-Aslat, seorang penyair yang selalu ditaati kaumnya. Dia sangat berperan menghalangi mereka masuk Islam, hingga saat Perang Khandaq pada tahun kelima setelah hijrah Sebelum tiba mus...;199-202;1;0.2;Perang Khandaq hingga Bani Mushthaliq
Mush'ab bin Umair;PERSON;INVOLVED_IN;;Perang Khandaq;EVENT;000083-007;...peran menghalangi mereka masuk Islam, hingga saat Perang Khandaq pada tahun kelima setelah hijrah Sebelum tiba musim haji tahun ketiga belas setelah nubuwah, Mush'ab bin Umair kembali ke Makkah, untuk menyampaikan kabar keber...;199-202;1;0.5;Perang Khandaq hingga Bani Mushthaliq
Baiat Aqabah Kubra;EVENT;OCCURRED_AT;;Aqabah;LOCATION;000088-005;...Madinah dengan selamat. 127 Begitulah kisah baiat Aqabah kedua yang juga dikenal dengan istilah Baiat Aqabah Kubra. Baiat ini berjalan mulus, dengan mencerminkan ra...;206-209;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Muhammad;PERSON;INVOLVED_IN;;Baiat Aqabah;EVENT;000089-001 | 000124-002;Setelah terjadinya peristiwa Baiat Aqabah kedua, dan Islam berhasil memancangkan tonggak negara di tengah padang pasir yang bergelombang kekufuran dan kebodohan, dan ini merupakan hasil paling besar yang diperoleh Islam semenjak dakwah dimulai, maka Rasulullah dan orang-orang Muslim diperkenankan untuk hijrah...;210-213 | 271-273;2;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Abu Salamah bin Abdul Asad;PERSON;INVOLVED_IN;;Baiat Aqabah Kubra;EVENT;000089-001;...eka: 1. Yang pertama kali melakukan hijrah adalah Abu Salamah, yaitu setahun sebelum Baiat Aqabah Kubra, seperti yang dikatakan Ibnu Ishaq, yang kemudian...;210-213;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_AT;;Madinah;LOCATION;000089-001;"...hijrah adalah Abu Salamah, yaitu setahun sebelum Baiat Aqabah Kubra, seperti yang dikatakan Ibnu Ishaq, yang kemudian disusul oleh istri dan anaknya. Tatkala dia sudah membulatkan tekad untuk hijrah ke Madinah, maka keluarga istrinya berkata kepadanya, ""Ini a...";210-213;1;0.2;Dakwah di Luar Makkah & Isra Mi'raj
Muhammad;PERSON;INVOLVED_IN;;Baiat Aqabah Kubra;EVENT;000089-005 | 000090-002;...isa hijrah. Dua bulan lebih beberapa hari setelal Baiat Aqabah Kubra, tak seorang pun dari orang-orang Mukmin yang tersisa di Makkah kecuali Rasulullah , Abu Bakar dan Ali, yang memang diperintah untuk...;210-213 | 214-217;2;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Abu Bakar;PERSON;INVOLVED_IN;;Baiat Aqabah Kubra;EVENT;000089-005;...isa hijrah. Dua bulan lebih beberapa hari setelal Baiat Aqabah Kubra, tak seorang pun dari orang-orang Mukmin yang tersisa di Makkah kecuali Rasulullah , Abu Bakar dan Ali, yang memang diperintah untuk tetap tingg...;210-213;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Ali bin Abu Thalib;PERSON;INVOLVED_IN;;Baiat Aqabah Kubra;EVENT;000089-005;...isa hijrah. Dua bulan lebih beberapa hari setelal Baiat Aqabah Kubra, tak seorang pun dari orang-orang Mukmin yang tersisa di Makkah kecuali Rasulullah , Abu Bakar dan Ali, yang memang diperintah untuk tetap tinggal di Ma...;210-213;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_AT;;Makkah;LOCATION;000089-005 | 000090-002;...isa hijrah. Dua bulan lebih beberapa hari setelal Baiat Aqabah Kubra, tak seorang pun dari orang-orang Mukmin yang tersisa di Makkah kecuali Rasulullah , Abu Bakar dan Ali, yang mema...;210-213 | 214-217;2;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_ON;;Hari Kamis;TIME;000090-002;...kwah Islam, yang tidak lain adalah Muhammad. Pada hari Kamis tanggal 26 Shafar tahun 14 dari nubuwah, bertepatan dengan tanggal 12 September tahun 622 M, atau kira-kira selang dua bulan setengah setelah Baiat Aqabah Kubra, maka diadakan pertemuan anggota Parlemen Makkah...;214-217;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_ON;;Tanggal 26 Shafar;TIME;000090-002;...yang tidak lain adalah Muhammad. Pada hari Kamis tanggal 26 Shafar tahun 14 dari nubuwah, bertepatan dengan tanggal 12 September tahun 622 M, atau kira-kira selang dua bulan setengah setelah Baiat Aqabah Kubra, maka diadakan pertemuan anggota Parlemen Makkah...;214-217;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_ON;;14;TIME;000090-002;...Muhammad. Pada hari Kamis tanggal 26 Shafar tahun 14 dari nubuwah, bertepatan dengan tanggal 12 September tahun 622 M, atau kira-kira selang dua bulan setengah setelah Baiat Aqabah Kubra, maka diadakan pertemuan anggota Parlemen Makkah...;214-217;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_ON;;Tanggal 12;TIME;000090-002;...6 Shafar tahun 14 dari nubuwah, bertepatan dengan tanggal 12 September tahun 622 M, atau kira-kira selang dua bulan setengah setelah Baiat Aqabah Kubra, maka diadakan pertemuan anggota Parlemen Makkah...;214-217;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Baiat Aqabah Kubra;EVENT;OCCURRED_ON;;Tahun 622;TIME;000090-002;...i nubuwah, bertepatan dengan tanggal 12 September tahun 622 M, atau kira-kira selang dua bulan setengah setelah Baiat Aqabah Kubra, maka diadakan pertemuan anggota Parlemen Makkah...;214-217;1;0.5;Dakwah di Luar Makkah & Isra Mi'raj
Abu Bakar;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000098-002 | 000098-003;...iman, Abdullah bin Abu Bakar dan seluruh keluarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di...;231-232;2;0.5;Perang Badr & Dampaknya
Aisyah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000098-002 | 000098-003;...kar dan seluruh keluarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di...;231-232;2;0.5;Perang Badr & Dampaknya
Zainab;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000098-002 | 000098-003 | 000375-001;...luarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di...;231-232 | 611;3;0.5;Perang Badr & Dampaknya
Abul Ash;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000098-002;...nab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di...;231-232;1;0.3;Perang Badr & Dampaknya
Bilal bin Rabah;PERSON;INVOLVED_IN;;Perang Badr;EVENT;000098-002 | 000098-003;...emungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di Madinah, sementara Abu Bakar dan Bilal merintih kesakitan, aku segera menemui keduanya d...;231-232;2;0.5;Perang Badr & Dampaknya
Perjanjian Hudaibiyah;EVENT;OCCURRED_ON;;Bulan Ramadhan;TIME;000099-001;...angnya. Tahapan ini berakhir dengan dikukuhkannya Perjanjian Hudaibiyah pada bulan Dzul-Qa'dah tahun dari hijrah 2. Tahapan masa perdamaian dengan para memimpin paganisme, yang berakhir dengan Fathu Makkah pada bulan Ramadhan tahun dari hijrah. Ini juga merupakan tahapan mas...;233;1;0.2;Hudaibiyah & Babak Baru Diplomasi
Fathul Makkah;EVENT;OCCURRED_ON;;Bulan Ramadhan;TIME;000099-001;...gan para memimpin paganisme, yang berakhir dengan Fathu Makkah pada bulan Ramadhan tahun dari hijrah. Ini juga merupakan tahapan mas...;233;1;0.5;Perang Mu'tah & Penaklukan Makkah
Abdullah bin Ubay bin Salul;PERSON;INVOLVED_IN;;Perang Bu'ats;EVENT;000102-001;...beberapa pertimbangan. Tokoh kelompok ini adalah Abdullah bin Ubay. Sebelum itu, tepatnya seusai Perang Bu'ats, sebenarnya Aus dan Khazraj sudah sepakat untuk m...;236-237;1;0.4;Dakwah di Luar Makkah & Isra Mi'raj
Muhammad;PERSON;INVOLVED_IN;;Perang Bu'ats;EVENT;000103-003;...auh-jauh waktu. Mereka juga mempunyai andil dalam Perang Bu ats, karena masing-masing berkomplot dengan sekutunya. Tentu saja tidak ada yang bisa diharapkan Rasulullah dari orang-orang Yahudi ini. Karena mereka memand...;237-242;1;0.3;Membangun Masyarakat Madinah
Perang Bu'ats;EVENT;OCCURRED_AT;;Madinah;LOCATION;000103-003;...rsama dengan Bani Nadhir, yang menetap di pinggir Madinah. Tiga kabilah inilah yang membangkitkan peperangan antara Aus dan Khazraj sejak jauh-jauh waktu. Mereka juga mempunyai andil dalam Perang Bu ats, karena masing-masing berkomplot dengan sekut...;237-242;1;0.2;Membangun Masyarakat Madinah
Al-Miqdad Bin Amr;PERSON;INVOLVED_IN;;Perang Abwa;EVENT;000114-003;...Bendera Sa'd berwarna putih dan pembawanya adalah Al-Miqdad bin Amr. Perang Abwa' atau Waddan. Pada bulan Shafar 2 H, atau pada bu...;256-265;1;0.4;Membangun Masyarakat Madinah
Muhammad;PERSON;INVOLVED_IN;;Perang Abwa;EVENT;000114-003;...na putih dan pembawanya adalah Al-Miqdad bin Amr. Perang Abwa' atau Waddan. Pada bulan Shafar 2 H, atau pada bulan Agustus 623 M. Rasulullah pergi sendiri, setelah mengangkat Sa'd bin Ubadah...;256-265;1;0.3;Membangun Masyarakat Madinah
Sa'd bin Ubadah;PERSON;INVOLVED_IN;;Perang Abwa;EVENT;000114-003;...na putih dan pembawanya adalah Al-Miqdad bin Amr. Perang Abwa' atau Waddan. Pada bulan Shafar 2 H, atau pada bulan Agustus 623 M. Rasulullah pergi sendiri, setelah mengangkat Sa'd bin Ubadah sebagai wakil beliau di Madinah. Beliau keluar be...;256-265;1;0.2;Membangun Masyarakat Madinah
Perang Abwa;EVENT;OCCURRED_ON;;Bulan Shafar 2 H;TIME;000114-003;...na putih dan pembawanya adalah Al-Miqdad bin Amr. Perang Abwa' atau Waddan. Pada bulan Shafar 2 H, atau pada bulan Agustus 623 M. Rasulullah pergi...;256-265;1;0.4;Membangun Masyarakat Madinah
Muhammad;PERSON;INVOLVED_IN;;Perang Buwath;EVENT;000114-004;...s Ini merupakan peperangan pertama yang dilakukan Rasulullah Kepergiannya untuk tujuan peperangan itu selama lima belas hari. Bendera perang berwarna putih, dan pembawanya adalah Hamzah bin Abdul Muththalib. 5. Perang Buwath. Pada bulan Rabi'ul Awwal 2 H atau pada bulan Sep...;256-265;1;0.3;Perang Badr & Dampaknya
Hamzah bin Abdul Muththalib;PERSON;INVOLVED_IN;;Perang Buwath;EVENT;000114-004;...dera perang berwarna putih, dan pembawanya adalah Hamzah bin Abdul Muththalib. 5. Perang Buwath. Pada bulan Rabi'ul Awwal 2 H atau pada bulan Sep...;256-265;1;0.4;Perang Badr & Dampaknya
Umayyah Bin Khalaf;PERSON;INVOLVED_IN;;Perang Buwath;EVENT;000114-004;...pembawanya adalah Hamzah bin Abdul Muththalib. 5. Perang Buwath. Pada bulan Rabi'ul Awwal 2 H atau pada bulan September 623 M, Rasulullah pergi bersama 200 sahabat untuk menghadang kafilah dagang Quraisy yang dipimpin Umayyah bin Khalaf beserta 100 orang Quraisy, membawa 2.500 onta yan...;256-265;1;0.2;Perang Badr & Dampaknya
Perang Buwath;EVENT;OCCURRED_ON;;Bulan Rabi'Ul Awwal 2 H;TIME;000114-004;...pembawanya adalah Hamzah bin Abdul Muththalib. 5. Perang Buwath. Pada bulan Rabi'ul Awwal 2 H atau pada bulan September 623 M, Rasulullah pergi...;256-265;1;0.4;Perang Badr & Dampaknya
Sa'd bin Mu'adz;PERSON;INVOLVED_IN;;Perang Safawan;EVENT;000114-004;...kali ini tidak terjadi apa-apa. Beliau mengangkat Sa'd bin Mua'dz sebagai wakil beliau di Madinah Sementara bendera perang berwarna putih, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan b...;256-265;1;0.2;Perang Badr & Dampaknya
Kurz bin Jabir;PERSON;INVOLVED_IN;;Perang Safawan;EVENT;000114-004;...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin Jabir Al-Firhri bersama beberapa orang 151 Al-Mawahib A...;256-265;1;0.3;Perang Badr & Dampaknya
Perang Safawan;EVENT;OCCURRED_AT;;Madinah;LOCATION;000114-004;...h, dan pembawanya adalah Sa d bin Abi Waqqash. 6. Perang Safawan. Pada bulan Rabi'ul Awwal 2 H bertepatan dengan bulan September 623 M, Kurs bin Jabir Al-Firhri bersama beberapa orang 151 Al-Mawahib Al-Laduniyyah, 1/75 musyrik menyerbu kandang hewan gembala di Madinah dan berhasil merampok domba-dombanya. Maka bersam...;256-265;1;0.2;Perang Badr & Dampaknya
