entitas;pola;jumlah;contoh;Label  Baru;konteks;sumber
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Sepulang Rasulullah dari Badr, keadaan di wilayah Madinah menjadi aman dan tenteram, pemerintahan beliau dapat berjalan lancar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Badr;;[usul:LOCATION?] Dumatul Jandal Setelah Badr Shughra beliau menetap di Madinah selama enam bulan Kemudian datang berita kepada beliau bahwa beberapa kabilah di sekitar Dumatul Jandal, tak jauh dari;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:EVENT?] Tetapi ada pula yang menyebutkannya sebelum Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;"[usul:EVENT?] Apakah masih ada sisa daging yang bisa kalian berikan kepada kami?"" Maka kami menyerahkannya kepada beliau Penuturan Jabir ini menunjukkan bahwa peristiwa ini terjadi sebelum Hudai";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;EVENT;[usul:EVENT?] Sebab orang-orang Muslim tidak lagi mengintai kafilah dagang Quraisy setelah perjanjian Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;EVENT;[usul:?] Tetapi perkembangan ini baru tampak jelas dengan dikukuhkannya perjanjian Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:LOCATION?] Rasulullah mengambil jalur yang sulit dan berat di antara celah-celah gunung, membawa para sahabat ke arah kanan, melewati Al-Hamsy menuju Tsaniyatul Murar sebelum turun ke Hudaibi;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;"[usul:LOCATION?] "" Kemudian beliau membentak Al-Qashwa sehingga bangkit, lalu berjalan lagi hingga memasuki ujung Hudaibiyah, di dekat suatu kolam yang di sana hanya terdapat air sedikit.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;"[usul:?] "" 220 Lihat rincian tentang peristiwa Hudaibiyah dan gencatan senjata ini dalam Fathul Bari, 7/439-458; Shahih Bukhari, 1/378-381, 2/589, 600, 717; Shahih Muslim, 2/140, 105-106; S";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:?] Pada akhir tahun 6 H, setelah kembali dari Hudaibiyah, Rasulullah menulis surat yang ditujukan kepada beberapa raja, menyeru mereka kepada Islam.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;EVENT;[usul:LOCATION?] Sebab ada kemungkinan itu bukan teks surat yang ditulis Nabi setelah perjanjian Hudaibiyah, tetapi boleh jadi itu merupakan surat yang dibawa Ja'far ketika dia hijrah ke Habasyah b;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:EVENT?] Kalau pun dikatakan bahwa surat itu ditulis setelah Hudaibiyah, maka tidak ada dalil yang menguatkannya.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:LOCATION?] Yang disebutkan Al-Baihaqi dari Ibnu Ishaq mirip dengan surat yang ditulis Nabi kepada beberapa raja dan amir Nashrani setelah Hudaibiyah, yang di dalamnya ada ayat Al-Qur an terse;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;"[usul:?] Karena orang munafik dan mereka y ang hatinya lemah tidak mau bergabung dalam peristiwa Hudaibiyah, maka Allah menurunkan perintah kepada Nabi- Nya tentang mereka, K,Lz xI ""Orang-o";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:?] Karena bagaimanapun juga, harta rampasan dari Perang Khaibar ini juga tidak lepas dari peran orang-orang yang ikut dalam peristiwa Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;"[usul:LOCATION?] Al-Hakim menuturkan, ""Dengan tibanya bulan Dzul Qa'dah, tersiar kabar bahwa Rasulullah dan para sahabat hendak melakukan umrah qadha' Siapa pun yang dulu ikut dalam peristiwa Hudai";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:?] Umrah ini dinamakan umrah qadha', entah karena dimaksudkan sebagai qadha' dari umrah yang gagal dilaksanakan setahun sebelumnya saat peristiwa Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:?] Hal ini menunjukkan sejauh mana keberhasilan gencatan senjata yang dikukuhkan di Hudaibiyah, hingga setelah penaklukkan Makkah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hudaibiyah;;[usul:LOCATION?] Hal ini tampak jelas dalam tindakan kaum Muslimin saat di Hudaibiyah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Dalam perjalanan menuju Hunain, mereka melewati sebuah pohon yang besar, yang disebut Dzatu Anwath.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Pada malam Rabu tanggal 10 Syawwal, pasukan Islam tiba di Hunain Sementara itu, Malik bin Auf dan pasukannya lebih dahulu tiba di sana dan memasukan pasukan ke sana pada malam hari;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Tepat pada waktu subuh yang suasananya masih gelap, orang-orang Muslim tiba di lembah Hunain dan mulai memasang kewaspadaan.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;"[usul:?] ""Sesungguhnya Allah telah menolong kamu (hai para mukminin) di medan peperangan yang banyak, dan (ingatlah) peperangan Hunain, yaitu di waktu kamu menjadi congkak karena banyaknya ";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Nabi sendiri yang melakukan pengejaran ke sana setelah menghimpun harta rampasan di Hunain.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Karena itu Rasulullah beranjak ke Tha'if seusai dari Hunain dan setelah rampung mengumpulkan harta rampasan di Ji'ranah Khalid bin Walid berangkat lebih dahulu ke sana bersama 1000;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;;[usul:LOCATION?] Orang-orang Anshar termasuk mereka yang tidak bisa menerima kebijakan beliau ini, karena mereka semua tidak menerima bagian dari harta rampasan Hunain.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Hunain;EVENT;[usul:EVENT?] Adapun peristiwa yang terjadi dalam Perang Uhud dan Hunain lebih disebabkan karena kelemahan di dalam diri anggota pasukan atau karena mereka membangkang perintah beliau serta meny;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Bani Sulaim menetap di dekat Madinah, dari lembah-lembah di pinggiran Madinah hingga ke Khaibar, di bagian timur Madinah dan penghujung Hurrah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dimulai dari pencaplokan bangsa Romawi terhadap Palestina pada tahun 70 Masehi, yang disertai dengan tekanan terhadap orang-orang Yahudi dan penghancuran Haikal-haikal mereka, sehi;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Saat Islam datang, kabilah-kabilah Yahudi yang terkenal adalah Khaibar, Nadhir, Mushthaliq, Quraizhah, dan Qainuqa.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:?] "" Beliau juga bersabda, Para pekerja ini bukanlah para pekerja Khaibar.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Kebanyakan di antara mereka, terutama para tokoh dan pemimpin Bani Nadhir seperti Huyai bin Akhthab dan Sallam bin Al-Huqaiq pergi ke Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;event;[usul:EVENT?] Padahal Abu Hurairal masuk Islam beberapa hari sebelum Perang Khaibar, dan Abu Musa Al-Asy ari bergabung dengan Nabi di Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Setelah lari ke Khaibar, mereka menunggu-nunggu apa yang akan menimpa orang-orang Muslim sebagai akibat bentrokan fisik dengan para paganis Quraisy.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Maka ada lima orang di antara mereka yang semuanya berasal dari Bani Salamah dari Khazraj, di bawah pimpinan Abdullah bin Atik Mereka berangkat menuju Khaibar, karena di sanalah be;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dia bisa menangkap mata-mata Bani Sa'd, dan bisa memperoleh informasi dari mata-mata itu bahwa mereka mengirimnya ke Khaibar untuk menawarkan bantuan prajurit.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] asalkan korma Khaibar dikirimkan kepada mereka.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Keterlibatan Ghathafan ini pun sebenarnya atas bujukan orang-orang Yahudi Sementara itu, orang-orang Yahudi yang telah hengkang dari Madinah menjadikan Khaibar sebagai markas konsp;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Al-Alamah Al-Manshurfuri memastikan bahwa beliau mengutus para kurir ini pada awal bulan Muharram tahun 7 H, beberapa hari sebelum pergi ke Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Amr bin Umayyah Adh-Dhamri juga ikut dalam rombongan itu, hingga mereka bertemu Nabi yang saat itu sedang berada di Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Lokasi Perang Khaibar Bekas benteng Yahudi Khaibar Bekas bangunan di Khaibar;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Lokasi Perang Khaibar Bekas benteng Yahudi Khaibar Bekas bangunan di Khaibar;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dulu Khaibar adalah sebuah kota besar yang memiliki benteng dan kebun-kebun sejauh enam puluh hingga delapan puluh mil dari Madinah.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Kini Khaibar merupakan perkampungan yang cukup berbahaya.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Karena Khaibar merupakan kandang konspirasi dan pengkhianatan.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:EVENT?] pangkalan militer, sumber permusuhan dan pemicu peperangan, maka tidak mengherankan jika Khaibar menjadi sasaran pertama yang dilirik orang-orang Muslim.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Sekalipun memang demikian keadaan Khaibar, kita tidak boleh lupa bahwa penduduk Khaibar adalah orang-orang yang menghimpun pasukan untuk memerangi kaum Muslimin dan mendorong Bani ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Sekalipun memang demikian keadaan Khaibar, kita tidak boleh lupa bahwa penduduk Khaibar adalah orang-orang yang menghimpun pasukan untuk memerangi kaum Muslimin dan mendorong Bani ;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Menurut para mufasir, Khaibar merupakan janji yang pernah disampaikan Allah dalam firman-Nya, %L xI ""Allah menjanjikan kepada kamu harta rampasan yang banyak yang dapat kamu ambil,";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Adapun harta rampasan itu adalah Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] (Al-Fath: 15) Ketika Rasulullah hendak keluar ke Khaibar, beliau mengumumkan bahwa yang boleh bergabung hanya orang-orang yang suka berjihad.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Pemimpin munafikin, Abdullah bin Ubay, mengirim utusan kepada Yahudi Khaibar untuk menyampaikan pesan, ""Muhammad hendak mendatangi kalian, maka bersiapsiagalah dan kalian tidak per";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] "" Ketika penduduk Khaibar mengetahui kabar ini, mereka mengutus Kinanah bin Abul Huqaiq dan Haudzah bin Qais ke Ghathafan untuk meminta bantuan kepada mereka, sebab Ghathafan merup";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Jika dapat mengalahkan orang-orang Muslim, Ghathafan meminta syarat untuk diberi separoh hasil korma Khaibar;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Dari Salamah bin Al-Akwa', dia menuturkan, ""Kami keluar bersama Nabi ke Khaibar.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Di Ash-Shahba' yang jaraknya tidak seberapa jauh dengan Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:EVENT?] Pada malam hari sebelum esok hari terjadinya peperangan, orang-orang Muslim berada di suatu tempat tak jauh dari Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Penduduk Khaibar keluar dari rumah mereka sambil membawa sekop dan keranjang seperti biasanya, menuju kebun.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Nabi berseru, ""Allah Akbar, runtuhlah Khaibar! Allahhu Akbar, runtuhlah Khaibar! Jika kita tiba di pelataran suatu kaum, maka amat buruklah bagi orang-orang yang mendapatkan pering";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Nabi berseru, ""Allah Akbar, runtuhlah Khaibar! Allahhu Akbar, runtuhlah Khaibar! Jika kita tiba di pelataran suatu kaum, maka amat buruklah bagi orang-orang yang mendapatkan pering";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] ""Wahai Rasulullah, tempat ini terlalu dekat dengan benteng Nathat dan para prajurit Khaibar yang dipusatkan di benteng itu, dengan begitu mereka bisa mengetahui keadaan kita, semen";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Setelah tiba di suatu tempat yang tak jauh dari Khaibar, beliau berseru, ""Berhenti!"" Setelah pasukan berhenti beliau berdoa.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Khaibar bisa dibagi menjadi dua paroh.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Salamah bin Al-Akwa berkata, ""Setelah kami tiba di Khaibar, raja mereka, Marhab, keluar dengar menghunus pedangnya sambil melantunkan syair, ""Khaibar sudah mengenal, akulah Marhab ";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Salamah bin Al-Akwa berkata, ""Setelah kami tiba di Khaibar, raja mereka, Marhab, keluar dengar menghunus pedangnya sambil melantunkan syair, ""Khaibar sudah mengenal, akulah Marhab ";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] "" Pamanku, Amir maju ke hadapan Marhab sambil membalas syairnya, Khaibar sudah mengenal, akulah Amir memanggul senjata tajam pahlawan berpetualang.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] "" Maka Ibnu Abil Huqaiq turun dari benteng dan menawarkan suatu perundingan, agar orang-orang Yahudi yang ada di dalam benteng tidak dibunuh, anak-anak tidak ditawan, mereka siap m";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] "" Maka Ibnu Abil Huqaiq turun dari benteng dan menawarkan suatu perundingan, agar orang-orang Yahudi yang ada di dalam benteng tidak dibunuh, anak-anak tidak ditawan, mereka siap m";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dengan begitu selesailah sudah penyerahan semua benteng kepada orang-orang Muslim sehingga selesai pula penaklukkan Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dia menyembunyikan tempat-tempat minyak wangi yang berisi berbagai macam perhiasan milik Huyai bin Akhthab, yang dulu dibawanya ke Khaibar ketika An-Nadhir ditumpas.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Banyaknya harta rampasan dari Khaibar ini telah diriway atkan Al-Bukhari.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] dari Umar, dia berkata, Sebelumnya kami tidak pernah merasa kenyang hingga kami bisa menaklukkan Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:?] "" Begitu pula yang diriwayatkan Aisyah, dia berkata, ""Saat Khaibar ditaklukkan, kami berkata, Sekarang kami bisa keny ang karena makan korma.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:EVENT?] Pada saat-saat peperangan Khaibar ini, anak paman beliau, Ja'far bin Abu Thalib, tiba bersama orang-orang Asy' ariyin yaitu Abu Musa dan rekan- rekannya.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] Abu Musa menuturkan, ""Kami mendengar keberangkatan Rasulullah (ke Khaibar) saat kami masih berada di Yaman.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:LOCATION?] "" Maka kami menetap di sana, lalu meninggalkan Habasyah hingga akhirnya kami tiba pada saat penaklukkan Khaibar.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;"[usul:?] Beliau bersabda, ""Demi Allah, aku tidak tahu karena apa aku gembira, entah karena penaklukkan Khaibar entah karena kedatangan Ja'far.";gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] satu orang dari Aslam, satu orang dari penduduk Khaibar, dan sisanya dari Anshar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Setelah tiba di Khaibar, Rasulullah langsung mengutus Muhayyishah bin Mas'ud untuk menemui orang-orang Yahudi Fadak, dan menyeru mereka agar masuk Islam.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Setelah Khaibar dapat ditaklukkan, Allah menyusupkan ketakutan ke dalam hati penduduk Fadak Lalu mereka mengirim utusan kepada beliau untuk mengadakan perjanjian, intinya mereka sa;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Setelah Khaibar dapat ditaklukkan, Allah menyusupkan ketakutan ke dalam hati penduduk Fadak Lalu mereka mengirim utusan kepada beliau untuk mengadakan perjanjian, intinya mereka sa;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:EVENT?] Selagi beliau masih ada di Khaibar, Aban sudah menemui beliau di sana dan sudah melaksanakan tugas yang dibebankan kepadanya Menurut pendapat yang lebih kuat, pengiriman pasukan in;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Dalam hal ini mereka lebih sulit dihadapi daripada penduduk Makkah ataupun Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Satuan pasukan Abdullah bin Rawahah ke Khaibar pada bulan Syawwal 7 H bersama 30 orang penunggang kuda.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Satuan pasukan Abdullah bin Rawahah ke Khaibar pada bulan Syawwal 7 H bersama 30 orang penunggang kuda.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:?] Mereka dapat membujuk Usair bersama 30 rekannya hingga mau keluar dan mengatakan kepadanya, bahwa apabila dia mau menghadap Nabi , maka beliau akan mengangkat dirinya sebagai wakil;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Utusan kabilah ini datang pada awal tahun 7 H, yang saat itu Rasulullah sedang berada di Khaibar.;gold
LOCATION;Ambigu LOCATION vs EVENT (tempat vs peristiwa);145;Khaibar;;[usul:LOCATION?] Karena saat itu beliau sedang berada di Khaibar, maka mereka pun menyusul ke sana.;gold
