no;chunk_id;halaman;entity_text;label_sekarang;usulan_heuristik;keputusan;catatan;kalimat_konteks;konteks_kiri;konteks_kanan
11;000145-001;302-304;Badr;LOCATION;EVENT?;;;Surat ini merupakan penjelasan dari Allah tentang peperangan Badr, yang berbeda jauh dengan penjelasan-penjelasan lain yang membicarakan masalah raja dan pemimpin setelah kemenangan.;eputar topik peperangan ini. Surat ini merupakan penjelasan dari Allah tentang peperangan;, yang berbeda jauh dengan penjelasan-penjelasan lain yang membicarakan masalah raja dan p
12;000147-001;306-307;Badr;LOCATION;EVENT?;;;Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari Badr.;am. Peperangan ini terjadi pada bulan Syawwal 2 Hijriyah, selang tujuh hari sepulang dari;. Beliau mengangkat Siba bin Arfazhah sebagai wakil beliau di Madinah. Namun menurut penda
13;000148-004;308-310;Badr;LOCATION;LOCATION?;;;"Beliau bersabda, ""Ajarkanlah masalah agama kepada saudara kalian ini, bacakanlah Al-Qur an dan bebaskanlah anaknya!"" Sedangkan Shafwan yang berada di Makkah berkata kepada orang-orang di sana, ""Bergembiralah kalian jika nanti mendengar suatu peristiwa yang bisa membuat kalian melupakan peristiwa Badr.";kalian jika nanti mendengar suatu peristiwa yang bisa membuat kalian melupakan peristiwa;"."" Dia pun terus bertanya-tanya kepada setiap orang yang datang dari bepergian, hingga akh"
14;000151-001;312-314;Badr;LOCATION;LOCATION?;;;maka mereka menjadi pelopor pertama yang melanggar perjanjian dari kalangan Yahudi Setelah Allah memberikan kemenangan kepada orang-orang Muslim di Badr, justru kelaliman Yahudi Bani Qainuqa' semakin menjadi-jadi, mereka semakin berani dan lancang, mengolok-ngolok, mengejek dan menggangu orang-orang Muslim yang datang ke pasar mereka.;ian dari kalangan Yahudi Setelah Allah memberikan kemenangan kepada orang-orang Muslim di;, justru kelaliman Yahudi Bani Qainuqa' semakin menjadi-jadi, mereka semakin berani dan la
15;000155-001;317-321;Badr;LOCATION;LOCATION?;;;Di sana dia melantunkan syair-syair sambil menangis mengumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur Badr.;engumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur;.
16;000155-002;317-321;Badr;LOCATION;LOCATION?;;;Di sana dia melantunkan syair-syair sambil menangis mengumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur Badr.;engumbar air mata, menyebut orang-orang yang menjadi korban dan dimasukkan ke dalam sumur;. Dengan tindakannya, dia berharap dapat membangkitkan kembali harga diri mereka dan memba
17;000158-001;324-325;Badr;LOCATION;LOCATION?;;;Bahkan karenanya Quraisy melarang semua penduduk Makkah meratapi para korban Badr dan tidak perlu terburu-buru menebus para tawanan, agar orang-orang Muslim tidak merasa di atas angin karena tahu kegundahan dan kesedihan hati mereka.;untut balas. Bahkan karenanya Quraisy melarang semua penduduk Makkah meratapi para korban;dan tidak perlu terburu-buru menebus para tawanan, agar orang-orang Muslim tidak merasa d
18;000198-002;359-360;Badr;LOCATION;?;;;""" Ibnu Ishaq menuturkan, setelah Abu Sufyan dan orang-orang yang bersamanya berbalik arah untuk kembali ke Makkah, dia berseru, ""Tempat yang telah disepakati pada tahun depan adalah Badr.";"tuk kembali ke Makkah, dia berseru, ""Tempat yang telah disepakati pada tahun depan adalah";"."" Rasulullah bersabda kepada salah seorang di antara sahabat, ""Jawablah. 'Ya. Di sanalah"
19;000216-001;387;Badr;LOCATION;LOCATION?;;;Mereka tiba di Badr dan menunggu orang-orang musyrik.;tangan Ali bin Abu Thalib. Madinah diwakilkan kepada Abdullah bin Rawahah. Mereka tiba di;dan menunggu orang-orang musyrik. Sedangkan Abu Sufyan pergi bersama 2000 orang prajurit,
20;000216-002;387;Badr;LOCATION;?;;;Orang-orang Muslim menunggu kedatangan pasukan Quraisy di Badr hingga selama delapan hari.;pun yang menentang pendapatnya. Orang-orang Muslim menunggu kedatangan pasukan Quraisy di;hingga selama delapan hari. Selama itu mereka menjual barang-barang dagangan dan mendapat
21;000217-001;387-389;Badr;LOCATION;LOCATION?;;;Sepulang Rasulullah dari Badr, keadaan di wilayah Madinah menjadi aman dan tenteram, pemerintahan beliau dapat berjalan lancar.;Sepulang Rasulullah dari;, keadaan di wilayah Madinah menjadi aman dan tenteram, pemerintahan beliau dapat berjalan
22;000217-001;387-389;Badr;LOCATION;LOCATION?;;;Dumatul Jandal Setelah Badr Shughra beliau menetap di Madinah selama enam bulan Kemudian datang berita kepada beliau bahwa beberapa kabilah di sekitar Dumatul Jandal, tak jauh dari Syam, suka merampas dan merampok siapa pun yang lewat daerah itu.;sebelumnya suka mengadakan perlawanan mau mengakui wilayah Islam. Dumatul Jandal Setelah;Shughra beliau menetap di Madinah selama enam bulan Kemudian datang berita kepada beliau
23;000223-004;416-418;Hudaibiyah;LOCATION;EVENT?;;;Tetapi ada pula yang menyebutkannya sebelum Hudaibiyah.;iman satuan pasukan ini pada bulan Rajab 8 H. Tetapi ada pula yang menyebutkannya sebelum;". Jabir menuturkan, ""Rasulullah mengutus kami sebanyak 300 pengendara. di bawah pimpinan A"
24;000223-005;416-418;Hudaibiyah;LOCATION;EVENT?;;;"Apakah masih ada sisa daging yang bisa kalian berikan kepada kami?"" Maka kami menyerahkannya kepada beliau Penuturan Jabir ini menunjukkan bahwa peristiwa ini terjadi sebelum Hudaibiyah.";hkannya kepada beliau Penuturan Jabir ini menunjukkan bahwa peristiwa ini terjadi sebelum;. Sebab orang-orang Muslim tidak lagi mengintai kafilah dagang Quraisy setelah perjanjian
25;000223-005;416-418;Hudaibiyah;LOCATION;EVENT?;;;Sebab orang-orang Muslim tidak lagi mengintai kafilah dagang Quraisy setelah perjanjian Hudaibiyah.;. Sebab orang-orang Muslim tidak lagi mengintai kafilah dagang Quraisy setelah perjanjian;.
26;000227-005;430-432;Hudaibiyah;LOCATION;?;;;Tetapi perkembangan ini baru tampak jelas dengan dikukuhkannya perjanjian Hudaibiyah.;memasang jerat. Tetapi perkembangan ini baru tampak jelas dengan dikukuhkannya perjanjian;. Genjatan yang ada justru merupakan pengakuan terhadap kekuatan Islam, yang mampu menguas
27;000231-001;435;Hudaibiyah;LOCATION;LOCATION?;;;Rasulullah mengambil jalur yang sulit dan berat di antara celah-celah gunung, membawa para sahabat ke arah kanan, melewati Al-Hamsy menuju Tsaniyatul Murar sebelum turun ke Hudaibiyah.;wa para sahabat ke arah kanan, melewati Al-Hamsy menuju Tsaniyatul Murar sebelum turun ke;. Beliau tidak melewati jalan utama menuju Makkah yang melewati Tan'im, atau beliau tidak
28;000231-001;435;Hudaibiyah;LOCATION;LOCATION?;;;""" Kemudian beliau membentak Al-Qashwa sehingga bangkit, lalu berjalan lagi hingga memasuki ujung Hudaibiyah, di dekat suatu kolam yang di sana hanya terdapat air sedikit.";ian beliau membentak Al-Qashwa sehingga bangkit, lalu berjalan lagi hingga memasuki ujung;, di dekat suatu kolam yang di sana hanya terdapat air sedikit. Orang-orang mengambilnya s
29;000243-002;449-450;Hudaibiyah;LOCATION;?;;;""" 220 Lihat rincian tentang peristiwa Hudaibiyah dan gencatan senjata ini dalam Fathul Bari, 7/439-458; Shahih Bukhari, 1/378-381, 2/589, 600, 717; Shahih Muslim, 2/140, 105-106; SirahAn-Nabawiyah Ibnu Hisyam, 2/308-322; Zadul Ma'ad, 2/122-127; Mukhtashar Siratir Rasul, Syaikh Abdullah An-Najdi, hal 207-305; Tarikh Uamr bin Al-Khaththab, Ibnul Jauzi, hal 39-40.";"udian Allah menyelamatkan aku dari kejahatan mereka."" 220 Lihat rincian tentang peristiwa";"dan gencatan senjata ini dalam Fathul Bari, 7/439-458; Shahih Bukhari, 1/378-381, 2/589,"
30;000246-001;453;Hudaibiyah;LOCATION;?;;;Pada akhir tahun 6 H, setelah kembali dari Hudaibiyah, Rasulullah menulis surat yang ditujukan kepada beberapa raja, menyeru mereka kepada Islam.;Pada akhir tahun 6 H, setelah kembali dari;, Rasulullah menulis surat yang ditujukan kepada beberapa raja, menyeru mereka kepada Isla
31;000247-001;453-456;Hudaibiyah;LOCATION;LOCATION?;;;Sebab ada kemungkinan itu bukan teks surat yang ditulis Nabi setelah perjanjian Hudaibiyah, tetapi boleh jadi itu merupakan surat yang dibawa Ja'far ketika dia hijrah ke Habasyah bersama rekan-rekannya semasa periode Makkah.;h lanjut. Sebab ada kemungkinan itu bukan teks surat yang ditulis Nabi setelah perjanjian;, tetapi boleh jadi itu merupakan surat yang dibawa Ja'far ketika dia hijrah ke Habasyah b
32;000247-003;453-456;Hudaibiyah;LOCATION;EVENT?;;;Kalau pun dikatakan bahwa surat itu ditulis setelah Hudaibiyah, maka tidak ada dalil yang menguatkannya.;anjut, dengan melihat beberapa dalil. Kalau pun dikatakan bahwa surat itu ditulis setelah;, maka tidak ada dalil yang menguatkannya. Yang disebutkan Al-Baihaqi dari Ibnu Ishaq miri
33;000247-003;453-456;Hudaibiyah;LOCATION;LOCATION?;;;Yang disebutkan Al-Baihaqi dari Ibnu Ishaq mirip dengan surat yang ditulis Nabi kepada beberapa raja dan amir Nashrani setelah Hudaibiyah, yang di dalamnya ada ayat Al-Qur an tersebut.;Ishaq mirip dengan surat yang ditulis Nabi kepada beberapa raja dan amir Nashrani setelah;, yang di dalamnya ada ayat Al-Qur an tersebut. Kemiripan lainnya adalah dalam kandunganny
34;000260-001;474-475;Hudaibiyah;LOCATION;?;;;"Karena orang munafik dan mereka y ang hatinya lemah tidak mau bergabung dalam peristiwa Hudaibiyah, maka Allah menurunkan perintah kepada Nabi- Nya tentang mereka, K,Lz xI ""Orang-orang yang tertinggal itu akan berkata apabila kamu berangkat untuk mengambil barang rampasan, Biarkanlah kami, niscaya kami mengikuti kamu '; mereka hendak merobah janji Allah.";Karena orang munafik dan mereka y ang hatinya lemah tidak mau bergabung dalam peristiwa;", maka Allah menurunkan perintah kepada Nabi- Nya tentang mereka, K,Lz xI ""Orang-orang yan"
35;000274-002;486-487;Hudaibiyah;LOCATION;?;;;Karena bagaimanapun juga, harta rampasan dari Perang Khaibar ini juga tidak lepas dari peran orang-orang yang ikut dalam peristiwa Hudaibiyah.;dari Perang Khaibar ini juga tidak lepas dari peran orang-orang yang ikut dalam peristiwa;. Setiap kuda yang ikut mendapat dua bagian, penunggangnya mendapat tiga bagian, sedangkan
36;000285-001;498-501;Hudaibiyah;LOCATION;LOCATION?;;;"Al-Hakim menuturkan, ""Dengan tibanya bulan Dzul Qa'dah, tersiar kabar bahwa Rasulullah dan para sahabat hendak melakukan umrah qadha' Siapa pun yang dulu ikut dalam peristiwa Hudaibiyah disuruh berangkat.";h dan para sahabat hendak melakukan umrah qadha' Siapa pun yang dulu ikut dalam peristiwa;disuruh berangkat. Karena itu, mereka pun berangkat kecuali yang mati syahid. Di samping
37;000285-005;498-501;Hudaibiyah;LOCATION;?;;;Umrah ini dinamakan umrah qadha', entah karena dimaksudkan sebagai qadha' dari umrah yang gagal dilaksanakan setahun sebelumnya saat peristiwa Hudaibiyah.;udkan sebagai qadha' dari umrah yang gagal dilaksanakan setahun sebelumnya saat peristiwa;. Pertimbangan ini lebih bisa diterima para peneliti. Yang pasti, umrah kali ini mempunyai
38;000338-001;552-553;Hudaibiyah;LOCATION;?;;;Hal ini menunjukkan sejauh mana keberhasilan gencatan senjata yang dikukuhkan di Hudaibiyah, hingga setelah penaklukkan Makkah.;ram 9 H. Hal ini menunjukkan sejauh mana keberhasilan gencatan senjata yang dikukuhkan di;, hingga setelah penaklukkan Makkah. Manusia masuk Islam secara berbondong-bondong setelah
39;000385-007;613-618;Hudaibiyah;LOCATION;LOCATION?;;;Hal ini tampak jelas dalam tindakan kaum Muslimin saat di Hudaibiyah.;mengajak kepada perubahan itu. Hal ini tampak jelas dalam tindakan kaum Muslimin saat di;. Di sana ada orang-orang Muslim, yang keadaannya seperti yang dilihat dan dituturkan Urwa
40;000323-001;538;Hunain;LOCATION;LOCATION?;;;Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;mereka tiba di Authas dan bermarkas di sana. Authas adalah suatu lembah di Hawazin dekat;, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan
41;000323-001;538;Hunain;LOCATION;LOCATION?;;;Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;s di sana. Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah;Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz. Jarak tempat ini denga
42;000323-001;538;Hunain;LOCATION;LOCATION?;;;Authas adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara Hunain adalah suatu lembah berdekatan dengan Dzul Majaz.;adalah suatu lembah di Hawazin dekat Hunain, tetapi tidak masuk wilayah Hunain Sementara;adalah suatu lembah berdekatan dengan Dzul Majaz. Jarak tempat ini dengan Makkah ada sepu
43;000326-001;540;Hunain;LOCATION;LOCATION?;;;Dalam perjalanan menuju Hunain, mereka melewati sebuah pohon yang besar, yang disebut Dzatu Anwath.;u beliau menugasi Anas bin Abu Martsad Al-Ghanwi sebagai penjaga. Dalam perjalanan menuju;, mereka melewati sebuah pohon yang besar, yang disebut Dzatu Anwath. Dulu orang-orang Ara
44;000327-001;541;Hunain;LOCATION;LOCATION?;;;Pada malam Rabu tanggal 10 Syawwal, pasukan Islam tiba di Hunain Sementara itu, Malik bin Auf dan pasukannya lebih dahulu tiba di sana dan memasukan pasukan ke sana pada malam hari.;Pada malam Rabu tanggal 10 Syawwal, pasukan Islam tiba di;Sementara itu, Malik bin Auf dan pasukannya lebih dahulu tiba di sana dan memasukan pasuk
45;000327-001;541;Hunain;LOCATION;LOCATION?;;;Tepat pada waktu subuh yang suasananya masih gelap, orang-orang Muslim tiba di lembah Hunain dan mulai memasang kewaspadaan.;ka. Tepat pada waktu subuh yang suasananya masih gelap, orang-orang Muslim tiba di lembah;dan mulai memasang kewaspadaan. Mereka tidak tahu adanya pasukan musuh y ang bersembunyi
46;000329-001;542-543;Hunain;LOCATION;?;;;"""Sesungguhnya Allah telah menolong kamu (hai para mukminin) di medan peperangan yang banyak, dan (ingatlah) peperangan Hunain, yaitu di waktu kamu menjadi congkak karena banyaknya jumlah (mu), maka jumlah yang banyak itu tidak memberi manfaat kepadamu sedikit pun, dan bumi yang luas itu telah terasa sempit olehmu, kemudian kamu lari ke belakang dengan bercerai-berai.";olong kamu (hai para mukminin) di medan peperangan yang banyak, dan (ingatlah) peperangan;, yaitu di waktu kamu menjadi congkak karena banyaknya jumlah (mu), maka jumlah yang banya
47;000330-001;543;Hunain;LOCATION;LOCATION?;;;Nabi sendiri yang melakukan pengejaran ke sana setelah menghimpun harta rampasan di Hunain.;a'if. Nabi sendiri yang melakukan pengejaran ke sana setelah menghimpun harta rampasan di;.
48;000332-001;544-545;Hunain;LOCATION;LOCATION?;;;Karena itu Rasulullah beranjak ke Tha'if seusai dari Hunain dan setelah rampung mengumpulkan harta rampasan di Ji'ranah Khalid bin Walid berangkat lebih dahulu ke sana bersama 1000 prajurit.;An-Nashri. Mereka bertahan di sana. Karena itu Rasulullah beranjak ke Tha'if seusai dari;dan setelah rampung mengumpulkan harta rampasan di Ji'ranah Khalid bin Walid berangkat le
49;000334-001;547-549;Hunain;LOCATION;LOCATION?;;;Orang-orang Anshar termasuk mereka yang tidak bisa menerima kebijakan beliau ini, karena mereka semua tidak menerima bagian dari harta rampasan Hunain.;erima kebijakan beliau ini, karena mereka semua tidak menerima bagian dari harta rampasan;. Padahal justru merekalah yang lebih banyak dilibatkan saat terjadi krisis, bertempur ber
50;000355-001;573-575;Hunain;LOCATION;EVENT?;;;Adapun peristiwa yang terjadi dalam Perang Uhud dan Hunain lebih disebabkan karena kelemahan di dalam diri anggota pasukan atau karena mereka membangkang perintah beliau serta menyalahi perintah beliau.;i yang tidak pernah dikenal di dunia. Adapun peristiwa yang terjadi dalam Perang Uhud dan;lebih disebabkan karena kelemahan di dalam diri anggota pasukan atau karena mereka memban
51;000002-012;35-42;Khaibar;LOCATION;LOCATION?;;;Bani Sulaim menetap di dekat Madinah, dari lembah-lembah di pinggiran Madinah hingga ke Khaibar, di bagian timur Madinah dan penghujung Hurrah.;. Bani Sulaim menetap di dekat Madinah, dari lembah-lembah di pinggiran Madinah hingga ke;, di bagian timur Madinah dan penghujung Hurrah. Tsaqif menetap di Tha'if, Hawazin di timu
52;000010-012;56-64;Khaibar;LOCATION;LOCATION?;;;Dimulai dari pencaplokan bangsa Romawi terhadap Palestina pada tahun 70 Masehi, yang disertai dengan tekanan terhadap orang-orang Yahudi dan penghancuran Haikal-haikal mereka, sehingga kabilah-kabilah mereka berpindah ke Hijaz, lalu menetap di Yatsrib, Khaibar, dan Taima.;ikal mereka, sehingga kabilah-kabilah mereka berpindah ke Hijaz, lalu menetap di Yatsrib,;, dan Taima. Di sana mereka mendirikan perkampungan Yahudi dan benteng pertahanan. Maka ag
53;000010-012;56-64;Khaibar;LOCATION;LOCATION?;;;Saat Islam datang, kabilah-kabilah Yahudi yang terkenal adalah Khaibar, Nadhir, Mushthaliq, Quraizhah, dan Qainuqa.;mengawali munculnya Islam. Saat Islam datang, kabilah-kabilah Yahudi yang terkenal adalah;, Nadhir, Mushthaliq, Quraizhah, dan Qainuqa. As-Samhudi menyebutkan di dalam buku Wafa 'u
54;000105-001;243-244;Khaibar;LOCATION;?;;;""" Beliau juga bersabda, Para pekerja ini bukanlah para pekerja Khaibar.";"orang Anshar dan Muhajirin."" Beliau juga bersabda, Para pekerja ini bukanlah para pekerja";". Ini adalah pemilik yang paling baik dan paling suci."" Sabda beliau ini semakin memompa s"
55;000214-006;382-385;Khaibar;LOCATION;LOCATION?;;;Kebanyakan di antara mereka, terutama para tokoh dan pemimpin Bani Nadhir seperti Huyai bin Akhthab dan Sallam bin Al-Huqaiq pergi ke Khaibar.;okoh dan pemimpin Bani Nadhir seperti Huyai bin Akhthab dan Sallam bin Al-Huqaiq pergi ke;. Sebagian yang lain pergi ke Syam. Hanya ada dua orang di antara mereka yang masuk Islam,
56;000215-002;385-386;Khaibar;LOCATION;EVENT?;;;Padahal Abu Hurairal masuk Islam beberapa hari sebelum Perang Khaibar, dan Abu Musa Al-Asy ari bergabung dengan Nabi di Khaibar.;am beberapa hari sebelum Perang Khaibar, dan Abu Musa Al-Asy ari bergabung dengan Nabi di;. Jadi Perang Dzatur Riqa' terjadi setelah Perang Khaibar. Bukti lain yang menguatkan bahw
57;000218-001;390-404;Khaibar;LOCATION;?;;;Setelah lari ke Khaibar, mereka menunggu-nunggu apa yang akan menimpa orang-orang Muslim sebagai akibat bentrokan fisik dengan para paganis Quraisy.;khianat, berkonspirasi dan melakukan makar, tidak mau terima begitu saja. Setelah lari ke;, mereka menunggu-nunggu apa yang akan menimpa orang-orang Muslim sebagai akibat bentrokan
58;000220-001;412-414;Khaibar;LOCATION;LOCATION?;;;Maka ada lima orang di antara mereka yang semuanya berasal dari Bani Salamah dari Khazraj, di bawah pimpinan Abdullah bin Atik Mereka berangkat menuju Khaibar, karena di sanalah benteng Abu Raf' berada.;ri Bani Salamah dari Khazraj, di bawah pimpinan Abdullah bin Atik Mereka berangkat menuju;, karena di sanalah benteng Abu Raf' berada. Setelah dekat dengan bentengnya yang saat itu
59;000227-001;430-432;Khaibar;LOCATION;LOCATION?;;;Dia bisa menangkap mata-mata Bani Sa'd, dan bisa memperoleh informasi dari mata-mata itu bahwa mereka mengirimnya ke Khaibar untuk menawarkan bantuan prajurit.;a Bani Sa'd, dan bisa memperoleh informasi dari mata-mata itu bahwa mereka mengirimnya ke;untuk menawarkan bantuan prajurit. asalkan korma Khaibar dikirimkan kepada mereka. Mata-m
60;000227-001;430-432;Khaibar;LOCATION;?;;;asalkan korma Khaibar dikirimkan kepada mereka.;itu bahwa mereka mengirimnya ke Khaibar untuk menawarkan bantuan prajurit. asalkan korma;dikirimkan kepada mereka. Mata-mata itu juga menunjukkan tempat berkumpulnya Bani Sa'd. A
61;000245-001;451-452;Khaibar;LOCATION;LOCATION?;;;Keterlibatan Ghathafan ini pun sebenarnya atas bujukan orang-orang Yahudi Sementara itu, orang-orang Yahudi yang telah hengkang dari Madinah menjadikan Khaibar sebagai markas konspirasi dan penyusunan makar.;rang Yahudi Sementara itu, orang-orang Yahudi yang telah hengkang dari Madinah menjadikan;sebagai markas konspirasi dan penyusunan makar. Setan-setan mereka bertelor dan menetas d
62;000246-001;453;Khaibar;LOCATION;?;;;Al-Alamah Al-Manshurfuri memastikan bahwa beliau mengutus para kurir ini pada awal bulan Muharram tahun 7 H, beberapa hari sebelum pergi ke Khaibar.;engutus para kurir ini pada awal bulan Muharram tahun 7 H, beberapa hari sebelum pergi ke;. Inilah uraiannya dan isi surat-surat tersebut.
63;000247-005;453-456;Khaibar;LOCATION;LOCATION?;;;Amr bin Umayyah Adh-Dhamri juga ikut dalam rombongan itu, hingga mereka bertemu Nabi yang saat itu sedang berada di Khaibar.;juga ikut dalam rombongan itu, hingga mereka bertemu Nabi yang saat itu sedang berada di;. Raja Najasyi ini meninggal dunia pada bulan Rajab tahun 7 H, setelah Perang Tabuk. Belia
64;000255-004;470-472;Khaibar;LOCATION;LOCATION?;;;Lokasi Perang Khaibar Bekas benteng Yahudi Khaibar Bekas bangunan di Khaibar;n bendera diserahkan kepada Al-Miqdad bin Amr. Lokasi Perang Khaibar Bekas benteng Yahudi;Bekas bangunan di Khaibar
65;000255-004;470-472;Khaibar;LOCATION;LOCATION?;;;Lokasi Perang Khaibar Bekas benteng Yahudi Khaibar Bekas bangunan di Khaibar;a Al-Miqdad bin Amr. Lokasi Perang Khaibar Bekas benteng Yahudi Khaibar Bekas bangunan di;
66;000256-001;473;Khaibar;LOCATION;LOCATION?;;;Dulu Khaibar adalah sebuah kota besar yang memiliki benteng dan kebun-kebun sejauh enam puluh hingga delapan puluh mil dari Madinah.;Dulu;adalah sebuah kota besar yang memiliki benteng dan kebun-kebun sejauh enam puluh hingga d
67;000256-001;473;Khaibar;LOCATION;LOCATION?;;;Kini Khaibar merupakan perkampungan yang cukup berbahaya.;bun sejauh enam puluh hingga delapan puluh mil dari Madinah. tepatnya ke arah utara. Kini;merupakan perkampungan yang cukup berbahaya.
68;000257-001;473-474;Khaibar;LOCATION;?;;;Karena Khaibar merupakan kandang konspirasi dan pengkhianatan.;yah, lalu orang-orang Muslim dapat berkonsentrasi untuk menyebarkan risalah Allah. Karena;merupakan kandang konspirasi dan pengkhianatan. pangkalan militer, sumber permusuhan dan
69;000257-001;473-474;Khaibar;LOCATION;EVENT?;;;pangkalan militer, sumber permusuhan dan pemicu peperangan, maka tidak mengherankan jika Khaibar menjadi sasaran pertama yang dilirik orang-orang Muslim.;pangkalan militer, sumber permusuhan dan pemicu peperangan, maka tidak mengherankan jika;menjadi sasaran pertama yang dilirik orang-orang Muslim. Sekalipun memang demikian keadaa
70;000257-001;473-474;Khaibar;LOCATION;LOCATION?;;;Sekalipun memang demikian keadaan Khaibar, kita tidak boleh lupa bahwa penduduk Khaibar adalah orang-orang yang menghimpun pasukan untuk memerangi kaum Muslimin dan mendorong Bani Quraizhah untuk melanggar perjanjian dan berkhianat, menjalin kontak dengan orang-orang munafik yang merupakan duri dalam masyarakat Islam, berhubungan dengan penduduk Ghathafan dan orang-orang Arab Badui, yang merupakan sayap ketiga dari pasukan musuh.;enjadi sasaran pertama yang dilirik orang-orang Muslim. Sekalipun memang demikian keadaan;, kita tidak boleh lupa bahwa penduduk Khaibar adalah orang-orang yang menghimpun pasukan
