text_id;kategori;token;gold;model_pred;penyebab_usulan;keputusan;koreksi;catatan;konteks
000032-001;C;bulan;I-TIME;B-TIME;SALAH_TIPE (gold vs model beda tipe);;;;...hari Senin , malam tanggal 21 dari 〚bulan〛 Ramadhan , atau bertepatan dengan tanggal 10...
000032-001;A;610;O;I-TIME;OCR/ANGKA (token mengandung digit);;;;..., atau bertepatan dengan tanggal 10 Agustus 〚610〛 M . Usia beliau saat itu genap...
000032-001;B;"berkata,""Al-Baihaqi";B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...Zhilail-Qur'an , 26/166 . 55 Ibnu Hajar 〚berkata,""Al-Baihaqi〛 mengisahkan bahwa jangka waktu datangnya mimpi itu..."
000074-005;A;Hadhramaut;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;"...rombongan kafilah bisa berlalu dari Shan'a hingga 〚Hadhramaut〛 tanpa rasa takut kecuali kepada Allah .""..."
000074-004;B;Ukazh;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...beliau berdiri di hadapan orang-orang di pasar 〚Ukazh〛 . Majannah , dan Dzil-Majaz untuk menyampaikan...
000074-004;B;Dzil-Majaz;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...di pasar Ukazh . Majannah , dan 〚Dzil-Majaz〛 untuk menyampaikan risalah , maka beliau tidak...
000071-005;A;Bakar;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;"...Ummu Jamil menjawab,""Aku tidak tahu di manaAbu 〚Bakar〛 dan Muhammad bin Abdullah berada . Jika..."
000015-003;B;As-Samau'al;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Kisah tentang Hani' bin Mas'ud Asy-Syaibani , 〚As-Samau'al〛 bin Adiya dan Hajib bin Zararah sudah...
000014-001;B;Ukazh;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...pasar-pasar Arab yang sangat terkenal , seperti 〚Ukazh〛 , Dzil-Majaz , Majinnah , dan lain-lainnya...
000014-001;B;Dzil-Majaz;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...yang sangat terkenal , seperti Ukazh , 〚Dzil-Majaz〛 , Majinnah , dan lain-lainnya Tentang perindustrian...
000014-001;B;Majinnah;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...terkenal , seperti Ukazh , Dzil-Majaz , 〚Majinnah〛 , dan lain-lainnya Tentang perindustrian atau kerajinan...
000360-002;B;Al-Jurf;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Zaid . Mereka berangkat hingga tiba di 〚Al-Jurf〛 , sejauh satu farsakh dari Madinah ....
000360-002;A;265;O;I-PERSON;OCR/ANGKA (token mengandung digit);;;;...satuan pasukan yang pertama pada khalifah Abu 〚265〛 Shahih Al-Bukhari , Bab Ba'tsu Usamah ,...
000359-005;B;Ramadhan;B-TIME;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...shalat lima waktu kalian , laksanakan puasa 〚Ramadhan〛 kalian , bayarkanlah zakat kalian dengan suka...
000003-001;A;jazirah;O;B-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...eksternal saat kemunculan Islam . Para penguasa 〚jazirah〛 tatkala terbitnya matahari Islam , bisa dibagi...
000003-001;A;tatkala;O;I-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...saat kemunculan Islam . Para penguasa jazirah 〚tatkala〛 terbitnya matahari Islam , bisa dibagi menjadi...
000004-003;B;Dzu;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Masehi . Karena mereka menolak , maka 〚Dzu〛 Nuwas membuat parit-parit besar yang di dalamnya...
000004-003;B;Nuwas;I-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;.... Karena mereka menolak , maka Dzu 〚Nuwas〛 membuat parit-parit besar yang di dalamnya dinyalahkan...
000009-002;A;IRAQ;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...krisis Tetapi kekuasaan di Hijaz di mata 〚IRAQ〛 RAN bangsa Arab memiliki kehormatan suez tersendiri...
000009-002;A;suez;O;B-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...mata IRAQ RAN bangsa Arab memiliki kehormatan 〚suez〛 tersendiri . Mereka melihat kekuasaan di Hijaz...
000009-002;A;Arab;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...istilah kepemimpinan agama . Mereka Peta Kerajaan 〚Arab〛 Saudi berkuasa di tanah suci dengan sifatnya...
000009-002;A;Saudi;O;I-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...kepemimpinan agama . Mereka Peta Kerajaan Arab 〚Saudi〛 berkuasa di tanah suci dengan sifatnya sebagai...
000005-003;A;Kalb;O;I-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;..., tetapi dia justru dibuang ke Darul 〚Kalb〛 dan meninggal di sana . Sistem kerajaan...
000005-003;A;lyas;O;B-PERSON;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...dunia . Sebagai penggantinya , Kisra mengangkat 〚lyas〛 bin Qubaishah Ath-Thayy'i , dan memerintahkannya mendatangi...
000005-003;A;bin;O;I-PERSON;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;.... Sebagai penggantinya , Kisra mengangkat lyas 〚bin〛 Qubaishah Ath-Thayy'i , dan memerintahkannya mendatangi Hani'...
000005-003;A;Qubaishah;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Sebagai penggantinya , Kisra mengangkat lyas bin 〚Qubaishah〛 Ath-Thayy'i , dan memerintahkannya mendatangi Hani' bin...
000005-003;C;Kisra;B-PERSON;I-EVENT;SALAH_TIPE (gold vs model beda tipe);;;;...untuk memeranginya . Dengan dibantu pasukan perang 〚Kisra〛 . terjadilah peperangan yang dahsyat antara kedua...
000007-010;B;Umayyah;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...panji kaum , yang menjadi wewenang Bani 〚Umayyah〛 . 6 . Al-Qubah , atau penanganan...
000030-004;A;Ummul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...orang lain . Keadaan beliau juga digambarkan 〚Ummul〛 Mukminin Khadijah , Beliau membawa bebannya sendiri...
000030-004;B;Bunyanil-Ka'bah;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...tidak layak diperlihatkan . Shahihul-Bukhari , bab 〚Bunyanil-Ka'bah〛 , 1/540 . 53 Shahihul-Bukhari , 1/3...
000155-005;A;Al-Asyraf;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Muslim itu berhenti di dekat benteng Ka'b 〚Al-Asyraf〛 . Abu Na ilah berbisik-bisik memanggil nama...
000157-001;A;3;O;I-TIME;OCR/ANGKA (token mengandung digit);;;;...Uhud . terjadi pada bulan Jumadal Akhirah 〚3〛 H Gambarannya , orang-orang Quraisy terus dibayangi...
000157-001;A;H;O;I-TIME;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;.... terjadi pada bulan Jumadal Akhirah 3 〚H〛 Gambarannya , orang-orang Quraisy terus dibayangi keresahan...
000249-001;A;Abdullah;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...anak buahnya untuk menyampaikan surat tersebut ataukah 〚Abdullah〛 sendiri yang menyampaikannya . Siapa pun yang...
000249-003;A;Selasa;O;I-TIME;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Hal ini terjadi pada malam 〚Selasa〛 tanggal 10 Jumadal Rasulullah mengetahuinya lewat pemberitaan...
000357-001;A;Al-Asyaj;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...dan macam-macam minuman . Pemimpin mereka adalah 〚Al-Asyaj〛 Al-Ashri , yang kemudian beliau bersabda tentang...
000255-002;B;Ghazwah;B-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...mereka 229 Lihat Shahih Al-Bukhari , bab 〚Ghazwah〛 Dzatu Qarad , 2/603 ; Shahih Muslim..."
000255-002;B;Dzatu;I-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...229 Lihat Shahih Al-Bukhari , bab Ghazwah 〚Dzatu〛 Qarad , 2/603 ; Shahih Muslim ,..."
000255-002;B;Qarad;I-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...Lihat Shahih Al-Bukhari , bab Ghazwah Dzatu 〚Qarad〛 , 2/603 ; Shahih Muslim , 2/113-115..."
000223-005;A;perjanjian;O;B-EVENT;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...tidak lagi mengintai kafilah dagang Quraisy setelah 〚perjanjian〛 Hudaibiyah ....
000223-005;C;Hudaibiyah;B-LOCATION;I-EVENT;AMBIGU_LOC_EVENT (lihat worksheet terpisah);;;;...lagi mengintai kafilah dagang Quraisy setelah perjanjian 〚Hudaibiyah〛 ....
000017-008;A;M;O;I-TIME;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...bulan Februari atau awal bulan Maret 571 〚M〛 . Peristiwa ini merupakan prolog yang dibukakan...
000017-008;C;Bukhtanashar;B-PERSON;B-LOCATION;SALAH_TIPE (gold vs model beda tipe);;;;...sekalipun rakyatnya orang-orang Muslim , seperti peristiwa 〚Bukhtanashar〛 pada tahun 587 SM dan orang-orang Romawi...
000017-001;A;Manaf;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...dinisbatkan kepada kakeknya , Hasyim bin Abdu 〚Manaf〛 . Oleh karena itu ada baiknya jika...
000016-002;B;Matausyalakh;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...bin Nuh E bin Lamk , bin 〚Matausyalakh〛 bin Akhnukh atau Idris , bin Yard...
000016-002;B;bin;I-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Nuh E bin Lamk , bin Matausyalakh 〚bin〛 Akhnukh atau Idris , bin Yard ,...
000016-002;B;Akhnukh;I-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...E bin Lamk , bin Matausyalakh bin 〚Akhnukh〛 atau Idris , bin Yard , bin...
000016-002;B;Idris;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Lamk , bin Matausyalakh bin Akhnukh atau 〚Idris〛 , bin Yard , bin Mahla'il ,...
000017-009;A;Az-Zubair;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...ai sepuluh anak laki-laki : Al-Harits , 〚Az-Zubair〛 , Abu Thalib , Abdullah , Hamzah...
000017-009;A;Abdul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;.... Mereka yang berpendapat seperti ini menambahkan 〚Abdul〛 Ka'bah dan Hajla . Ada yang berpendapat...
000017-009;C;Ka'bah;B-LOCATION;I-PERSON;SALAH_TIPE (gold vs model beda tipe);;;;...Mereka yang berpendapat seperti ini menambahkan Abdul 〚Ka'bah〛 dan Hajla . Ada yang berpendapat ,...
000017-009;A;Abdul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...dan Hajla . Ada yang berpendapat , 〚Abdul〛 Ka'bah adalah Al-Muqawwim , dan Hajlah adalah...
000017-009;C;Ka'bah;B-LOCATION;I-PERSON;SALAH_TIPE (gold vs model beda tipe);;;;...Hajla . Ada yang berpendapat , Abdul 〚Ka'bah〛 adalah Al-Muqawwim , dan Hajlah adalah Al...
000017-009;B;Shafiyyah;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...atau Al-Baidha , Barrah , Atikah , 〚Shafiyyah〛 , Arwa , dan 3 . Abdullah...
000017-009;A;Abdullah;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Shafiyyah , Arwa , dan 3 . 〚Abdullah〛 Dia adalah bapak Rasulullah . Ibunya adalah...
000338-001;C;Ka'b;B-PERSON;B-LOCATION;SALAH_TIPE (gold vs model beda tipe);;;;...7 . Basyir bin Sufyan ke Bani 〚Ka'b〛 8 . Ibnul Latibah Al-Uzdi ke Bani...
000338-001;A;Hadramaut;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Shan'a 10 . Ziyad bin Lubaid ke 〚Hadramaut〛 11 . Adi bin Hatim ke Tha'i...
000227-001;A;Salamah;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...bin Al-Ashba' , atau berjuluk Ummu Abi 〚Salamah〛 , putri pemimpin mereka . 2 ....
000224-003;B;Qudaid;B-LOCATION;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;.... sebuah mata air milik mereka di 〚Qudaid〛 . Orang-orang Muslim bersiap-siap untuk berperang ....
000224-003;B;Juwairiyah;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Dalam pembagian harta rampasan dan tawanan , 〚Juwairiyah〛 menjadi bagian Tsabit bin Qais . Tsabit...
000218-021;A;ud;O;I-PERSON;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...Ghathafan y ang bernama Nu'aim bin Mas 〚ud〛 bin Amir Al Asyja'i y ang menemui...
000218-021;A;bin;O;I-PERSON;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...y ang bernama Nu'aim bin Mas ud 〚bin〛 Amir Al Asyja'i y ang menemui Rasulullah...
000218-021;A;Amir;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...ang bernama Nu'aim bin Mas ud bin 〚Amir〛 Al Asyja'i y ang menemui Rasulullah seraya...
000140-001;A;Ummul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;.... Al-Abbas masuk Islam , begitu pula 〚Ummul〛 Fadhl dan aku . Namun Al-Abbas menyembunyikan...
000140-001;A;Fadhl;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Al-Abbas masuk Islam , begitu pula Ummul 〚Fadhl〛 dan aku . Namun Al-Abbas menyembunyikan keislamannya...
000140-001;B;Al-Abbas;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...pula Ummul Fadhl dan aku . Namun 〚Al-Abbas〛 menyembunyikan keislamannya . Saat Perang Badr ,...
000122-001;A;wadi;O;B-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...di balik bukit pasir , di pinggiran 〚wadi〛 Badr ....
000122-001;C;Badr;B-LOCATION;I-LOCATION;AMBIGU_LOC_EVENT (lihat worksheet terpisah);;;;...balik bukit pasir , di pinggiran wadi 〚Badr〛 ....
000140-003;A;Ummul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Padahal aku adalah orang yang lemah . 〚Ummul〛 Fadhl bangkit memungut tiang pembatas Zamzam ,...
000140-003;A;Fadhl;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...aku adalah orang yang lemah . Ummul 〚Fadhl〛 bangkit memungut tiang pembatas Zamzam , lalu...
000140-003;A;Ummul;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;"...Lahab hingga menimbulkan luka yang menganga . 〚Ummul〛 Fadhl berkata , "" Engkau berani menyiksa..."
000140-003;A;Fadhl;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;"...hingga menimbulkan luka yang menganga . Ummul 〚Fadhl〛 berkata , "" Engkau berani menyiksa orang..."
000145-001;A;peperangan;O;B-EVENT;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...Surat ini merupakan penjelasan dari Allah tentang 〚peperangan〛 Badr , yang berbeda jauh dengan penjelasan-penjelasan...
000145-001;C;Badr;B-LOCATION;I-EVENT;AMBIGU_LOC_EVENT (lihat worksheet terpisah);;;;...ini merupakan penjelasan dari Allah tentang peperangan 〚Badr〛 , yang berbeda jauh dengan penjelasan-penjelasan lain...
000301-001;A;Ath-Thabarani;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Diambilkan dari riwayat 〚Ath-Thabarani〛 , bahwa tiga hari sebelum ada informasi...
000301-001;A;Dzul;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...perkampungan yang terletak antara Dzu Khasyab dan 〚Dzul〛 Marwah pada awal bulan Ramadhan 8 H...
000301-001;C;Marwah;B-LOCATION;I-LOCATION;SALAH_TIPE (gold vs model beda tipe);;;;...yang terletak antara Dzu Khasyab dan Dzul 〚Marwah〛 pada awal bulan Ramadhan 8 H agar...
000314-003;A;ibnu;O;B-PERSON;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...Islam , Arnab , budak perempuan milik 〚ibnu〛 Khathal yang juga dibunuh , Ummu Sa'd...
000314-003;A;Khathal;O;I-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;..., Arnab , budak perempuan milik ibnu 〚Khathal〛 yang juga dibunuh , Ummu Sa'd yang...
000314-003;A;Arnab;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...enam orang perempuan . Tetapi boleh jadi 〚Arnab〛 dan Ummu Sa'd ini adalah biduanita yang...
000328-001;B;Al-Abbas;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;"...Manakah orang yang berikrar di bawah pohon?' 〚Al-Abbas〛 menuturkan , "" Demi Allah , seakan-akan..."
000273-001;A;Abil;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Sekalipun anak 〚Abil〛 Huqaiq sudah menyetujui perjanjian ini , toh...
000296-003;A;Judzam;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...bermarkas di sebuah mata air di wilayah 〚Judzam〛 yang disebut As-Salasil , hingga peperangan ini...
000294-002;B;Ghazwah;B-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;.... Dengan 242 Shahih Al-Bukhari , bab 〚Ghazwah〛 Mu 'tah Min Ardhisi Syam , 2/611...
000294-002;B;Mu;I-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...Dengan 242 Shahih Al-Bukhari , bab Ghazwah 〚Mu〛 'tah Min Ardhisi Syam , 2/611 ....
000296-001;A;8;O;I-TIME;OCR/ANGKA (token mengandung digit);;;;...untuk menemui mereka pada bulan Jumadal Akhirah 〚8〛 H seusai perang Mu'tah , dengan tujuan...
000296-001;A;H;O;I-TIME;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...menemui mereka pada bulan Jumadal Akhirah 8 〚H〛 seusai perang Mu'tah , dengan tujuan untuk...
000114-013;A;Beberapa;O;I-EVENT;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...bara api . Lokasi terjadinya Perang Badr 〚Beberapa〛 ayat yang memerintahkan perang , berarti menunjukkan...
000002-003;B;Abul;B-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...sana bersama anak keturunannya . Dia dijuluki 〚Abul〛 Muluk Al-Ghassasanah , yang dinisbatkan kepada mata...
000002-003;B;Muluk;I-PERSON;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...bersama anak keturunannya . Dia dijuluki Abul 〚Muluk〛 Al-Ghassasanah , yang dinisbatkan kepada mata air...
000002-003;A;Bahrain;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...d . Kindah . Mereka tinggal di 〚Bahrain〛 , lalu terpaksa meninggalkanya dan akhirnya singgah...
000002-003;A;Hadhramaut;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...lalu terpaksa meninggalkanya dan akhirnya singgah di 〚Hadhramaut〛 . Namun nasib mereka tidak jauh berbeda...
000002-003;A;Bahrain;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...mereka tidak jauh berbeda saat berada di 〚Bahrain〛 , hingga mereka pindah lagi ke Najd...
000001-002;A;timur;O;B-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...merupakan pintu masuk bagi bangsa-bangsa non-Arab , 〚timur〛 tengah dan timur dekat , terus membentang...
000001-002;A;tengah;O;I-LOCATION;KAPITALISASI/huruf-kecil (gold=O, perlu cek);;;;...pintu masuk bagi bangsa-bangsa non-Arab , timur 〚tengah〛 dan timur dekat , terus membentang ke...
000001-002;A;India;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...dan timur dekat , terus membentang ke 〚India〛 dan Cina . Setiap benua mempertemukan lautnya...
000001-002;A;Cina;O;B-LOCATION;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...dekat , terus membentang ke India dan 〚Cina〛 . Setiap benua mempertemukan lautnya dengan Jazirah...
000002-005;A;Hajar;O;B-PERSON;ANOTASI_KELEWAT (regex tak menangkap nama berkapital);;;;...Dia memaksa Ibrahim untuk melenyapkan 〚Hajar〛 dan putranya yang masih kecil , Isma'il...
000096-001;B;622;I-TIME;O;OCR/ANGKA (token mengandung digit);;;;...pada malam Senin , 16 September tahun 〚622〛 M , Abdullah bin Uraiqith datang ke...
000096-001;B;M;I-TIME;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...malam Senin , 16 September tahun 622 〚M〛 , Abdullah bin Uraiqith datang ke gua...
000051-006;B;Hijrah;B-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;...hijrah untuk kedua kalinya ke Habasyah . 〚Hijrah〛 kali ini lebih sulit daripada hijrah yang...
000040-001;B;Isra';B-EVENT;O;MODEL_MISS atau gold KELEBIHAN (perlu cek konteks);;;;".... "" Ibnu Hajar menuturkan , sebelum 〚Isra'〛 Nabi sudah pernah shalat , begitu pula..."
